Brand,Model,Year,Km,Power,Fuel_type,Price
Audi,A4,2010,214500,160,Gasolina,11999
Audi,Q7,2010,157000,500,Diesel,39900
Audi,A6,2010,239000,170,Diesel,8700
Audi,A3,2010,210000,105,Diesel,6700
Audi,Q7,2010,127771,239,Diesel,18900
Audi,S5,2010,168320,333,Gasolina,14000
Audi,A3,2010,74306,140,Diesel,11800
Audi,A6,2010,137781,190,Gasolina,12800
Audi,A5,2010,246000,190,Diesel,13500
Audi,A4,2010,76183,143,Diesel,12450
Audi,A4,2010,187000,136,Diesel,9500
Audi,A3,2010,117964,105,Diesel,7990
Audi,A3,2010,183000,105,Diesel,7400
Audi,A3,2010,161690,140,Diesel,8900
Audi,A3,2010,170000,105,Diesel,7900
Audi,S5,2010,215000,354,Gasolina,18500
Audi,A3,2010,68183,140,Diesel,17950
Audi,A5,2010,159000,179,Gasolina,12490
Audi,A6,2010,169000,190,Diesel,11490
Audi,A4,2010,189999,140,Diesel,9900
Audi,A5,2010,245000,143,Diesel,10500
Audi,Q5,2010,148730,239,Diesel,17900
Audi,A4allroad,2010,290000,143,Diesel,7800
Audi,A4,2010,246055,136,Diesel,8500
Audi,Q5,2010,162000,170,Diesel,15700
Audi,A4allroad,2010,175000,239,Diesel,12999
Audi,A5,2010,340000,170,Diesel,9900
Audi,A3,2010,99383,105,Diesel,11500
Audi,A4,2010,142000,179,Gasolina,10500
Audi,Q7,2010,110000,239,Diesel,15990
Audi,A4,2010,214000,170,Diesel,8990
Audi,A5,2010,131380,179,Gasolina,11900
Audi,A6,2010,291000,241,Diesel,9000
Audi,TT,2010,131000,179,Gasolina,14500
Audi,A5,2010,155000,170,Diesel,14500
Audi,A6,2010,203000,290,Gasolina,9900
Audi,A4,2010,199000,143,Diesel,9000
Audi,A3,2010,130000,105,Diesel,9000
Audi,A6,2010,193881,239,Diesel,11500
Audi,A6,2010,200000,190,Diesel,9000
Audi,A4,2010,370000,143,Diesel,6500
Audi,A3,2010,100000,160,Gasolina,10500
Audi,S3,2010,156000,265,Gasolina,13800
Audi,Q5,2010,128000,211,Gasolina,15450
Audi,A5,2010,131704,179,Gasolina,12990
Audi,A3,2010,215000,105,Diesel,5600
Audi,Q5,2010,114950,170,Diesel,16990
Audi,A4,2010,273000,136,Diesel,7500
Audi,Q5,2010,271000,170,Diesel,13500
Audi,A3,2010,145300,160,Gasolina,8850
Audi,A1,2010,145900,105,Diesel,9990
Audi,A3,2010,135000,160,Gasolina,9999
Audi,A4,2010,192000,120,Diesel,8000
Audi,Q5,2010,150748,239,Diesel,18800
Audi,Q7,2010,196989,237,Diesel,10622
Audi,TT,2010,174000,170,Diesel,13800
Audi,A4,2010,92000,136,Diesel,13500
Audi,Q5,2010,177000,179,Gasolina,14490
Audi,A4,2010,175000,120,Diesel,8900
Audi,Q5,2010,125000,143,Diesel,15900
Audi,S4,2010,148000,333,Gasolina,18900
Audi,A3,2010,180000,105,Diesel,6000
Audi,S3,2010,138000,265,Gasolina,17500
Audi,Q5,2010,126720,211,Gasolina,17900
Audi,A3,2010,167000,140,Diesel,9900
Audi,A4,2010,236882,170,Diesel,7990
Audi,Q5,2010,146000,211,Gasolina,14900
Audi,A3,2010,185000,105,Diesel,6490
Audi,A5,2010,161000,143,Diesel,14500
Audi,Q7,2010,226099,239,Diesel,15990
Audi,A5,2010,165000,143,Diesel,11500
Audi,A3,2010,209990,105,Diesel,6790
Audi,A4,2010,189000,143,Diesel,7200
Audi,A3,2010,120000,170,Diesel,14500
Audi,A3,2010,140000,125,Gasolina,9500
