Brand,Model,Year,Km,Power,Fuel_type,Price
Audi,A1,2012,145950,122,Gasolina,9480
Audi,Q5,2010,113626,211,Gasolina,17500
Audi,A4,2011,180000,143,Diesel,11000
Audi,A1,2011,124600,185,Gasolina,11000
Audi,A5,2011,300000,143,Diesel,7600
Audi,A4,2012,129000,143,Diesel,9900
Audi,A3,2012,98000,150,Diesel,16940
Audi,S5,2010,99500,333,Gasolina,24500
Audi,A1,2011,132000,86,Gasolina,6680
Audi,A3,2011,73500,125,Gasolina,10500
Audi,Q3,2012,97000,140,Diesel,14890
Audi,A3,2010,187000,170,Diesel,6990
Audi,A1,2011,105000,105,Diesel,9500
Audi,Q7,2010,130000,239,Diesel,15999
Audi,A1,2010,156000,122,Gasolina,8500
Audi,A3,2010,135000,125,Gasolina,7750
Audi,A6allroad,2010,213679,239,Diesel,8550
Audi,A5,2010,179000,239,Diesel,9750
Audi,A3,2010,198950,105,Diesel,2700
Audi,A6,2010,183700,239,Diesel,9900
Audi,A4,2010,168935,136,Diesel,8990
Audi,A5,2011,181052,170,Diesel,10990
Audi,A3,2010,210740,105,Diesel,2700
Audi,A1,2011,91990,86,Gasolina,5750
Audi,A3,2012,101800,105,Gasolina,12500
Audi,A3,2012,139000,150,Diesel,10900
Audi,Q5,2012,108000,211,Gasolina,14490
Audi,A3,2010,152000,105,Gasolina,4900
Audi,A3,2011,193000,105,Diesel,6000
Audi,A1,2012,160000,90,Diesel,7500
Audi,A6,2012,234439,163,Diesel,12000
Audi,A6,2011,174000,245,Diesel,18499
Audi,A4,2012,106250,143,Diesel,13490
Audi,A1,2012,78000,86,Gasolina,9999
Audi,A4,2012,220000,143,Diesel,12500
Audi,A8,2012,321076,250,Diesel,14650
Audi,A6,2010,159000,190,Gasolina,9999
Audi,A4,2012,167000,245,Diesel,13999
Audi,A1,2011,173603,122,Gasolina,7799
Audi,A4,2012,222000,136,Diesel,7950
Audi,A4,2011,206500,170,Diesel,9999
Audi,A5,2010,116000,170,Diesel,11000
Audi,A1,2012,115750,122,Gasolina,9900
Audi,A1,2011,76157,86,Gasolina,9500
Audi,A1,2010,91500,86,Gasolina,6800
Audi,Q7,2010,178000,340,Diesel,17590
Audi,A6,2012,202512,136,Diesel,12950
Audi,A3,2010,189675,105,Diesel,4000
Audi,A5,2011,239000,239,Diesel,9300
Audi,A4,2011,173000,136,Diesel,9500
Audi,A5,2011,225000,190,Diesel,15000
Audi,A1,2011,87100,122,Gasolina,11490
Audi,Q5,2012,147000,163,Diesel,15000
Audi,Q5,2010,92201,271,Gasolina,22950
Audi,A4,2010,239000,120,Diesel,6390
Audi,S4,2012,178500,333,Gasolina,19990
Audi,A5,2011,99574,450,Gasolina,31400
Audi,A5,2010,149000,211,Gasolina,12800
Audi,A4,2012,114916,170,Gasolina,14670
Audi,A4,2010,190000,143,Diesel,10000
Audi,A6,2012,188000,177,Diesel,14300
Audi,A5,2010,133000,163,Diesel,13450
Audi,Q3,2012,156153,170,Gasolina,15945
Audi,A1,2012,113800,86,Gasolina,7480
Audi,A4,2010,183000,170,Diesel,7750
Audi,A1,2011,190000,86,Gasolina,8495
Audi,A5,2011,85000,160,Gasolina,18000
Audi,A6,2011,125500,170,Diesel,11500
Audi,A1,2012,143916,122,Gasolina,10900
Audi,A5,2010,138000,190,Diesel,11999
Audi,A3,2010,49000,140,Diesel,9999
Audi,A7,2011,147000,245,Diesel,24900
Audi,A3,2012,122800,105,Diesel,10990
Audi,A5,2011,130000,177,Diesel,15900
Audi,A4,2012,117161,143,Diesel,12950
Audi,A5,2012,161927,177,Diesel,12490
Audi,Q3,2012,74525,170,Gasolina,16950
Audi,A5,2010,214000,239,Diesel,17995
Audi,Q3,2011,135467,170,Gasolina,11300
Audi,A4,2011,118600,143,Diesel,9800
Audi,A3,2012,166978,105,Gasolina,6800
Audi,Q5,2012,174000,179,Gasolina,11980
Audi,A7,2012,161000,204,Diesel,22000
Audi,A3,2010,186957,140,Diesel,4500
Audi,A5,2012,130000,143,Diesel,16500
Audi,A3,2010,168481,105,Diesel,2500
Audi,A6,2012,147135,204,Diesel,11200
Audi,A4,2012,250000,177,Diesel,14000
Audi,A5,2010,108790,179,Gasolina,16990
Audi,A3,2011,114980,90,Diesel,9490
Audi,A4,2011,144980,120,Diesel,9490
Audi,A5,2010,124980,239,Diesel,17490
Audi,A6,2012,71979,179,Gasolina,17990
Audi,A4,2011,129980,143,Diesel,12990
Audi,A6,2012,164980,204,Diesel,14490
Audi,A5,2010,159980,190,Diesel,13590
Audi,A6,2011,164980,170,Diesel,9990
Audi,Q5,2012,170000,170,Diesel,14999
Audi,A5,2010,246000,136,Diesel,13500
Audi,A6,2012,112000,177,Diesel,12300
Audi,A1,2012,75000,90,Diesel,9100
Audi,Q5,2012,179000,177,Diesel,12500
Audi,S3,2012,99850,265,Gasolina,16999
Audi,A6,2011,295500,190,Diesel,6500
Audi,Q3,2012,84630,170,Gasolina,14490
Audi,Q5,2012,128000,170,Diesel,15000
Audi,A3,2010,193000,105,Diesel,4800
Audi,A6,2011,126659,300,Gasolina,25900
Audi,A1,2012,148000,105,Diesel,8000
Audi,Q5,2010,166500,170,Diesel,14900
Audi,A1,2011,150000,105,Diesel,7900
Audi,A1,2012,121480,185,Gasolina,12000
Audi,A1,2011,153000,90,Diesel,7499
Audi,A4allroad,2012,129000,245,Diesel,15999
Audi,A4,2010,189000,120,Diesel,8490
Audi,A5,2011,134300,179,Gasolina,14450
Audi,TT,2012,108000,170,Diesel,17999
Audi,A7,2012,151000,299,Gasolina,10300
Audi,S3,2011,129999,265,Gasolina,14999
Audi,A3,2012,92452,265,Gasolina,19950
Audi,A7,2011,157500,299,Gasolina,15900
Audi,A6allroad,2011,175000,290,Gasolina,9995
Audi,A5,2011,134575,211,Gasolina,15990
Audi,A6,2011,185000,190,Diesel,6500
Audi,A5,2010,191214,239,Diesel,11990
Audi,A3,2011,192071,105,Diesel,5950
Audi,A4,2011,205000,143,Diesel,10299
Audi,S3,2010,142000,265,Gasolina,15000
Audi,A7,2012,148256,420,Gasolina,35499
Audi,A6,2012,101161,313,Diesel,23990
Audi,A3,2010,177000,140,Diesel,7300
Audi,Q5,2010,111000,179,Gasolina,12850
Audi,A4,2011,143000,143,Diesel,8850
Audi,A1,2011,63155,122,Gasolina,10950
Audi,Q5,2011,129850,211,Gasolina,16450
Audi,A5,2012,39000,170,Gasolina,19750
Audi,A4,2010,102000,160,Gasolina,9800
Audi,A3,2012,90953,105,Diesel,8990
Audi,Q3,2012,248500,140,Diesel,10950
Audi,A3,2012,150000,140,Diesel,8400
Audi,A4,2012,330000,204,Diesel,8200
Audi,A4,2011,147000,120,Gasolina,8200
Audi,A4,2010,120000,120,Gasolina,9500
Audi,A5,2011,255000,143,Diesel,13750
Audi,A6,2011,175000,245,Diesel,14800
Audi,A7,2011,200500,245,Diesel,20599
Audi,A5,2011,166000,160,Gasolina,12000
Audi,A5,2011,201000,170,Diesel,10990
Audi,Q5,2011,195000,170,Diesel,13000
Audi,A1,2012,45000,122,Gasolina,11500
Audi,Q3,2012,16200,140,Diesel,14600
Audi,A4,2011,66892,179,Gasolina,15900
Audi,A3,2011,78533,140,Diesel,14900
Audi,Q5,2010,117290,170,Diesel,16900
Audi,Q5,2010,205846,170,Diesel,13400
Audi,A1,2011,70000,86,Gasolina,8400
Audi,A6,2010,233000,163,Diesel,7200
Audi,S5,2010,160883,354,Gasolina,13000
Audi,TT,2010,177000,170,Diesel,17000
Audi,A6,2010,176000,239,Diesel,10597
Audi,A1,2012,145000,90,Diesel,12000
Audi,A4,2012,90000,190,Diesel,13700
Audi,A1,2012,115146,90,Diesel,8700
Audi,A3,2010,257000,105,Diesel,5450
Audi,A5,2012,120300,170,Gasolina,15490
Audi,Q7,2011,225640,241,Diesel,20950
Audi,A1,2010,87000,86,Gasolina,8500
Audi,A4,2010,198000,120,Diesel,6999
Audi,A4,2011,172358,143,Diesel,10500
Audi,A5,2012,134684,170,Gasolina,13500
Audi,A4,2012,332000,136,Diesel,7450
Audi,A4,2011,154604,160,Gasolina,9300
Audi,A5,2010,105000,163,Diesel,18250
Audi,A4,2010,299000,143,Diesel,6999
Audi,S3,2010,188000,265,Gasolina,9000
Audi,A1,2012,72000,122,Gasolina,16000
Audi,A4,2012,166500,143,Diesel,15200
Audi,TT,2011,128000,211,Gasolina,13000
Audi,A7,2011,170000,245,Diesel,24690
Audi,A3,2011,122000,105,Gasolina,6800
Audi,A5,2010,231000,211,Gasolina,7500
Audi,A3,2010,207000,170,Diesel,6600
Audi,A3,2012,264359,140,Diesel,10500
Audi,A3,2010,196000,140,Diesel,8000
Audi,A4,2010,136700,120,Diesel,10550
Audi,A4,2010,225000,170,Diesel,10500
Audi,A5,2011,150100,211,Gasolina,10100
Audi,A1,2011,187000,90,Diesel,7000
Audi,TT,2012,109702,170,Diesel,17980
Audi,A6,2011,110000,136,Diesel,18000
Audi,A5,2011,205000,163,Diesel,11000
Audi,A3,2011,215000,125,Gasolina,7450
Audi,A3,2011,88000,105,Gasolina,9500
Audi,A4,2010,120000,120,Gasolina,8400
Audi,A6,2012,100800,179,Gasolina,17900
Audi,A5,2012,150000,170,Gasolina,19500
Audi,A6,2012,105000,179,Gasolina,15950
Audi,A3,2012,140250,125,Gasolina,10750
Audi,A4,2012,138250,177,Diesel,15890
Audi,A3,2011,140000,140,Diesel,10890
Audi,A1,2011,175000,86,Gasolina,8100
Audi,A1,2011,85000,86,Gasolina,7500
Audi,Q5,2011,165027,170,Diesel,14000
Audi,A6,2012,250000,204,Diesel,12000
Audi,Q7,2012,240000,245,Diesel,13000
Audi,A4,2012,105000,143,Diesel,10500
Audi,A1,2011,129500,122,Gasolina,10500
Audi,A5,2011,146500,160,Gasolina,11480
Audi,A5,2012,142000,170,Gasolina,17500
Audi,A4,2010,182000,170,Diesel,8000
Audi,A6,2010,118000,163,Diesel,11400
Audi,A5,2011,172000,211,Gasolina,16200
Audi,Q3,2012,50183,170,Gasolina,15990
Audi,A6,2012,100120,245,Diesel,18990
Audi,A3,2010,57007,102,Gasolina,8490
Audi,A6,2010,355000,190,Diesel,5000
Audi,A6,2011,176000,204,Diesel,15500
Audi,A5,2012,156000,204,Diesel,13100
Audi,A4,2010,158073,211,Gasolina,12800
Audi,TT,2011,93500,211,Gasolina,16999
Audi,A7,2012,84900,313,Diesel,24900
Audi,A3,2010,114000,105,Diesel,5700
Audi,A3,2011,150370,125,Gasolina,7000
Audi,A4,2010,109000,120,Diesel,9999
Audi,Q3,2012,174000,177,Diesel,18500
Audi,Q7,2012,127000,245,Diesel,23300
Audi,Q5,2011,164500,239,Diesel,22900
Audi,Q7,2010,235000,239,Diesel,16900
Audi,A4,2012,150000,177,Diesel,13500
Audi,A4,2012,220000,177,Diesel,8700
Audi,TT,2010,230000,211,Gasolina,10500
Audi,A5,2012,116105,177,Diesel,14000
Audi,A3,2011,135000,90,Diesel,8250
Audi,S5,2011,79942,333,Gasolina,22500
Audi,A4,2010,269000,143,Diesel,8200
Audi,Q3,2012,145000,140,Diesel,14500
Audi,A5,2012,84000,170,Gasolina,16000
Audi,A5,2011,164840,170,Diesel,11900
Audi,A1,2010,131000,105,Diesel,7800
Audi,A4,2010,195000,190,Diesel,8900
Audi,A6,2011,199870,239,Diesel,9900
Audi,Q5,2012,133000,239,Diesel,16200
Audi,S3,2010,143000,265,Gasolina,16790
Audi,A6,2012,215000,313,Diesel,15999
Audi,A6,2012,305000,204,Diesel,9900
Audi,A3,2011,100000,125,Gasolina,9600
Audi,A5,2010,164119,160,Gasolina,11950
Audi,Q5,2010,227000,143,Diesel,10300
Audi,A5,2012,165000,170,Gasolina,13500
Audi,A1,2012,76800,122,Gasolina,9950
Audi,A4,2012,260000,143,Diesel,8000
Audi,A3,2011,125200,170,Diesel,10990
Audi,A3,2012,162000,140,Diesel,10500
Audi,A4,2012,195000,143,Diesel,10000
Audi,Q5,2011,144000,239,Diesel,15500
Audi,A6,2011,123000,163,Diesel,14500
Audi,Q7,2012,120400,245,Diesel,15990
Audi,A6,2011,64800,245,Diesel,24390
Audi,A7,2011,90400,204,Gasolina,19500
Audi,A5,2010,72650,211,Gasolina,14100
Audi,A7,2011,164000,245,Diesel,21500
Audi,S5,2010,170000,354,Gasolina,18900
Audi,A4,2011,328555,136,Diesel,6900
Audi,A4,2012,188000,177,Diesel,9800
Audi,A3,2011,249950,105,Diesel,5200
Audi,A6,2010,200003,136,Diesel,8900
Audi,A1,2010,148785,86,Gasolina,7250
Audi,A3,2012,183000,150,Diesel,12300
Audi,A6,2012,158791,204,Gasolina,16500
Audi,A6,2011,115000,245,Diesel,18500
Audi,A6,2010,252000,190,Diesel,9899
Audi,A3,2010,165000,160,Gasolina,8900
Audi,A1,2010,190000,105,Diesel,5000
Audi,A3,2012,350000,90,Diesel,5000
Audi,A6,2012,190000,313,Diesel,17999
Audi,A6,2011,249000,239,Diesel,7999
Audi,A1,2011,195000,105,Diesel,7500
Audi,A6,2010,234000,136,Diesel,8900
Audi,A1,2012,200000,90,Diesel,6950
Audi,A3,2010,110000,102,Gasolina,7499
Audi,Q5,2010,82000,179,Gasolina,12900
Audi,A1,2011,133000,122,Gasolina,9690
Audi,A6,2012,161000,177,Diesel,14900
Audi,A4allroad,2011,161000,170,Diesel,10990
Audi,A3,2011,125000,105,Diesel,6999
Audi,A3,2012,149955,105,Diesel,12000
Audi,Q3,2012,139900,141,Diesel,13490
Audi,A1,2011,118482,122,Gasolina,7800
Audi,Q5,2011,148442,211,Gasolina,15800
Audi,A1,2011,85000,105,Diesel,7790
Audi,Q3,2011,87916,170,Gasolina,13750
Audi,A4,2010,200000,160,Gasolina,6650
Audi,A4,2012,132000,204,Diesel,15700
Audi,A3,2010,58955,102,Gasolina,8950
Audi,A5,2011,179000,211,Gasolina,10990
Audi,A3,2010,115247,102,Gasolina,6400
Audi,A4,2011,85000,160,Gasolina,8888
Audi,A4,2012,54500,170,Gasolina,15345
Audi,A4,2011,247173,170,Diesel,7990
Audi,A3,2011,113521,105,Gasolina,8950
Audi,A1,2011,160000,122,Gasolina,6900
Audi,A6,2011,207400,204,Diesel,13950
Audi,A3,2011,169000,125,Gasolina,5990
Audi,A1,2011,118600,122,Gasolina,8600
Audi,Q5,2011,127000,170,Diesel,13700
Audi,A3,2010,137000,125,Gasolina,7790
Audi,A6,2012,119839,177,Diesel,12999
Audi,A4,2012,208000,143,Diesel,8990
Audi,A6,2010,215000,136,Diesel,8250
Audi,A6,2012,55046,204,Gasolina,20880
Audi,Q3,2012,119800,177,Diesel,13980
Audi,TT,2011,132740,211,Gasolina,9100
