Brand,Model,Year,Km,Power,Fuel_type,Price
LandRover,RangeRover,2013,181266,340,Diesel,25550
LandRover,RangeRoverEvoque,2012,129000,190,Diesel,23900
LandRover,RangeRoverSport,2012,105000,256,Diesel,28500
LandRover,RangeRoverEvoque,2012,102082,150,Diesel,20300
LandRover,RangeRoverEvoque,2011,127620,190,Diesel,18600
LandRover,RangeRoverEvoque,2013,101385,190,Diesel,22500
LandRover,Discovery,2012,166620,211,Diesel,13600
LandRover,RangeRoverEvoque,2012,104000,150,Diesel,17990
LandRover,RangeRover,2010,95000,510,Gasolina,34600
LandRover,RangeRover,2011,253425,313,Diesel,24990
LandRover,RangeRoverSport,2012,169000,256,Diesel,21995
LandRover,RangeRoverSport,2010,98000,245,Diesel,22000
LandRover,RangeRoverSport,2011,151000,245,Diesel,19000
LandRover,RangeRover,2010,113000,510,Gasolina,31990
LandRover,Discovery,2011,187000,256,Diesel,19900
LandRover,RangeRoverEvoque,2013,144889,150,Diesel,21900
LandRover,RangeRoverEvoque,2012,99500,150,Diesel,19890
LandRover,RangeRoverEvoque,2012,104971,150,Diesel,16999
LandRover,RangeRoverSport,2012,194099,256,Diesel,22000
LandRover,RangeRoverSport,2011,30000,211,Diesel,16999
LandRover,Discovery,2010,194000,245,Diesel,19500
LandRover,RangeRoverSport,2013,173000,258,Diesel,39900
LandRover,RangeRoverSport,2011,80000,510,Gasolina,27900
LandRover,RangeRoverSport,2011,169000,256,Diesel,18875
LandRover,RangeRoverEvoque,2013,108662,150,Diesel,16990
LandRover,RangeRoverSport,2012,189443,256,Diesel,19490
LandRover,RangeRoverEvoque,2013,95000,150,Diesel,20500
LandRover,RangeRover,2013,145000,340,Diesel,49900
LandRover,RangeRoverSport,2011,178000,245,Diesel,17999
LandRover,RangeRoverEvoque,2012,115558,239,Gasolina,22990
LandRover,RangeRoverSport,2010,126500,245,Diesel,17999
LandRover,RangeRoverSport,2010,199000,272,Diesel,16999
LandRover,Discovery,2010,201091,245,Diesel,15500
LandRover,Discovery,2011,185000,190,Diesel,16990
LandRover,RangeRover,2010,360000,272,Diesel,14000
LandRover,RangeRoverSport,2010,187200,245,Diesel,18519
LandRover,RangeRover,2013,197300,340,Diesel,41601
LandRover,RangeRoverEvoque,2012,147202,190,Diesel,19790
LandRover,RangeRoverEvoque,2013,139260,150,Diesel,20900
LandRover,RangeRover,2013,135000,340,Diesel,49950
LandRover,RangeRoverSport,2011,176646,211,Diesel,17790
LandRover,Discovery,2011,145000,245,Diesel,20490
LandRover,RangeRoverSport,2010,178000,245,Diesel,16500
LandRover,RangeRoverSport,2011,170000,245,Diesel,18990
LandRover,RangeRover,2011,124000,313,Diesel,27900
LandRover,RangeRoverEvoque,2013,159000,150,Diesel,17490
LandRover,RangeRoverEvoque,2013,80043,150,Diesel,20600
LandRover,RangeRover,2011,256000,313,Diesel,22400
LandRover,RangeRoverSport,2012,100000,256,Diesel,24990
LandRover,RangeRoverEvoque,2012,99000,150,Diesel,16990
LandRover,Discovery,2013,197227,256,Diesel,22950
LandRover,RangeRoverSport,2010,134354,272,Diesel,25900
LandRover,RangeRoverEvoque,2012,161000,150,Diesel,17000
LandRover,RangeRover,2012,287500,340,Diesel,19999
LandRover,RangeRoverSport,2011,147843,256,Diesel,16599
LandRover,Discovery,2010,249000,190,Diesel,12900
LandRover,RangeRoverEvoque,2013,149780,150,Diesel,21850
LandRover,RangeRoverSport,2010,229000,245,Diesel,18900
LandRover,Discovery,2013,119244,211,Diesel,26800
LandRover,RangeRover,2013,100000,258,Diesel,46875
LandRover,Discovery,2011,160000,211,Diesel,18500
LandRover,RangeRoverSport,2011,50000,245,Diesel,21500
LandRover,RangeRoverEvoque,2012,120000,190,Diesel,22899
LandRover,RangeRoverEvoque,2012,239789,190,Diesel,18499
LandRover,RangeRoverEvoque,2013,99000,150,Diesel,19860
LandRover,RangeRoverEvoque,2013,135500,150,Diesel,17890
LandRover,Discovery,2013,84700,211,Diesel,21900
LandRover,RangeRoverSport,2011,177000,211,Diesel,22500
LandRover,Discovery,2013,101637,256,Diesel,22400
LandRover,RangeRoverSport,2010,137000,245,Diesel,19990
LandRover,RangeRoverSport,2010,161000,272,Diesel,13999
LandRover,RangeRoverEvoque,2012,105000,190,Diesel,25000
