Brand,Model,Year,Km,Power,Fuel_type,Price
LandRover,Discovery,2010,199984,245,Diesel,19888
LandRover,RangeRover,2010,200000,272,Diesel,14500
LandRover,RangeRoverSport,2011,161000,245,Diesel,19990
LandRover,Discovery,2012,130016,256,Diesel,29900
LandRover,RangeRoverEvoque,2012,148097,190,Diesel,17790
LandRover,RangeRoverSport,2011,178176,245,Diesel,16750
LandRover,RangeRoverEvoque,2012,146000,150,Diesel,18500
LandRover,RangeRoverSport,2010,167000,211,Diesel,12999
LandRover,RangeRoverSport,2010,238000,245,Diesel,11950
LandRover,RangeRoverEvoque,2011,81873,190,Diesel,25900
LandRover,RangeRoverEvoque,2012,147000,150,Diesel,16500
LandRover,RangeRoverSport,2011,129000,245,Diesel,24900
LandRover,RangeRoverSport,2012,236000,211,Diesel,15250
LandRover,RangeRoverSport,2010,175834,272,Diesel,16499
LandRover,RangeRoverEvoque,2012,136000,190,Diesel,16000
LandRover,RangeRoverEvoque,2012,149000,190,Diesel,25000
LandRover,RangeRoverEvoque,2012,176000,190,Diesel,17000
LandRover,RangeRoverSport,2010,133000,211,Diesel,18490
LandRover,Discovery,2012,116900,211,Diesel,23990
LandRover,RangeRoverEvoque,2012,160000,190,Diesel,14990
LandRover,RangeRoverEvoque,2012,128900,190,Diesel,20950
LandRover,RangeRover,2011,190000,272,Diesel,15500
LandRover,RangeRoverEvoque,2012,116000,150,Diesel,16900
LandRover,RangeRoverSport,2012,105200,256,Diesel,15500
LandRover,RangeRoverEvoque,2012,130000,150,Diesel,17500
LandRover,Discovery,2011,314000,211,Diesel,11900
LandRover,RangeRoverEvoque,2012,179000,150,Diesel,15490
LandRover,RangeRoverEvoque,2012,137000,150,Diesel,18750
LandRover,Discovery,2010,280000,245,Diesel,5300
LandRover,RangeRover,2012,170998,211,Diesel,21890
LandRover,RangeRoverEvoque,2012,112200,190,Diesel,12950
LandRover,RangeRoverSport,2012,55000,256,Diesel,29990
LandRover,RangeRoverEvoque,2012,125000,150,Diesel,16400
LandRover,RangeRoverEvoque,2012,175000,190,Diesel,19500
LandRover,RangeRoverSport,2010,190000,245,Diesel,12900
LandRover,RangeRoverEvoque,2012,74320,150,Diesel,24500
LandRover,RangeRoverEvoque,2012,127000,150,Diesel,18000
LandRover,RangeRoverSport,2010,170000,510,Gasolina,18900
LandRover,RangeRoverEvoque,2012,92363,150,Diesel,25750
LandRover,RangeRoverEvoque,2012,60000,150,Diesel,14999
LandRover,RangeRoverEvoque,2012,137000,190,Diesel,13900
LandRover,RangeRover,2010,279000,272,Diesel,12490
LandRover,RangeRoverEvoque,2012,149000,150,Diesel,17400
