vehicle;  km; year; power; transmision; fuel_type; consume; country;emisions;price 
Land Rover Discovery Sport;135.000 km;oct-15;132 kW (179 CV);Automático;Diésel;6,5;IT;171;€ 19.900
Land Rover Discovery;193.221 km;may-14;188 kW (256 CV);Automático;Diésel;-/- ;DE;-/- ;€ 20.990
Land Rover Range Rover Evoque;118.000 km;jul-13;110 kW (150 CV);Manual;Diésel;5,7;Unknown;149;€ 16.500
Land Rover Range Rover Evoque;115.130 km;mar-14;140 kW (190 CV);Automático;Diésel;-/- ;IT;149;€ 20.900
Land Rover Range Rover Evoque;160.000 km;mar-15;110 kW (150 CV);Automático;Diésel;6 l/;Unknown;159;€ 20.500
Land Rover Range Rover;132.000 km;may-15;250 kW (340 CV);Automático;Diésel;8,6;Unknown;219;€ 55.000
Land Rover Range Rover Sport;87.100 km;abr-14;215 kW (292 CV);Automático;Diésel;7,5;DE;199;€ 97.975
Land Rover Defender;26.000 km;abr-13;90 kW (122 CV);Manual;Diésel;10 l;Unknown;266;€ 50.000
Land Rover Range Rover Sport;108.000 km;nov-13;188 kW (256 CV);Automático;Diésel;8,8;Unknown;230;€ 21.500
Land Rover Freelander;133.259 km;ago-14;110 kW (150 CV);Manual;Diésel;6,2;NL;165;€ 14.950
Land Rover Range Rover Evoque;59.600 km;mar-14;140 kW (190 CV);Automático;Diésel;5,7;DE;151;€ 25.490
Land Rover Range Rover Evoque;114.000 km;abr-13;110 kW (150 CV);Manual;Diésel;5,7;Unknown;149;€ 19.800
Land Rover Range Rover Evoque;114.000 km;abr-13;110 kW (150 CV);Manual;Diésel;5,7;Unknown;149;€ 19.800
Land Rover Range Rover Evoque;110.000 km;nov-13;140 kW (190 CV);Automático;Diésel;5,7;Unknown;149;€ 19.000
Land Rover Range Rover Evoque;125.621 km;may-13;177 kW (241 CV);Automático;Gasolina;7,3;NL;199;€ 28.950
Land Rover Range Rover Evoque;142.000 km;abr-13;110 kW (150 CV);Automático;Diésel;6,5;Unknown;174;€ 18.500
