vehicle;  km; year; power; transmision; fuel_type; consume; country;emisions;price 
Audi A4;248.000 km;ago-11;176 kW (239 CV);Automático;Diésel;6,6;Unknown;174;€ 14.000
Audi Q5;110.000 km;sep-11;125 kW (170 CV);Automático;Diésel;6,8;ES;-/- ;€ 16.500
Audi A7;210.970 km;jun-11;180 kW (245 CV);Automático;Diésel;6 l/;ES;-/- ;€ 20.400
Audi A7;129.000 km;ene-11;220 kW (299 CV);Automático;Gasolina;8,2;ES;190;€ 23.900
Audi A1;110.422 km;jun-11;90 kW (122 CV);Automático;Gasolina;5,3;ES;-/- ;€ 9.900
Audi Q5;96.000 km;jul-11;155 kW (211 CV);Automático;Gasolina;8,5;Unknown;199;€ 19.900
Audi A3;81.620 km;abr-11;92 kW (125 CV);Manual;Gasolina;5,8;ES;-/- ;€ 11.900
Audi A4 allroad;113.702 km;abr-11;105 kW (143 CV);Manual;Diésel;6,2;ES;-/- ;€ 16.900
Audi Q5;232.667 km;feb-11;125 kW (170 CV);Automático;Diésel;6,8;ES;-/- ;€ 13.300
Audi A7;111.134 km;jun-11;180 kW (245 CV);Automático;Diésel;6 l/;ES;-/- ;€ 20.750
Audi Q5;232.667 km;feb-11;125 kW (170 CV);Automático;Diésel;6,8;ES;-/- ;€ 13.300
Audi A4;89.416 km;may-11;100 kW (136 CV);Manual;Diésel;4,6;ES;-/- ;€ 12.100
Audi A4;89.416 km;may-11;100 kW (136 CV);Manual;Diésel;4,6;ES;-/- ;€ 12.100
Audi A3;81.620 km;abr-11;92 kW (125 CV);Manual;Gasolina;5,8;ES;-/- ;€ 11.900
Audi A6;114.331 km;jun-11;150 kW (204 CV);Automático;Gasolina;7,4;ES;-/- ;€ 17.600
Audi A3;120.000 km;ene-11;77 kW (105 CV);Manual;Diésel;4,2;ES;-/- ;€ 9.750
Audi A5;203.000 km;jun-11;105 kW (143 CV);Automático;Diésel;5,8;Unknown;152;€ 13.500
Audi A5;165.000 km;mar-11;132 kW (179 CV);Manual;Gasolina;-/- ;ES;-/- ;€ 13.990
Audi A3;202.000 km;oct-11;103 kW (140 CV);Automático;Diésel;4,9;Unknown;129;€ 9.500
Audi A4 allroad;113.702 km;abr-11;105 kW (143 CV);Manual;Diésel;6,2;ES;-/- ;€ 16.900
Audi A4;89.416 km;may-11;100 kW (136 CV);Manual;Diésel;4,6;ES;-/- ;€ 12.100
Audi A3;81.620 km;abr-11;92 kW (125 CV);Manual;Gasolina;5,8;ES;-/- ;€ 11.900
Audi A4 allroad;113.702 km;abr-11;105 kW (143 CV);Manual;Diésel;6,2;ES;-/- ;€ 16.900
Audi A6;114.331 km;jun-11;150 kW (204 CV);Automático;Gasolina;7,4;ES;-/- ;€ 17.600
Audi A5;135.000 km;ene-11;105 kW (143 CV);Manual;Diésel;5,2;Unknown;135;€ 14.900
Audi A3;213.460 km;mar-11;103 kW (140 CV);Manual;Diésel;4,4;ES;-/- ;€ 8.490
Audi A3;161.231 km;ene-11;103 kW (140 CV);Manual;Diésel;4,4;Unknown;115;€ 7.900
Audi Q5;232.667 km;feb-11;125 kW (170 CV);Automático;Diésel;6,8;ES;-/- ;€ 13.300
Audi A4 allroad;199.000 km;oct-11;125 kW (170 CV);Manual;Diésel;6,4;ES;-/- ;€ 11.000
Audi A4 allroad;170.825 km;mar-11;125 kW (170 CV);Manual;Diésel;-/- ;ES;-/- ;€ 15.000
Audi Q5;147.000 km;may-11;120 kW (163 CV);Automático;Diésel;5,1;ES;-/- ;€ 18.500
Audi TT;78.442 km;jun-11;155 kW (211 CV);Automático;Gasolina;7,4;ES;-/- ;€ 25.490
Audi A4;114.500 km;dic-11;105 kW (143 CV);Manual;Diésel;5,1;ES;-/- ;€ 11.900
