vehicle;  km; year; power; transmision; fuel_type; consume; country;emisions;price 
Audi A1;67.000 km;ago-14;63 kW (86 CV);Manual;Gasolina;5,1;Unknown;118;€ 10.000
Audi A3;76.000 km;feb-14;90 kW (122 CV);Automático;Gasolina;5 l/;ES;-/- ;€ 13.990
Audi A1;36.368 km;jul-14;90 kW (122 CV);Automático;Gasolina;5,3;ES;-/- ;€ 15.200
Audi A4;164.922 km;dic-14;125 kW (170 CV);Manual;Gasolina;6,5;ES;-/- ;€ 13.690
Audi A4;164.922 km;dic-14;125 kW (170 CV);Manual;Gasolina;6,5;ES;-/- ;€ 13.690
Audi A1;36.368 km;jul-14;90 kW (122 CV);Automático;Gasolina;5,3;ES;-/- ;€ 16.800
Audi RS Q3;110.946 km;may-14;228 kW (310 CV);Automático;Gasolina;8,8;ES;-/- ;€ 32.000
Audi A1;50.000 km;oct-14;63 kW (86 CV);Manual;Gasolina;5,1;ES;-/- ;€ 11.950
Audi A1;129.000 km;mar-14;63 kW (86 CV);Manual;Gasolina;5,1;ES;-/- ;€ 10.900
Audi RS5;129.500 km;sep-14;331 kW (450 CV);Automático;Gasolina;10,8;Unknown;246;€ 39.000
Audi A1;71.300 km;mar-14;63 kW (86 CV);Manual;Gasolina;5,1;Unknown;116;€ 10.900
Audi RS6;109.990 km;jun-14;412 kW (560 CV);Automático;Gasolina;9,8;ES;-/- ;€ 59.990
Audi A3;138.000 km;may-14;90 kW (122 CV);Automático;Gasolina;5 l/;ES;-/- ;€ 17.790
Audi R8;89.500 km;may-14;316 kW (430 CV);Automático;Gasolina;12,6;Unknown;294;€ 69.900
Audi A1;43.900 km;jun-14;63 kW (86 CV);Manual;Gasolina;5,1;Unknown;116;€ 11.950
Audi A3;110.000 km;nov-14;150 kW (204 CV);Automático;Gasolina;-/- ;ES;-/- ;€ 19.990
Audi A6 allroad;115.800 km;ene-14;228 kW (310 CV);Automático;Gasolina;8,9;ES;-/- ;€ 32.000
Audi S5;63.950 km;may-14;245 kW (333 CV);Automático;Gasolina;7,7;ES;-/- ;€ 30.800
Audi A7;229.000 km;feb-14;228 kW (310 CV);Automático;Gasolina;8,2;ES;-/- ;€ 23.900
Audi A4;164.922 km;dic-14;125 kW (170 CV);Manual;Gasolina;6,5;ES;-/- ;€ 13.690
Audi A3;119.333 km;ago-14;110 kW (150 CV);Manual;Gasolina;4,7;ES;-/- ;€ 14.500
Audi A1;36.368 km;jul-14;90 kW (122 CV);Automático;Gasolina;5,3;ES;-/- ;€ 16.800
Audi A3;98.019 km;jul-14;90 kW (122 CV);Manual;Gasolina;-/- ;ES;-/- ;€ 14.390
Audi A3;76.000 km;feb-14;90 kW (122 CV);Automático;Gasolina;5 l/;ES;-/- ;€ 15.490
Audi A5;55.000 km;ene-14;165 kW (224 CV);Automático;Gasolina;6,9;ES;-/- ;€ 23.800
Audi RS6;229.000 km;abr-14;412 kW (560 CV);Automático;Gasolina;9,8;Unknown;229;€ 44.995
Audi A1;99.339 km;may-14;63 kW (86 CV);Manual;Gasolina;5 l/;ES;-/- ;€ 9.790
Audi S3;110.000 km;oct-14;221 kW (300 CV);Automático;Gasolina;6,9;ES;-/- ;€ 26.990
Audi A1;99.339 km;may-14;63 kW (86 CV);Manual;Gasolina;5 l/;ES;-/- ;€ 9.790
Audi A1;99.339 km;may-14;63 kW (86 CV);Manual;Gasolina;5 l/;ES;-/- ;€ 9.790
Audi Q3;135.700 km;mar-14;110 kW (150 CV);Manual;Gasolina;5,9;ES;-/- ;€ 15.900
Audi Q3;135.700 km;mar-14;110 kW (150 CV);Manual;Gasolina;5,9;ES;-/- ;€ 15.900
Audi A5;27.181 km;feb-14;125 kW (170 CV);Manual;Gasolina;5,7;ES;-/- ;€ 19.995
Audi RS6;97.300 km;feb-14;412 kW (560 CV);Automático;Gasolina;9,8;ES;-/- ;€ 58.990
Audi Q3;135.700 km;mar-14;110 kW (150 CV);Manual;Gasolina;5,9;ES;137;€ 15.900
Audi TT;35.600 km;may-14;118 kW (160 CV);Manual;Gasolina;5,3;Unknown;149;€ 23.000
Audi S7;68.400 km;jun-14;309 kW (420 CV);Automático;Gasolina;8,2;Unknown;225;€ 36.300
Audi A5;89.990 km;mar-14;125 kW (170 CV);Automático;Gasolina;6,2;ES;-/- ;€ 24.490
Audi RS Q3;80.000 km;jun-14;228 kW (310 CV);Automático;Gasolina;8,8;ES;-/- ;€ 34.490
Audi A6;39.730 km;ene-14;180 kW (245 CV);Automático;Gasolina;-/- ;ES;-/- ;€ 25.990
Audi S3;74.659 km;ago-14;221 kW (300 CV);Automático;Gasolina;6,9;ES;-/- ;€ 28.990
Audi R8;21.000 km;ene-14;316 kW (430 CV);Automático;Gasolina;12,6;ES;-/- ;€ 79.900
Audi A1;95.389 km;feb-14;63 kW (86 CV);Manual;Gasolina;5,1;ES;-/- ;€ 9.500
Audi A5;89.990 km;mar-14;125 kW (170 CV);Automático;Gasolina;6,2;ES;-/- ;€ 25.490
Audi A1;115.000 km;may-14;63 kW (86 CV);Manual;Gasolina;5,1;ES;-/- ;€ 8.990
Audi A3;56.475 km;ene-14;132 kW (179 CV);Manual;Gasolina;5,8;ES;-/- ;€ 16.900
Audi S3;90.000 km;ago-14;221 kW (300 CV);Automático;Gasolina;6,9;ES;-/- ;€ 31.999
Audi Q3;44.048 km;mar-14;125 kW (170 CV);Automático;Gasolina;7,7;Unknown;179;€ 14.249
Audi A6;109.720 km;sep-14;228 kW (310 CV);Automático;Gasolina;8,2;Unknown;190;€ 21.921
Audi A1;89.999 km;ago-14;63 kW (86 CV);Manual;Gasolina;5,1;ES;-/- ;€ 9.500
Audi S8;44.683 km;jun-14;382 kW (519 CV);Automático;Gasolina;9,6;ES;225;€ 66.750
Audi A3;67.000 km;may-14;92 kW (125 CV);Manual;Gasolina;5,1;ES;-/- ;€ 12.500
Audi Q3;8.100 km;ago-14;155 kW (211 CV);Automático;Gasolina;7,7;Unknown;179;€ 25.500
Audi RS5;103.000 km;ene-14;331 kW (450 CV);Automático;Gasolina;10,7;ES;-/- ;€ 43.900
Audi A1;93.800 km;ene-14;136 kW (185 CV);Automático;Gasolina;5,9;Unknown;139;€ 16.100
Audi A5;122.300 km;ago-14;125 kW (170 CV);Automático;Gasolina;5,8;ES;-/- ;€ 16.500
Audi RS Q3;99.000 km;mar-14;228 kW (310 CV);Automático;Gasolina;8,8;ES;-/- ;€ 30.900
Audi A4;106.132 km;jul-14;125 kW (170 CV);Automático;Gasolina;5,6;Unknown;139;€ 11.749
Audi Q3;81.916 km;jun-14;110 kW (150 CV);Automático;Gasolina;6,2;ES;-/- ;€ 20.990
Audi A3;38.000 km;jun-14;110 kW (150 CV);Automático;Gasolina;4,7;ES;-/- ;€ 22.995
Audi RS5;40.800 km;nov-14;331 kW (450 CV);Automático;Gasolina;10,7;ES;-/- ;€ 39.900
Audi R8;90.000 km;ene-14;316 kW (430 CV);Automático;Gasolina;12,6;ES;-/- ;€ 69.990
Audi Q3;81.916 km;jun-14;110 kW (150 CV);Automático;Gasolina;6,2;ES;-/- ;€ 20.990
Audi Q5;86.600 km;ene-14;165 kW (224 CV);Automático;Gasolina;7,9;ES;-/- ;€ 29.500
Audi Q5;86.600 km;ene-14;165 kW (224 CV);Automático;Gasolina;7,9;ES;-/- ;€ 29.500
Audi Q5;63.574 km;abr-14;165 kW (224 CV);Automático;Gasolina;7,9;ES;-/- ;€ 27.990
Audi A1;97.024 km;jun-14;63 kW (86 CV);Manual;Gasolina;5,1;ES;-/- ;€ 11.900
Audi A1;89.000 km;feb-14;63 kW (86 CV);Manual;Gasolina;5,1;ES;-/- ;€ 10.900
Audi A5;122.300 km;ago-14;125 kW (170 CV);Automático;Gasolina;5,8;ES;-/- ;€ 16.500
Audi A7;22.727 km;may-14;150 kW (204 CV);Automático;Gasolina;-/- ;ES;-/- ;€ 28.900
Audi RS6;127.000 km;ene-14;412 kW (560 CV);Automático;Gasolina;9,8;ES;-/- ;€ 57.999
Audi Q3;81.916 km;jun-14;110 kW (150 CV);Automático;Gasolina;6,2;ES;-/- ;€ 20.990
Audi A1;39.000 km;abr-14;63 kW (86 CV);Manual;Gasolina;5,1;ES;-/- ;€ 9.900
Audi A4;123.500 km;feb-14;125 kW (170 CV);Manual;Gasolina;5,7;ES;-/- ;€ 14.890
Audi A3;48.450 km;ago-14;150 kW (204 CV);Automático;Electro/Gasolina;1,6;ES;-/- ;€ 25.900
Audi A1;37.700 km;feb-14;63 kW (86 CV);Manual;Gasolina;5,1;ES;-/- ;€ 12.890
Audi S3;43.876 km;ago-14;221 kW (300 CV);Automático;Gasolina;6,9;ES;-/- ;€ 30.900
Audi A3;59.300 km;ago-14;103 kW (140 CV);Automático;Gasolina;4,7;ES;-/- ;€ 19.900
