vehicle;  km; year; power; transmision; fuel_type; consume; country;emisions;price 
Audi Q3;11.000 km;oct-19;110 kW (150 CV);Automático;Diésel;4,7;ES;127;€ 44.900
Audi A5;10 km;ago-19;140 kW (190 CV);Automático;Diésel;4,5;ES;-/- ;€ 40.500
Audi A6;11.388 km;jul-19;150 kW (204 CV);Automático;Diésel;4,5;ES;-/- ;€ 40.900
Audi A4;1.000 km;sep-19;100 kW (136 CV);Automático;Diésel;4 l/;ES;-/- ;€ 34.600
Audi Q2;10.900 km;jul-19;85 kW (116 CV);Automático;Diésel;4,3;ES;-/- ;€ 26.200
Audi Q3;27.860 km;abr-19;110 kW (150 CV);Automático;Diésel;4,7;ES;-/- ;€ 30.900
Audi A4;10.000 km;abr-19;110 kW (150 CV);Automático;Diésel;4,3;ES;118;€ 30.800
Audi A6;13.900 km;may-19;150 kW (204 CV);Automático;Diésel;4,5;ES;113;€ 41.900
Audi Q2;10.131 km;feb-19;85 kW (116 CV);Automático;Diésel;5,7;ES;-/- ;€ 22.690
Audi Q5;9.160 km;mar-19;120 kW (163 CV);Manual;Diésel;-/- ;ES;-/- ;€ 39.500
Audi A3;19.658 km;ene-19;110 kW (150 CV);Automático;Diésel;5,5;ES;-/- ;€ 22.190
Audi Q5;8.222 km;abr-19;140 kW (190 CV);Automático;Diésel;-/- ;ES;-/- ;€ 39.300
Audi A6;1.000 km;may-19;150 kW (204 CV);Automático;Diésel;4,5;ES;-/- ;€ 42.000
Audi A6;24.238 km;feb-19;150 kW (204 CV);Automático;Diésel;4,5;ES;-/- ;€ 41.700
Audi A5;14.660 km;jun-19;140 kW (190 CV);Automático;Diésel;4,5;ES;-/- ;€ 36.900
Audi Q2;26.172 km;may-19;85 kW (116 CV);Automático;Diésel;-/- ;ES;-/- ;€ 28.900
Audi Q8;19.000 km;feb-19;210 kW (286 CV);Automático;Diésel;6,6;ES;-/- ;€ 74.900
Audi A7;19.795 km;mar-19;170 kW (231 CV);Automático;Diésel;5,6;ES;-/- ;€ 49.900
Audi A3;17.522 km;may-19;110 kW (150 CV);Automático;Diésel;4,5;ES;117;€ 27.900
Audi A4;9.322 km;oct-19;140 kW (190 CV);Automático;Diésel;4,2;ES;-/- ;€ 37.990
