vehicle;  km; year; power; transmision; fuel_type; consume; country;emisions;price ;;
BMW 320;111.846 km;may-10;125 kW (170 CV);Automático;Gasolina;6,8;ES;-/- ;€ 15.500;;
BMW X5;90.590 km;abr-10;173 kW (235 CV);Automático;Diésel;8,2;ES;-/- ;€ 19.700;;
BMW 320;144.888 km;ago-10;125 kW (170 CV);Automático;Gasolina;6,4;ES;-/- ;€ 10.900;;
BMW 528;95.848 km;jul-10;190 kW (258 CV);Automático;Gasolina;7,6;ES;-/- ;€ 16.400;;
BMW 320;92.000 km;dic-10;135 kW (184 CV);Automático;Diésel;4,7;ES;-/- ;€ 13.500;;
BMW 320;111.846 km;may-10;125 kW (170 CV);Automático;Gasolina;6,8;ES;-/- ;€ 15.500;;
BMW 320;111.846 km;may-10;125 kW (170 CV);Automático;Gasolina;6,8;ES;-/- ;€ 15.500;;
BMW 116;151.478 km;may-10;85 kW (116 CV);Manual;Diésel;4,4;ES;-/- ;€ 7.950;;
BMW X5;90.590 km;abr-10;173 kW (235 CV);Automático;Diésel;8,2;ES;-/- ;€ 19.700;;
BMW X5;90.590 km;abr-10;173 kW (235 CV);Automático;Diésel;8,2;ES;-/- ;€ 19.700;;
BMW 118;117.455 km;oct-10;105 kW (143 CV);Manual;Gasolina;6,3;ES;-/- ;€ 10.900;;
BMW 528;95.848 km;jul-10;190 kW (258 CV);Automático;Gasolina;7,6;ES;-/- ;€ 16.400;;
BMW 530;143.985 km;mar-10;180 kW (245 CV);Automático;Diésel;6,5;ES;-/- ;€ 16.200;;
BMW 320;161.871 km;nov-10;135 kW (184 CV);Automático;Diésel;4,8;ES;-/- ;€ 10.400;;
BMW Z4;62.659 km;feb-10;225 kW (306 CV);Manual;Gasolina;9,4;ES;-/- ;€ 25.900;;
BMW Z4;111.239 km;abr-10;150 kW (204 CV);Manual;Gasolina;-/- ;ES;-/- ;€ 17.900;;
BMW 320;92.000 km;dic-10;135 kW (184 CV);Automático;Diésel;4,7;ES;-/- ;€ 13.500;;
BMW 320;111.846 km;may-10;125 kW (170 CV);Automático;Gasolina;6,8;ES;-/- ;€ 15.500;;
BMW 116;151.478 km;may-10;85 kW (116 CV);Manual;Diésel;4,4;ES;-/- ;€ 7.950;;
BMW 320;92.000 km;dic-10;135 kW (184 CV);Automático;Diésel;4,7;ES;-/- ;€ 13.500;;
BMW 320;111.846 km;may-10;125 kW (170 CV);Automático;Gasolina;6,8;ES;-/- ;€ 15.500;;
BMW 118;117.455 km;oct-10;105 kW (143 CV);Manual;Gasolina;6,3;ES;-/- ;€ 10.900;;
BMW 118;117.455 km;oct-10;105 kW (143 CV);Manual;Gasolina;6,3;ES;-/- ;€ 10.900;;
