vehicle;  km; year; power; transmision; fuel_type; consume; country;emisions;price ;;;
BMW Active Hybrid X6;152.571 km;mar-11;357 kW (485 CV);Automático;Electro/Gasolina;9,9;ES;-/- ;€ 29.500;;;
BMW 530;78.450 km;jun-11;180 kW (245 CV);Automático;Diésel;6,3;ES;-/- ;€ 19.500;;;
BMW 320;111.785 km;jun-11;130 kW (177 CV);Automático;Diésel;5,5;ES;-/- ;€ 13.400;;;
BMW Active Hybrid X6;152.571 km;mar-11;357 kW (485 CV);Automático;Electro/Gasolina;9,9;ES;-/- ;€ 29.500;;;
BMW 118;150.353 km;may-11;105 kW (143 CV);Manual;Diésel;4,8;ES;-/- ;€ 11.400;;;
BMW X1;131.677 km;may-11;130 kW (177 CV);Automático;Diésel;5,3;ES;-/- ;€ 13.100;;;
BMW 530;78.450 km;jun-11;180 kW (245 CV);Automático;Diésel;6,3;ES;-/- ;€ 19.500;;;
BMW 320;111.785 km;jun-11;130 kW (177 CV);Automático;Diésel;5,5;ES;-/- ;€ 13.400;;;
BMW X1;131.677 km;may-11;130 kW (177 CV);Automático;Diésel;5,3;ES;-/- ;€ 13.100;;;
BMW 530;78.450 km;jun-11;180 kW (245 CV);Automático;Diésel;6,3;ES;-/- ;€ 19.500;;;
BMW 530;78.450 km;jun-11;180 kW (245 CV);Automático;Diésel;6,3;ES;-/- ;€ 19.500;;;
BMW X1;131.677 km;may-11;130 kW (177 CV);Automático;Diésel;5,3;ES;-/- ;€ 13.100;;;
BMW X1;131.677 km;may-11;130 kW (177 CV);Automático;Diésel;5,3;ES;-/- ;€ 13.100;;;
BMW Active Hybrid X6;152.571 km;mar-11;357 kW (485 CV);Automático;Electro/Gasolina;9,9;ES;-/- ;€ 29.500;;;
BMW 530;78.450 km;jun-11;180 kW (245 CV);Automático;Diésel;6,3;ES;-/- ;€ 19.500;;;
BMW 730;190.000 km;ene-11;180 kW (245 CV);Automático;Diésel;7,2;Unknown;178;€ 19.500;;;
BMW 118;150.353 km;may-11;105 kW (143 CV);Manual;Diésel;4,8;ES;-/- ;€ 11.400;;;
BMW 118;150.353 km;may-11;105 kW (143 CV);Manual;Diésel;4,8;ES;-/- ;€ 11.400;;;
BMW X1;131.677 km;may-11;130 kW (177 CV);Automático;Diésel;5,3;ES;-/- ;€ 13.100;;;
BMW 118;166.500 km;jun-11;105 kW (143 CV);Manual;Diésel;-/- ;ES;-/- ;€ 13.990;;;
BMW 325;172.600 km;ene-11;160 kW (218 CV);Manual;Gasolina;7,5;ES;-/- ;€ 11.990;;;
BMW 320;189.000 km;nov-11;135 kW (184 CV);Manual;Diésel;4,5;ES;-/- ;€ 10.500;;;
BMW 116;221.000 km;nov-11;85 kW (116 CV);Manual;Diésel;4,4;ES;-/- ;€ 9.500;;;
BMW X3;163.000 km;oct-11;135 kW (184 CV);Automático;Diésel;5,6;Unknown;147;€ 16.000;;;
BMW 525;245.000 km;jun-11;160 kW (218 CV);Automático;Diésel;5,1;ES;-/- ;€ 11.995;;;
BMW 525;169.000 km;sep-11;160 kW (218 CV);Manual;Diésel;5 l/;ES;-/- ;€ 15.990;;;
BMW X1;132.000 km;oct-11;130 kW (177 CV);Manual;Diésel;5,3;ES;-/- ;€ 12.890;;;
BMW 320;163.000 km;abr-11;120 kW (163 CV);Manual;Diésel;4,1;ES;-/- ;€ 10.999;;;
BMW 325;133.000 km;nov-11;160 kW (218 CV);Manual;Gasolina;7,5;Unknown;176;€ 18.400;;;
BMW X6;339.000 km;jun-11;225 kW (306 CV);Automático;Diésel;7,5;ES;-/- ;€ 19.900;;;
BMW 325;126.415 km;nov-11;150 kW (204 CV);Automático;Diésel;6,4;ES;-/- ;€ 19.500;;;
BMW 118;150.353 km;may-11;105 kW (143 CV);Manual;Diésel;4,8;ES;-/- ;€ 11.400;;;
BMW 118;150.353 km;may-11;105 kW (143 CV);Manual;Diésel;4,8;ES;-/- ;€ 11.400;;;
BMW 118;150.353 km;may-11;105 kW (143 CV);Manual;Diésel;4,8;ES;-/- ;€ 11.400;;;
BMW 116;121.000 km;feb-11;85 kW (116 CV);Manual;Diésel;4,4;ES;-/- ;€ 8.500;;;
BMW;69.990 km;jul-11;250 kW (340 CV);Manual;Gasolina;9,6;ES;-/- ;€ 53.900;;;
BMW 520;157.000 km;oct-11;135 kW (184 CV);Manual;Diésel;4,8;Unknown;125;€ 17.900;;;
BMW 520;157.000 km;oct-11;135 kW (184 CV);Manual;Diésel;4,8;Unknown;125;€ 17.900;;;
BMW X6;135.484 km;mar-11;180 kW (245 CV);Automático;Diésel;7,4;Unknown;195;€ 25.500;;;
BMW X6;125.500 km;ago-11;225 kW (306 CV);Automático;Diésel;7,5;Unknown;198;€ 30.000;;;
BMW 320;111.785 km;jun-11;130 kW (177 CV);Automático;Diésel;5,5;ES;-/- ;€ 13.400;;;
BMW X3;154.214 km;jul-11;135 kW (184 CV);Automático;Diésel;5,6;ES;147;€ 14.990;;;
BMW 320;111.785 km;jun-11;130 kW (177 CV);Automático;Diésel;5,5;ES;-/- ;€ 13.400;;;
BMW 118;150.353 km;may-11;105 kW (143 CV);Manual;Diésel;4,8;ES;-/- ;€ 11.400;;;
BMW 530;78.450 km;jun-11;180 kW (245 CV);Automático;Diésel;6,3;ES;-/- ;€ 19.500;;;
BMW 320;111.785 km;jun-11;130 kW (177 CV);Automático;Diésel;5,5;ES;-/- ;€ 13.400;;;
BMW 320;111.785 km;jun-11;130 kW (177 CV);Automático;Diésel;5,5;ES;-/- ;€ 13.400;;;
BMW X1;204.015 km;may-11;105 kW (143 CV);Automático;Diésel;5,9;ES;-/- ;€ 9.990;;;
BMW 320;111.785 km;jun-11;130 kW (177 CV);Automático;Diésel;5,5;ES;-/- ;€ 13.400;;;
BMW 318;113.000 km;oct-11;105 kW (143 CV);Manual;Diésel;4,5;ES;-/- ;€ 10.990;;;
BMW 118;110.000 km;may-11;105 kW (143 CV);Automático;Gasolina;6,2;ES;-/- ;€ 10.999;;;
BMW 330;98.000 km;jul-11;180 kW (245 CV);Automático;Diésel;6,3;ES;-/- ;€ 13.999;;;
BMW X1;135.223 km;nov-11;110 kW (150 CV);Manual;Gasolina;-/- ;ES;-/- ;€ 10.950;;;
BMW 318;210.000 km;mar-11;105 kW (143 CV);Manual;Diésel;4,5;ES;-/- ;€ 7.900;;;
BMW 116;25.000 km;feb-11;85 kW (116 CV);Manual;Diésel;4,3;ES;-/- ;€ 11.900;;;
BMW X1;103.000 km;ene-11;105 kW (143 CV);Manual;Diésel;5,2;ES;-/- ;€ 11.750;;;
BMW 116;190.000 km;ago-11;85 kW (116 CV);Manual;Diésel;4,4;Unknown;118;€ 9.500;;;
BMW X6;94.366 km;jul-11;180 kW (245 CV);Automático;Diésel;7,4;ES;195;€ 28.890;;;
BMW 330;129.000 km;ago-11;180 kW (245 CV);Automático;Diésel;6,2;ES;-/- ;€ 15.990;;;
BMW M3;37.000 km;ago-11;309 kW (420 CV);Manual;Gasolina;12,7;ES;-/- ;€ 34.900;;;
BMW X1;91.000 km;ene-11;130 kW (177 CV);Automático;Diésel;5,9;ES;-/- ;€ 16.890;;;
