vehicle;  km; year; power; transmision; fuel_type; consume; country;emisions;price 
BMW X5;153.318 km;ene-12;300 kW (408 CV);Automático;Gasolina;12,5;ES;-/- ;€ 24.900
BMW 125;58.319 km;jun-12;160 kW (218 CV);Automático;Gasolina;8,3;ES;-/- ;€ 16.200
BMW 125;58.319 km;jun-12;160 kW (218 CV);Automático;Gasolina;8,3;ES;-/- ;€ 16.200
BMW X5;153.318 km;ene-12;300 kW (408 CV);Automático;Gasolina;12,5;ES;-/- ;€ 24.900
BMW X5;153.318 km;ene-12;300 kW (408 CV);Automático;Gasolina;12,5;ES;-/- ;€ 24.900
BMW 125;58.319 km;jun-12;160 kW (218 CV);Automático;Gasolina;8,3;ES;-/- ;€ 16.200
BMW 125;58.319 km;jun-12;160 kW (218 CV);Automático;Gasolina;8,3;ES;-/- ;€ 16.200
BMW 325;105.000 km;sep-12;160 kW (218 CV);Automático;Gasolina;-/- ;ES;-/- ;€ 19.990
BMW 316;249.000 km;jul-12;85 kW (116 CV);Manual;Diésel;3,9;ES;-/- ;€ 8.490
BMW 530;187.000 km;jun-12;180 kW (245 CV);Automático;Diésel;6,5;ES;173;€ 18.000
BMW 125;116.354 km;nov-12;160 kW (218 CV);Manual;Gasolina;6,6;ES;-/- ;€ 19.400
BMW 125;58.319 km;jun-12;160 kW (218 CV);Automático;Gasolina;8,3;ES;-/- ;€ 16.200
BMW 125;58.319 km;jun-12;160 kW (218 CV);Automático;Gasolina;8,3;ES;-/- ;€ 16.200
BMW 330;57.000 km;may-12;200 kW (272 CV);Automático;Gasolina;8,2;ES;-/- ;€ 26.990
BMW M6;125.000 km;may-12;412 kW (560 CV);Automático;Gasolina;9,9;ES;-/- ;€ 43.900
BMW X1;118.000 km;oct-12;120 kW (163 CV);Manual;Diésel;4,5;Unknown;119;€ 12.900
BMW 320;113.915 km;oct-12;135 kW (184 CV);Manual;Diésel;4,5;ES;-/- ;€ 14.490
BMW 640;174.000 km;nov-12;230 kW (313 CV);Automático;Diésel;5,6;Unknown;149;€ 32.990
