vehicle;  km; year; power; transmision; fuel_type; consume; country;emisions;price 
BMW 428;110.676 km;may-14;180 kW (245 CV);Automático;Gasolina;6,3;ES;-/- ;€ 20.514
BMW 428;110.676 km;may-14;180 kW (245 CV);Automático;Gasolina;6,3;ES;-/- ;€ 20.514
BMW 428;110.676 km;may-14;180 kW (245 CV);Automático;Gasolina;6,3;ES;-/- ;€ 20.514
BMW 135;113.774 km;jul-14;235 kW (320 CV);Automático;Gasolina;7,5;ES;-/- ;€ 23.499
BMW i3;68.005 km;jul-14;125 kW (170 CV);-/- (Cambio);Eléctrico;-/- ;Unknown;0 g ;€ 17.700
BMW 428;110.676 km;may-14;180 kW (245 CV);Automático;Gasolina;6,3;ES;-/- ;€ 20.514
BMW 114;85.002 km;mar-14;75 kW (102 CV);Manual;Gasolina;5,5;ES;-/- ;€ 12.990
BMW 320;91.500 km;jun-14;135 kW (184 CV);Automático;Gasolina;5,9;ES;-/- ;€ 18.490
BMW 428;106.130 km;ago-14;180 kW (245 CV);Manual;Gasolina;-/- ;ES;-/- ;€ 27.990
BMW i3;77.503 km;oct-14;125 kW (170 CV);Automático;Eléctrico;-/- ;ES;0 g ;€ 21.990
BMW 428;106.130 km;ago-14;180 kW (245 CV);Manual;Gasolina;-/- ;ES;-/- ;€ 27.990
BMW 428;106.130 km;ago-14;180 kW (245 CV);Manual;Gasolina;-/- ;ES;-/- ;€ 27.990
BMW M5;80.000 km;may-14;412 kW (560 CV);Automático;Gasolina;9,9;Unknown;231;€ 47.700
BMW M4;23.500 km;nov-14;317 kW (431 CV);Automático;Gasolina;8,7;ES;203;€ 54.500
BMW 428;110.676 km;may-14;180 kW (245 CV);Automático;Gasolina;6,3;ES;-/- ;€ 20.514
BMW 428;110.676 km;may-14;180 kW (245 CV);Automático;Gasolina;6,3;ES;-/- ;€ 20.514
BMW 428;45.243 km;ago-14;180 kW (245 CV);Automático;Gasolina;-/- ;ES;-/- ;€ 30.990
BMW 428;110.676 km;may-14;180 kW (245 CV);Automático;Gasolina;6,3;ES;-/- ;€ 20.514
BMW 428;110.676 km;may-14;180 kW (245 CV);Automático;Gasolina;6,3;ES;-/- ;€ 20.514
BMW;85.861 km;feb-14;75 kW (102 CV);Manual;Gasolina;-/- ;ES;-/- ;€ 12.950
BMW i3;25.000 km;ago-14;125 kW (170 CV);-/- (Cambio);Eléctrico;0,6;Unknown;13 g;€ 14.000
BMW 640;90.450 km;dic-14;235 kW (320 CV);Automático;Gasolina;7,7;ES;-/- ;€ 33.900
BMW M6;102.454 km;mar-14;412 kW (560 CV);Automático;Gasolina;-/- ;ES;-/- ;€ 54.990
BMW M4;39.990 km;dic-14;317 kW (431 CV);Automático;Gasolina;8,3;ES;-/- ;€ 50.890
BMW M4;49.400 km;jun-14;317 kW (431 CV);Automático;Gasolina;8,3;ES;-/- ;€ 52.990
BMW 328;125.000 km;jul-14;180 kW (245 CV);Automático;Gasolina;6,8;ES;-/- ;€ 20.875
BMW i3;99.850 km;mar-14;125 kW (170 CV);Automático;Eléctrico;-/- ;ES;0 g ;€ 14.990
BMW 428;64.000 km;jun-14;180 kW (245 CV);Manual;Gasolina;6,8;ES;-/- ;€ 27.500
BMW 420;185.000 km;nov-14;180 kW (245 CV);Automático;Gasolina;6 l/;Unknown;139;€ 23.000
BMW i3;46.990 km;jun-14;125 kW (170 CV);Automático;Eléctrico;-/- ;ES;0 g ;€ 25.890
BMW i3;67.000 km;may-14;125 kW (170 CV);Automático;Eléctrico;0,6;ES;0 g ;€ 21.900
BMW 428;110.676 km;may-14;180 kW (245 CV);Automático;Gasolina;6,3;ES;-/- ;€ 20.514
BMW X5;77.000 km;oct-14;225 kW (306 CV);Automático;Gasolina;8,5;Unknown;197;€ 42.500
BMW 320;91.500 km;jun-14;135 kW (184 CV);Automático;Gasolina;5,9;ES;-/- ;€ 19.990
BMW 428;109.000 km;sep-14;180 kW (245 CV);Automático;Gasolina;6,3;Unknown;147;€ 27.900
BMW 116;120.000 km;sep-14;100 kW (136 CV);Manual;Gasolina;6,2;ES;131;€ 15.500
BMW 435;96.000 km;jun-14;225 kW (306 CV);Automático;Gasolina;7,5;Unknown;176;€ 31.800
BMW i3;99.850 km;mar-14;125 kW (170 CV);Automático;Eléctrico;-/- ;ES;0 g ;€ 17.990
BMW i3;32.893 km;sep-14;125 kW (170 CV);Automático;Gasolina;-/- ;ES;-/- ;€ 16.990
BMW 135;92.000 km;may-14;235 kW (320 CV);Automático;Gasolina;7,8;ES;-/- ;€ 25.999
BMW i8;42.000 km;dic-14;266 kW (362 CV);Automático;Electro/Gasolina;2,1;ES;-/- ;€ 59.900
BMW M3;75.000 km;jun-14;368 kW (500 CV);Automático;Gasolina;8,3;Unknown;194;€ 79.900
BMW 235;82.000 km;nov-14;240 kW (326 CV);Automático;Gasolina;7,6;Unknown;176;€ 29.999
BMW 428;106.130 km;ago-14;180 kW (245 CV);Manual;Gasolina;-/- ;ES;-/- ;€ 27.990
BMW X5;79.000 km;dic-14;330 kW (449 CV);Automático;Gasolina;10,4;ES;-/- ;€ 49.800
BMW i3;76.081 km;may-14;125 kW (170 CV);-/- (Cambio);Eléctrico;-/- ;Unknown;0 g ;€ 13.699
BMW 420;97.000 km;jun-14;135 kW (184 CV);Manual;Gasolina;6,1;Unknown;144;€ 22.900
BMW i3;32.893 km;sep-14;125 kW (170 CV);Automático;Gasolina;-/- ;ES;-/- ;€ 17.990
BMW i3;44.500 km;mar-14;125 kW (170 CV);Automático;Eléctrico;0,6;ES;0 g ;€ 24.000
BMW 435;55.000 km;jun-14;225 kW (306 CV);Manual;Gasolina;8,2;Unknown;193;€ 36.490
BMW 420;131.000 km;ene-14;135 kW (184 CV);Automático;Gasolina;6 l/;ES;-/- ;€ 20.800
BMW 650;112.458 km;sep-14;330 kW (449 CV);Automático;Gasolina;8,8;ES;-/- ;€ 39.990
BMW i8;69.095 km;jul-14;266 kW (362 CV);Automático;Gasolina;-/- ;ES;-/- ;€ 58.990
BMW 420;40.000 km;jun-14;135 kW (184 CV);Automático;Gasolina;6,8;ES;-/- ;€ 27.995
BMW 650;112.458 km;sep-14;330 kW (449 CV);Automático;Gasolina;8,8;ES;-/- ;€ 39.990
BMW i3;30.600 km;may-14;125 kW (170 CV);Automático;Eléctrico;-/- ;ES;0 g ;€ 17.400
BMW 428;56.300 km;sep-14;180 kW (245 CV);Manual;Gasolina;7 l/;ES;-/- ;€ 34.900
BMW 528;89.000 km;may-14;180 kW (245 CV);Automático;Gasolina;6,4;ES;-/- ;€ 21.550
BMW i3;38.000 km;sep-14;125 kW (170 CV);Automático;Eléctrico;0,6;ES;0 g ;€ 23.990
BMW 420;131.000 km;ene-14;135 kW (184 CV);Automático;Gasolina;6 l/;ES;-/- ;€ 20.800
BMW X5;71.318 km;nov-14;330 kW (449 CV);Automático;Gasolina;10,4;ES;-/- ;€ 49.900
BMW 650;112.458 km;sep-14;330 kW (449 CV);Automático;Gasolina;8,8;ES;-/- ;€ 39.990
BMW 640;138.000 km;jun-14;235 kW (320 CV);Automático;Gasolina;7,7;ES;-/- ;€ 26.900
BMW 428;58.500 km;mar-14;180 kW (245 CV);Automático;Gasolina;6,3;ES;-/- ;€ 28.900
BMW Z4;46.100 km;mar-14;135 kW (184 CV);Manual;Gasolina;6,8;ES;-/- ;€ 27.800
BMW 428;61.000 km;jul-14;180 kW (245 CV);Manual;Gasolina;6,8;ES;-/- ;€ 27.900
BMW M4;8.000 km;jun-14;317 kW (431 CV);Automático;Gasolina;8,3;ES;-/- ;€ 72.000
BMW M6;29.000 km;jun-14;412 kW (560 CV);Automático;Gasolina;9,9;ES;-/- ;€ 90.000
BMW M4;120.000 km;ago-14;317 kW (431 CV);Automático;Gasolina;8,3;Unknown;194;€ 43.995
BMW 335;47.000 km;ago-14;225 kW (306 CV);Automático;Gasolina;7,2;Unknown;169;€ 18.500
BMW 428;102.000 km;nov-14;180 kW (245 CV);Automático;Gasolina;6,3;Unknown;147;€ 24.500
BMW 335;67.000 km;sep-14;225 kW (306 CV);Automático;Gasolina;7,7;Unknown;178;€ 21.250
BMW 235;87.500 km;mar-14;240 kW (326 CV);Automático;Gasolina;7,6;Unknown;176;€ 29.500
BMW X3;32.000 km;jul-14;225 kW (306 CV);Automático;Gasolina;8,8;Unknown;204;€ 29.900
BMW 428;98.000 km;jul-14;180 kW (245 CV);Manual;Gasolina;6,6;ES;154;€ 22.500
BMW 650;112.458 km;sep-14;330 kW (449 CV);Automático;Gasolina;8,8;ES;-/- ;€ 39.990
BMW M4;91.000 km;dic-14;317 kW (431 CV);Automático;Gasolina;-/- ;ES;-/- ;€ 46.990
BMW M4;91.000 km;dic-14;317 kW (431 CV);Automático;Gasolina;-/- ;ES;-/- ;€ 49.990
