vehicle;  km; year; power; transmision; fuel_type; consume; country;emisions;price ;;;
BMW 120;154.779 km;mar-12;135 kW (184 CV);Manual;Diésel;4,5;DE;119;€ 10.990;;;
BMW X1;96.400 km;feb-11;110 kW (150 CV);Manual;Gasolina;8,2;DE;191;€ 12.950;;;
BMW 125;46.000 km;jun-12;160 kW (218 CV);Automático;Gasolina;6,6;DE;156;€ 14.945;;;
BMW 530;199.900 km;may-10;180 kW (245 CV);Automático;Diésel;6,5;Unknown;173;€ 9.000;;;
BMW 116;183.961 km;may-12;100 kW (136 CV);Manual;Gasolina;5,5;Unknown;129;€ 9.500;;;
BMW X3;110.000 km;jul-12;135 kW (184 CV);Automático;Diésel;5,6;AT;147;€ 21.990;;;
BMW 335;170.000 km;may-11;225 kW (306 CV);Automático;Gasolina;8,4;Unknown;196;€ 24.500;;;
BMW X1;145.000 km;ago-10;105 kW (143 CV);Manual;Diésel;-/- ;AT;-/- ;€ 9.600;;;
BMW Z4;93.500 km;abr-12;135 kW (184 CV);Manual;Gasolina;6,8;Unknown;159;€ 17.990;;;
BMW 116;112.000 km;jun-10;90 kW (122 CV);Manual;Gasolina;6,1;DE;143;€ 5.750;;;
BMW 116;180.000 km;dic-10;85 kW (116 CV);Manual;Diésel;4,4;Unknown;118;€ 8.000;;;
BMW 116;180.000 km;dic-10;85 kW (116 CV);Manual;Diésel;4,4;Unknown;118;€ 8.000;;;
BMW 116;180.000 km;dic-10;85 kW (116 CV);Manual;Diésel;4,4;Unknown;118;€ 8.000;;;
BMW X1;122.000 km;oct-12;105 kW (143 CV);Manual;Diésel;5,2;Unknown;136;€ 8.500;;;
BMW Active Hybrid X6;71.294 km;ago-10;357 kW (485 CV);Automático;Electro/Gasolina;9,9;ES;-/- ;€ 28.500;;;
BMW 116;104.526 km;ene-10;90 kW (122 CV);Automático;Gasolina;6,6;Unknown;154;€ 6.000;;;
BMW 118;147.320 km;nov-12;105 kW (143 CV);Manual;Diésel;4,4;Unknown;115;€ 8.650;;;
BMW 120;95.000 km;jun-12;135 kW (184 CV);Manual;Diésel;4,5;ES;-/- ;€ 15.800;;;
BMW 320;117.990 km;nov-10;125 kW (170 CV);Automático;Gasolina;6,4;DE;149;€ 10.990;;;
BMW 318;84.763 km;mar-11;105 kW (143 CV);Automático;Gasolina;6,3;DE;147;€ 11.950;;;
BMW 120;94.908 km;jul-11;130 kW (177 CV);Automático;Diésel;5 l/;DE;132;€ 11.900;;;
BMW 318;99.800 km;abr-11;105 kW (143 CV);Automático;Diésel;4,5;DE;120;€ 8.590;;;
BMW X1;50.450 km;sep-11;135 kW (184 CV);Automático;Gasolina;7,7;DE;179;€ 13.950;;;
BMW 330;137.000 km;feb-11;180 kW (245 CV);Automático;Diésel;6,6;DE;174;€ 10.900;;;
BMW 730;187.056 km;dic-11;180 kW (245 CV);Automático;Diésel;6,8;Unknown;178;€ 17.500;;;
BMW 525;146.000 km;oct-12;160 kW (218 CV);Automático;Diésel;4,8;IT;126;€ 13.900;;;
BMW X1;149.000 km;jun-10;105 kW (143 CV);Manual;Diésel;5,2;Unknown;136;€ 9.650;;;
BMW X1;155.000 km;jul-10;105 kW (143 CV);-/- (Cambio);Diésel;-/- ;Unknown;-/- ;€ 5.200;;;
BMW 320;133.000 km;mar-11;125 kW (170 CV);Automático;Gasolina;7 l/;Unknown;154;€ 15.500;;;
BMW 530;222.000 km;sep-10;180 kW (245 CV);Automático;Diésel;6,1;Unknown;160;€ 13.900;;;
BMW 320;47.000 km;jul-12;135 kW (184 CV);Manual;Gasolina;6,3;IT;147;€ 14.500;;;
BMW 118;132.000 km;nov-11;105 kW (143 CV);Automático;Diésel;4,4;IT;116;€ 9.700;;;
BMW 320;132.000 km;dic-12;135 kW (184 CV);Automático;Diésel;4,4;Unknown;117;€ 12.500;;;
BMW 530;170.000 km;ago-11;190 kW (258 CV);Automático;Diésel;5,7;BE;150;€ 15.500;;;
BMW 318;210.000 km;jul-12;105 kW (143 CV);Automático;Diésel;6,1;DE;162;€ 5.990;;;
BMW 525;147.000 km;abr-10;150 kW (204 CV);Manual;Diésel;6,2;Unknown;162;€ 11.799;;;
BMW X3;198.000 km;oct-10;100 kW (136 CV);Manual;Diésel;6,2;Unknown;165;€ 7.000;;;
BMW 650;62.500 km;jun-11;300 kW (408 CV);Automático;Gasolina;10,6;Unknown;248;€ 29.900;;;
BMW 520;192.500 km;oct-10;135 kW (184 CV);Manual;Diésel;4,9;Unknown;129;€ 11.997;;;
BMW 320;263.434 km;jun-11;135 kW (184 CV);Automático;Diésel;5,1;Unknown;135;€ 12.800;;;
BMW 116;87.348 km;mar-10;85 kW (116 CV);Manual;Diésel;4,4;DE;118;€ 8.990;;;
BMW X1;97.820 km;abr-11;105 kW (143 CV);Automático;Diésel;6,2;DE;164;€ 11.851;;;
BMW 320;139.580 km;ago-11;120 kW (163 CV);Manual;Diésel;4,8;BE;128;€ 7.900;;;
BMW 118;216.000 km;sep-10;105 kW (143 CV);Automático;Diésel;5,4;Unknown;140;€ 8.150;;;
BMW 320;140.000 km;nov-12;135 kW (184 CV);Automático;Diésel;4,6;Unknown;120;€ 13.900;;;
BMW 316;199.500 km;oct-10;85 kW (116 CV);-/- (Cambio);Diésel;-/- ;Unknown;-/- ;€ 2.900;;;
BMW 530;280.000 km;jul-12;190 kW (258 CV);Automático;Diésel;5,5;DE;146;€ 12.800;;;
BMW X1;102.000 km;feb-12;100 kW (136 CV);Automático;Diésel;5,9;BE;155;€ 11.990;;;
BMW 116;169.650 km;may-10;85 kW (116 CV);Manual;Diésel;4,5;AT;119;€ 5.888;;;
BMW X3;139.999 km;nov-12;135 kW (184 CV);Automático;Diésel;5,6;Unknown;149;€ 17.999;;;
BMW 520;224.000 km;ene-10;130 kW (177 CV);Manual;Diésel;5,1;Unknown;136;€ 6.100;;;
BMW 535;98.950 km;mar-12;225 kW (306 CV);Automático;Electro/Gasolina;-/- ;DE;-/- ;€ 20.840;;;
BMW Active Hybrid 5;98.950 km;mar-12;225 kW (306 CV);Automático;Electro/Gasolina;-/- ;DE;-/- ;€ 20.840;;;
BMW 320;119.579 km;nov-12;135 kW (184 CV);Automático;Diésel;-/- ;DE;-/- ;€ 13.990;;;
BMW X1;145.462 km;may-11;105 kW (143 CV);Automático;Diésel;6,2;DE;164;€ 8.999;;;
BMW 325;150.921 km;ago-11;160 kW (218 CV);Automático;Gasolina;7,9;NL;185;€ 20.900;;;
BMW X1;157.000 km;jun-11;105 kW (143 CV);Automático;Diésel;5,2;Unknown;136;€ 9.000;;;
BMW 116;192.000 km;sep-12;85 kW (116 CV);Manual;Diésel;4,1;Unknown;109;€ 6.250;;;
BMW 320;225.000 km;nov-12;135 kW (184 CV);Automático;Gasolina;6,5;Unknown;152;€ 12.900;;;
BMW X6 M;116.432 km;oct-12;280 kW (381 CV);Automático;Diésel;7,7;DE;204;€ 28.990;;;
BMW 318;146.420 km;dic-11;105 kW (143 CV);Manual;Diésel;4,5;DE;120;€ 7.990;;;
