vehicle;  km; year; power; transmision; fuel_type; consume; country;emisions;price 
Land Rover Range Rover Evoque;22.093 km;abr-19;132 kW (179 CV);Automático;Diésel;5,7;Unknown;145;€ 31.200
Land Rover Discovery Sport;25.000 km;ene-18;110 kW (150 CV);Automático;Diésel;5,3;ES;-/- ;€ 24.800
Land Rover Range Rover Evoque;5.000 km;abr-19;110 kW (150 CV);Automático;Diésel;5,1;Unknown;164;€ 35.990
Land Rover Range Rover Evoque;7.020 km;mar-19;147 kW (200 CV);Automático;Gasolina;7,7;ES;-/- ;€ 43.900
Land Rover Discovery Sport;14.258 km;may-19;110 kW (150 CV);Automático;Diésel;5,3;ES;-/- ;€ 34.900
Land Rover Range Rover Velar;41.000 km;ago-19;132 kW (179 CV);Automático;Diésel;5,4;Unknown;152;€ 46.900
Land Rover Range Rover Evoque;81.220 km;abr-18;110 kW (150 CV);Automático;Diésel;5,1;ES;-/- ;€ 29.545
Land Rover Discovery Sport;41.499 km;jun-18;110 kW (150 CV);Automático;Diésel;5,3;ES;-/- ;€ 27.181
Land Rover Range Rover Evoque;81.220 km;abr-18;110 kW (150 CV);Automático;Diésel;5,1;ES;-/- ;€ 29.545
Land Rover Series;31.000 km;abr-19;1 kW (1 CV);-/- (Cambio);Diésel;-/- ;Unknown;-/- ;€ 24.800
Land Rover Range Rover Evoque;81.220 km;abr-18;110 kW (150 CV);Automático;Diésel;5,1;ES;-/- ;€ 29.545
Land Rover Discovery Sport;4.536 km;oct-19;110 kW (150 CV);Automático;Diésel;5,5;ES;-/- ;€ 39.990
Land Rover Range Rover;26.000 km;jul-19;202 kW (275 CV);Automático;Diésel;6,9;ES;-/- ;€ 108.100
Land Rover Range Rover Velar;30.000 km;sep-18;177 kW (241 CV);Automático;Diésel;5,8;ES;-/- ;€ 54.900
Land Rover Range Rover;11.000 km;ene-18;250 kW (340 CV);Automático;Diésel;8,4;ES;-/- ;€ 83.980
Land Rover Range Rover Velar;9.765 km;nov-19;132 kW (179 CV);Automático;Diésel;5,4;ES;-/- ;€ 54.900
Land Rover Range Rover Evoque;44.762 km;mar-18;110 kW (150 CV);Automático;Diésel;5,1;ES;-/- ;€ 28.900
Land Rover Range Rover Velar;11.542 km;ago-19;184 kW (250 CV);Automático;Gasolina;-/- ;ES;-/- ;€ 55.900
Land Rover Range Rover Sport;43.000 km;mar-18;225 kW (306 CV);Automático;Diésel;7 l/;ES;-/- ;€ 67.900
Land Rover Range Rover Evoque;3.442 km;nov-19;110 kW (150 CV);Manual;Diésel;-/- ;ES;-/- ;€ 35.000
Land Rover Range Rover Velar;10 km;jul-19;132 kW (179 CV);Automático;Diésel;-/- ;ES;-/- ;€ 51.000
Land Rover Range Rover Evoque;6.605 km;oct-19;110 kW (150 CV);Automático;-/- (Combustible);-/- ;ES;-/- ;€ 41.500
Land Rover Range Rover Velar;27.413 km;may-18;280 kW (381 CV);Automático;Gasolina;9,4;ES;-/- ;€ 69.900
Land Rover Range Rover Sport;16.275 km;abr-19;297 kW (404 CV);Automático;-/- (Combustible);-/- ;ES;-/- ;€ 71.900
Land Rover Range Rover Velar;10 km;oct-19;132 kW (179 CV);Automático;Diésel;-/- ;ES;-/- ;€ 51.500
Land Rover Range Rover Evoque;900 km;oct-19;110 kW (150 CV);Automático;-/- (Combustible);-/- ;ES;-/- ;€ 41.000
Land Rover Discovery Sport;10 km;nov-19;110 kW (150 CV);Manual;Diésel;5,3;ES;-/- ;€ 39.000
Land Rover Discovery Sport;10 km;nov-19;110 kW (150 CV);Automático;Diésel;5,3;ES;-/- ;€ 39.900
Land Rover Range Rover Evoque;2.500 km;oct-19;110 kW (150 CV);Automático;Diésel;-/- ;ES;-/- ;€ 41.900
Land Rover Discovery Sport;8.500 km;ago-19;110 kW (150 CV);Automático;Diésel;5,5;ES;-/- ;€ 49.000
Land Rover Discovery;10 km;ago-19;190 kW (258 CV);Automático;Diésel;7,2;ES;-/- ;€ 63.500
Land Rover Discovery;4.863 km;abr-18;190 kW (258 CV);Automático;Diésel;7,2;ES;-/- ;€ 56.900
Land Rover Discovery Sport;20.347 km;sep-18;110 kW (150 CV);Automático;Diésel;5,3;ES;-/- ;€ 34.900
Land Rover Discovery Sport;16.000 km;abr-19;110 kW (150 CV);Manual;Diésel;-/- ;ES;-/- ;€ 30.100
Land Rover Range Rover Evoque;21.500 km;oct-18;110 kW (150 CV);Manual;Diésel;4,3;Unknown;154;€ 28.600
Land Rover Range Rover;10.978 km;ene-19;416 kW (566 CV);Automático;Gasolina;12,8;ES;-/- ;€ 162.900
Land Rover Discovery Sport;9 km;ene-19;110 kW (150 CV);Automático;Diésel;4,9;ES;-/- ;€ 41.900
Land Rover Range Rover Evoque;8.900 km;oct-19;110 kW (150 CV);Manual;Diésel;-/- ;ES;-/- ;€ 39.200
Land Rover Discovery Sport;4.694 km;dic-19;132 kW (179 CV);Automático;Diésel;5,6;ES;-/- ;€ 47.900
Land Rover Range Rover Sport;17.228 km;abr-19;225 kW (306 CV);Automático;Diésel;7 l/;ES;-/- ;€ 72.900
Land Rover;12.296 km;oct-19;184 kW (250 CV);Automático;Gasolina;8,3;ES;179;€ 60.000
Land Rover Range Rover Evoque;19.355 km;ago-19;110 kW (150 CV);Automático;Gasolina;5,6;ES;149;€ 38.900
Land Rover Range Rover Sport;100 km;dic-19;297 kW (404 CV);Automático;-/- (Combustible);-/- ;ES;64 g;€ 87.250
Land Rover;13.314 km;nov-19;297 kW (404 CV);Automático;Gasolina;-/- ;ES;73 g;€ 76.000
Land Rover Range Rover Sport;15.000 km;abr-19;225 kW (306 CV);Automático;Diésel;7,5;ES;198;€ 79.900
Land Rover;11.579 km;oct-19;183 kW (249 CV);Automático;Diésel;7,5;ES;198;€ 76.000
Land Rover Range Rover Sport;12.282 km;jul-19;297 kW (404 CV);Automático;Gasolina;-/- ;ES;73 g;€ 83.100
Land Rover;5.435 km;nov-19;110 kW (150 CV);Automático;Diésel;6,5;ES;-/- ;€ 32.900
Land Rover Discovery;16.651 km;feb-19;177 kW (241 CV);Automático;Diésel;7,4;ES;194;€ 56.960
Land Rover Range Rover Velar;35.000 km;jun-19;132 kW (179 CV);Automático;Diésel;5,4;Unknown;152;€ 49.999
Land Rover Range Rover Evoque;9.700 km;nov-19;110 kW (150 CV);Manual;Diésel;-/- ;ES;-/- ;€ 39.900
Land Rover Range Rover Velar;29.000 km;jun-18;184 kW (250 CV);Automático;Gasolina;7,6;ES;-/- ;€ 54.900
Land Rover Range Rover Evoque;6.395 km;may-19;132 kW (179 CV);Automático;Diésel;5,7;ES;-/- ;€ 41.900
Land Rover Range Rover Evoque;81.220 km;abr-18;110 kW (150 CV);Automático;Diésel;5,1;ES;-/- ;€ 29.545
