vehicle;  km; year; power; transmision; fuel_type; consume; country;emisions;price 
Mercedes-Benz A 200;148.636 km;may-11;100 kW (136 CV);Automático;Gasolina;7,2;ES;-/- ;€ 6.600
Mercedes-Benz E 220;139.788 km;dic-11;125 kW (170 CV);Manual;Diésel;4,9;ES;-/- ;€ 13.900
Mercedes-Benz E 250;148.600 km;ene-11;150 kW (204 CV);Automático;Diésel;5,8;ES;-/- ;€ 14.900
Mercedes-Benz GLK 300;118.800 km;jun-11;170 kW (231 CV);Automático;Gasolina;10,2;ES;-/- ;€ 16.970
Mercedes-Benz GLK 220;145.000 km;feb-11;125 kW (170 CV);Automático;Diésel;6,7;ES;-/- ;€ 16.990
Mercedes-Benz C 350;101.642 km;sep-11;225 kW (306 CV);Automático;Gasolina;-/- ;ES;-/- ;€ 18.490
Mercedes-Benz Vito;99.000 km;jun-11;120 kW (163 CV);Manual;Diésel;7,2;ES;-/- ;€ 18.990
Mercedes-Benz R 350;156.000 km;ene-11;195 kW (265 CV);Automático;Diésel;8,5;ES;-/- ;€ 19.900
Mercedes-Benz E 250;93.000 km;jun-11;150 kW (204 CV);Automático;Gasolina;7,9;ES;-/- ;€ 19.900
Mercedes-Benz SLK;107.000 km;jun-11;135 kW (184 CV);Automático;Gasolina;-/- ;ES;-/- ;€ 19.990
Mercedes-Benz E 200;33.638 km;mar-11;135 kW (184 CV);Automático;Gasolina;7,9;ES;-/- ;€ 23.900
Mercedes-Benz GL 350;130.754 km;ene-11;195 kW (265 CV);Automático;Diésel;8,9;ES;-/- ;€ 29.500
Mercedes-Benz SL 500;33.500 km;jul-11;285 kW (387 CV);Automático;Gasolina;-/- ;ES;-/- ;€ 34.950
Mercedes-Benz CL;79.000 km;jul-11;320 kW (435 CV);Automático;Gasolina;9,5;ES;-/- ;€ 39.800
Mercedes-Benz C 220;162.000 km;may-11;125 kW (170 CV);Manual;Diésel;4,4;ES;-/- ;€ 9.490
Mercedes-Benz C 220;180.000 km;jun-11;125 kW (170 CV);Manual;Diésel;4,4;ES;-/- ;€ 10.800
Mercedes-Benz Sprinter;120.000 km;jun-11;120 kW (163 CV);Manual;Diésel;8,2;ES;-/- ;€ 12.900
Mercedes-Benz CLS 350;158.000 km;jun-11;195 kW (265 CV);Automático;Diésel;6,1;ES;-/- ;€ 18.990
Mercedes-Benz CLS 350;115.000 km;oct-11;195 kW (265 CV);Automático;Diésel;6,7;ES;-/- ;€ 21.990
Mercedes-Benz B 180;289.000 km;ene-11;80 kW (109 CV);Manual;Diésel;5,2;ES;-/- ;€ 4.999
Mercedes-Benz B 180;190.000 km;jun-11;80 kW (109 CV);Automático;Diésel;5,6;ES;-/- ;€ 6.000
Mercedes-Benz C 200;290.000 km;ene-11;100 kW (136 CV);Manual;Diésel;5,2;Unknown;137;€ 6.000
Mercedes-Benz A 160;185.000 km;ene-11;60 kW (82 CV);Manual;Diésel;4,5;ES;-/- ;€ 6.450
Mercedes-Benz A 180;200.000 km;ago-11;80 kW (109 CV);Automático;Diésel;5,2;ES;-/- ;€ 7.000
Mercedes-Benz A 180;137.000 km;ene-11;80 kW (109 CV);Manual;Diésel;4,9;ES;-/- ;€ 7.100
Mercedes-Benz C 200;272.024 km;ene-11;100 kW (136 CV);Manual;Diésel;4,9;ES;-/- ;€ 7.500
Mercedes-Benz Vito;310.000 km;oct-11;100 kW (136 CV);Manual;Diésel;7,5;Unknown;198;€ 7.500
Mercedes-Benz E 200;465.000 km;jun-11;125 kW (170 CV);Manual;Diésel;5 l/;ES;-/- ;€ 7.890
Mercedes-Benz A 180;165.000 km;jun-11;80 kW (109 CV);Automático;Diésel;5,2;ES;-/- ;€ 7.900
Mercedes-Benz B 180;218.000 km;mar-11;80 kW (109 CV);Manual;Diésel;5,2;Unknown;136;€ 7.900
Mercedes-Benz A 160;74.000 km;may-11;70 kW (95 CV);Manual;Gasolina;6 l/;ES;-/- ;€ 7.990
Mercedes-Benz A 160;74.000 km;may-11;70 kW (95 CV);Manual;Gasolina;6 l/;ES;-/- ;€ 7.990
Mercedes-Benz B 180;109.000 km;feb-11;80 kW (109 CV);Manual;Diésel;5,2;ES;136;€ 8.300
Mercedes-Benz B 180;159.990 km;mar-11;80 kW (109 CV);Manual;Diésel;5,2;ES;-/- ;€ 8.390
Mercedes-Benz A 200;75.000 km;jun-11;103 kW (140 CV);Automático;Diésel;5,4;ES;-/- ;€ 8.490
Mercedes-Benz B 180;83.000 km;feb-11;80 kW (109 CV);Automático;Diésel;5,6;Unknown;151;€ 8.600
Mercedes-Benz;150.609 km;jun-11;80 kW (109 CV);Automático;Diésel;-/- ;ES;-/- ;€ 8.650
