vehicle;  km; year; power; transmision; fuel_type; consume; country;emisions;price 
Mercedes-Benz E 350;240.000 km;ago-15;190 kW (258 CV);Automático;Diésel;5,7;Unknown;150;€ 20.000
Mercedes-Benz E 350;86.000 km;dic-15;190 kW (258 CV);Automático;Diésel;5 l/;Unknown;133;€ 23.999
Mercedes-Benz GLA 220;116.000 km;dic-15;130 kW (177 CV);Automático;Diésel;4,2;ES;-/- ;€ 22.290
Mercedes-Benz A 200;50.000 km;jun-15;100 kW (136 CV);Manual;Diésel;-/- ;ES;-/- ;€ 18.900
Mercedes-Benz B 180;20.124 km;jun-15;80 kW (109 CV);Automático;Diésel;4 l/;ES;-/- ;€ 24.000
Mercedes-Benz B 180;8.000 km;jun-15;- kW (- CV);Automático;Diésel;-/- ;ES;-/- ;€ 24.500
Mercedes-Benz A 180;24.440 km;jun-15;- kW (- CV);Manual;Diésel;-/- ;ES;-/- ;€ 26.500
Mercedes-Benz A 180;25.825 km;jun-15;- kW (- CV);Automático;Diésel;-/- ;ES;-/- ;€ 26.500
Mercedes-Benz A 200;10.042 km;jun-15;100 kW (136 CV);Automático;Diésel;4,1;ES;-/- ;€ 27.600
Mercedes-Benz A 180;15.613 km;jun-15;- kW (- CV);Automático;Diésel;-/- ;ES;-/- ;€ 24.900
Mercedes-Benz A 200;16.939 km;jun-15;- kW (- CV);Automático;Diésel;-/- ;ES;-/- ;€ 26.900
Mercedes-Benz B 180;85.876 km;ago-15;80 kW (109 CV);Automático;Diésel;4 l/;ES;-/- ;€ 18.000
Mercedes-Benz C 220;99.000 km;nov-15;125 kW (170 CV);Automático;Diésel;4,9;ES;-/- ;€ 19.000
Mercedes-Benz C 220;46.553 km;dic-15;125 kW (170 CV);Manual;Diésel;4,4;ES;-/- ;€ 23.195
Mercedes-Benz A 160;114.000 km;jul-15;- kW (- CV);Manual;Diésel;-/- ;ES;-/- ;€ 15.750
Mercedes-Benz GLA 220;147.579 km;mar-15;125 kW (170 CV);Automático;Diésel;4,2;ES;-/- ;€ 19.500
Mercedes-Benz CLS 250;67.288 km;may-15;150 kW (204 CV);Automático;Diésel;5,3;Unknown;139;€ 31.000
Mercedes-Benz C 250;60.400 km;sep-15;150 kW (204 CV);Automático;Diésel;-/- ;ES;-/- ;€ 26.850
Mercedes-Benz A 200;61.744 km;sep-15;100 kW (136 CV);Automático;Diésel;-/- ;ES;-/- ;€ 19.490
Mercedes-Benz CLA 220;116.000 km;mar-15;130 kW (177 CV);Automático;Diésel;4,2;ES;-/- ;€ 22.500
Mercedes-Benz C 220;90.000 km;may-15;125 kW (170 CV);Automático;Diésel;4,4;ES;-/- ;€ 20.500
Mercedes-Benz Vito;168.522 km;jun-15;100 kW (136 CV);Manual;Diésel;6,4;ES;-/- ;€ 15.499
Mercedes-Benz C 220;78.000 km;ago-15;125 kW (170 CV);Automático;Diésel;4,8;ES;-/- ;€ 25.990
Mercedes-Benz C 220;146.000 km;ago-15;125 kW (170 CV);Manual;Diésel;4 l/;ES;-/- ;€ 19.900
Mercedes-Benz C 200;88.000 km;dic-15;100 kW (136 CV);Manual;Diésel;4,8;ES;-/- ;€ 18.900
Mercedes-Benz CLA 220;60.415 km;may-15;130 kW (177 CV);Automático;Diésel;4,2;ES;-/- ;€ 23.900
Mercedes-Benz GLA 220;34.500 km;nov-15;130 kW (177 CV);Automático;Diésel;4,2;ES;-/- ;€ 22.890
Mercedes-Benz GLA 200;46.892 km;feb-15;100 kW (136 CV);Automático;Diésel;4,2;ES;-/- ;€ 19.907
Mercedes-Benz E 200;140.123 km;sep-15;100 kW (136 CV);Manual;Diésel;4,9;ES;-/- ;€ 17.196
Mercedes-Benz GLA 200;46.892 km;feb-15;100 kW (136 CV);Automático;Diésel;4,2;ES;-/- ;€ 19.907
Mercedes-Benz CLA 200;63.944 km;dic-15;100 kW (136 CV);Manual;Diésel;-/- ;ES;-/- ;€ 18.598
Mercedes-Benz A 220;141.636 km;mar-15;125 kW (170 CV);Automático;Diésel;4,6;ES;-/- ;€ 17.476
Mercedes-Benz E 200;140.123 km;sep-15;100 kW (136 CV);Manual;Diésel;4,9;ES;-/- ;€ 17.196
