vehicle;  km; year; power; transmision; fuel_type; consume; country;emisions;price 
Mercedes-Benz GLA 180;34.613 km;abr-19;90 kW (122 CV);Automático;Gasolina;6,3;Unknown;144;€ 29.000
Mercedes-Benz CLA 180;28.164 km;abr-19;90 kW (122 CV);Automático;Gasolina;6,3;ES;-/- ;€ 23.900
Mercedes-Benz GLA 200;5.730 km;dic-19;115 kW (156 CV);Automático;Gasolina;7,6;ES;-/- ;€ 28.490
Mercedes-Benz A 35 AMG;18.500 km;jun-19;225 kW (306 CV);Automático;Gasolina;7,3;ES;-/- ;€ 59.600
Mercedes-Benz G 63 AMG;15.300 km;mar-19;430 kW (585 CV);Automático;Gasolina;13,1;ES;-/- ;€ 219.900
Mercedes-Benz CLA 180;41.855 km;may-19;100 kW (136 CV);Automático;Gasolina;5,4;ES;-/- ;€ 30.400
Mercedes-Benz GLC 220;7.500 km;ago-19;145 kW (197 CV);Automático;Gasolina;7,1;ES;-/- ;€ 47.100
Mercedes-Benz GLA 180;25.392 km;abr-19;90 kW (122 CV);Automático;Gasolina;6,3;ES;-/- ;€ 24.100
Mercedes-Benz C 180;29.927 km;jun-19;115 kW (156 CV);Automático;Gasolina;6,5;ES;-/- ;€ 33.200
Mercedes-Benz CLA 180;41.855 km;may-19;100 kW (136 CV);Automático;Gasolina;5,4;ES;-/- ;€ 30.400
Mercedes-Benz CLA 200;14.000 km;jul-19;120 kW (163 CV);Automático;Gasolina;5,4;Unknown;123;€ 34.999
Mercedes-Benz A 35 AMG;13.500 km;abr-19;225 kW (306 CV);Automático;Gasolina;7,3;ES;-/- ;€ 57.700
Mercedes-Benz A 220;12.905 km;sep-19;140 kW (190 CV);Automático;Gasolina;6,1;ES;-/- ;€ 35.300
Mercedes-Benz C 200;15.974 km;feb-19;135 kW (184 CV);Automático;Gasolina;5,9;ES;-/- ;€ 33.400
Mercedes-Benz GLA 180;27.291 km;ene-19;90 kW (122 CV);Automático;Gasolina;6,9;ES;-/- ;€ 26.300
Mercedes-Benz GLA 180;23.577 km;feb-19;90 kW (122 CV);Automático;Gasolina;6,3;ES;-/- ;€ 24.990
Mercedes-Benz;2.696 km;may-19;100 kW (136 CV);Manual;Gasolina;5,6;ES;-/- ;€ 26.900
Mercedes-Benz GLA 180;7.780 km;may-19;90 kW (122 CV);Automático;Gasolina;-/- ;ES;-/- ;€ 23.990
Mercedes-Benz C 350;40.000 km;ene-19;205 kW (279 CV);Automático;Electro/Gasolina;2,4;Unknown;49 g;€ 40.000
Mercedes-Benz CLA 200;25.035 km;oct-19;120 kW (163 CV);Automático;Gasolina;5,3;ES;-/- ;€ 31.000
Mercedes-Benz A 35 AMG;16.500 km;abr-19;225 kW (306 CV);Automático;Gasolina;7,3;ES;-/- ;€ 54.500
Mercedes-Benz CLS;35.500 km;dic-19;270 kW (367 CV);Automático;Gasolina;7,7;ES;-/- ;€ 59.490
Mercedes-Benz C 63 AMG;14.000 km;ene-19;375 kW (510 CV);Automático;Gasolina;10,1;ES;-/- ;€ 103.900
Mercedes-Benz C 63 AMG;20.000 km;may-19;375 kW (510 CV);Automático;Gasolina;10,1;ES;-/- ;€ 89.900
Mercedes-Benz GLE 450;17.000 km;nov-19;270 kW (367 CV);Automático;Gasolina;8,3;ES;-/- ;€ 87.000
Mercedes-Benz G 63 AMG;100 km;ago-19;430 kW (585 CV);Automático;Gasolina;13,1;ES;-/- ;€ 305.900
Mercedes-Benz AMG GT;1.338 km;oct-19;430 kW (585 CV);Automático;Gasolina;12,5;ES;-/- ;€ 255.900
Mercedes-Benz CLA 200;19.778 km;abr-19;115 kW (156 CV);Automático;Gasolina;6,4;ES;-/- ;€ 24.400
Mercedes-Benz A 200;1.762 km;sep-19;120 kW (163 CV);Automático;Gasolina;5,4;ES;-/- ;€ 33.950
Mercedes-Benz C 200;23.497 km;jul-19;135 kW (184 CV);Automático;Gasolina;6,2;Unknown;142;€ 35.900
Mercedes-Benz AMG GT;18.000 km;nov-19;470 kW (639 CV);Automático;Gasolina;11,3;ES;-/- ;€ 159.900
Mercedes-Benz B 180;23.115 km;abr-19;100 kW (136 CV);Automático;Gasolina;5,4;ES;-/- ;€ 25.500
Mercedes-Benz C 200;10.000 km;dic-19;135 kW (184 CV);Automático;Gasolina;5,9;ES;-/- ;€ 34.900
Mercedes-Benz B 180;23.115 km;abr-19;100 kW (136 CV);Automático;Gasolina;5,4;ES;-/- ;€ 25.500
Mercedes-Benz GLA 180;17.200 km;abr-19;90 kW (122 CV);Automático;Gasolina;6,3;ES;144;€ 25.900
