vehicle;  km; year; power; transmision; fuel_type; consume; country;emisions;price 
Mercedes-Benz E 350;50.000 km;jun-15;190 kW (258 CV);Automático;Diésel;6,1;DE;162;€ 29.880
Mercedes-Benz A 45 AMG;47.000 km;oct-15;280 kW (381 CV);Automático;Gasolina;6,9;ES;-/- ;€ 36.800
Mercedes-Benz A 180;96.000 km;feb-13;80 kW (109 CV);Automático;Diésel;4,4;DE;117;€ 14.999
Mercedes-Benz C 220;125.000 km;ago-13;125 kW (170 CV);Automático;Diésel;4,4;DE;125;€ 13.750
Mercedes-Benz B 180;84.000 km;may-14;80 kW (109 CV);Automático;Diésel;4,1;Unknown;107;€ 14.500
Mercedes-Benz E 200;348.000 km;jun-14;135 kW (184 CV);Automático;Gasolina;6,3;Unknown;147;€ 9.500
Mercedes-Benz A 180;55.427 km;ago-15;90 kW (122 CV);Automático;Gasolina;5,6;DE;131;€ 14.990
Mercedes-Benz E 300;218.000 km;abr-13;150 kW (204 CV);Automático;Electro/Diésel;3,8;Unknown;99 g;€ 9.500
Mercedes-Benz CLS 250;171.500 km;oct-14;150 kW (204 CV);Automático;Diésel;5,1;Unknown;134;€ 24.999
Mercedes-Benz GLA 200;64.600 km;abr-14;100 kW (136 CV);Automático;Diésel;4,8;Unknown;127;€ 15.500
Mercedes-Benz E 320;56.000 km;ago-15;200 kW (272 CV);Automático;Gasolina;7,4;Unknown;172;€ 28.999
Mercedes-Benz GLA 220;78.644 km;abr-15;130 kW (177 CV);Automático;Diésel;4,8;ES;-/- ;€ 22.900
Mercedes-Benz B 180;58.375 km;dic-13;80 kW (109 CV);Manual;Diésel;4,1;ES;-/- ;€ 14.900
Mercedes-Benz A 180;67.378 km;nov-15;90 kW (122 CV);Automático;Gasolina;5,6;DE;131;€ 15.980
Mercedes-Benz E 220;178.086 km;mar-14;125 kW (170 CV);Automático;Diésel;-/- ;DE;-/- ;€ 18.990
Mercedes-Benz C 220;49.900 km;ene-15;125 kW (170 CV);Automático;Diésel;4,4;Unknown;114;€ 26.995
Mercedes-Benz B 180;33.000 km;mar-15;90 kW (122 CV);Automático;Gasolina;5,6;DE;129;€ 17.500
Mercedes-Benz CLS 350;210.000 km;mar-15;185 kW (252 CV);Automático;Diésel;-/- ;FR;179;€ 19.990
Mercedes-Benz B 200;96.000 km;may-13;115 kW (156 CV);Automático;Gasolina;0 l/;Unknown;0 g ;€ 12.500
Mercedes-Benz C 180;84.520 km;abr-14;115 kW (156 CV);Automático;Gasolina;5,8;Unknown;136;€ 19.000
Mercedes-Benz ML 350;129.100 km;sep-14;190 kW (258 CV);Automático;Diésel;-/- ;DE;-/- ;€ 25.900
Mercedes-Benz CLA 180;58.944 km;sep-14;90 kW (122 CV);Automático;Gasolina;5,1;BE;-/- ;€ 18.500
Mercedes-Benz Vito;113.000 km;jun-15;120 kW (163 CV);Automático;Diésel;6,3;DE;166;€ 16.950
Mercedes-Benz A 180;102.000 km;mar-14;80 kW (109 CV);Semiautomático;Diésel;4 l/;Unknown;103;€ 12.700
Mercedes-Benz A 180;70.700 km;ago-15;80 kW (109 CV);Manual;Diésel;3,8;IT;98 g;€ 16.900
Mercedes-Benz CLA 200;96.889 km;mar-14;100 kW (136 CV);Manual;Diésel;4,2;IT;109;€ 17.800
Mercedes-Benz CLA 250;93.500 km;jul-13;155 kW (211 CV);Automático;Gasolina;6,4;Unknown;148;€ 22.500
Mercedes-Benz CLA 250;93.500 km;jul-13;155 kW (211 CV);Automático;Gasolina;6,4;Unknown;148;€ 22.500
Mercedes-Benz CLA 250;93.500 km;jul-13;155 kW (211 CV);Automático;Gasolina;6,4;Unknown;148;€ 22.500
Mercedes-Benz A 180;70.700 km;ago-15;80 kW (109 CV);Manual;Diésel;3,8;IT;98 g;€ 16.900
Mercedes-Benz Sprinter;178.000 km;jun-14;120 kW (163 CV);Manual;Diésel;8,1;Unknown;213;€ 17.000
Mercedes-Benz A 200;69.000 km;abr-13;115 kW (156 CV);Automático;Gasolina;5,5;DE;130;€ 16.800
Mercedes-Benz Sprinter;100.000 km;mar-14;70 kW (95 CV);Automático;Diésel;9,3;Unknown;246;€ 13.500
Mercedes-Benz CLS 350;210.000 km;mar-15;185 kW (252 CV);Automático;Diésel;-/- ;BE;179;€ 19.990
Mercedes-Benz SLK 200;92.000 km;may-13;135 kW (184 CV);Manual;Gasolina;6,4;Unknown;149;€ 18.750
Mercedes-Benz B 180;119.000 km;feb-13;80 kW (109 CV);Automático;Diésel;4,4;Unknown;114;€ 14.000
Mercedes-Benz A 200;99.997 km;abr-14;115 kW (156 CV);Automático;Gasolina;5,5;DE;129;€ 14.990
Mercedes-Benz Sprinter;204.890 km;mar-13;95 kW (129 CV);Manual;Diésel;-/- ;Unknown;-/- ;€ 6.650
