vehicle;  km; year; power; transmision; fuel_type; consume; country;emisions;price 
Porsche 911;16.500 km;ago-18;272 kW (370 CV);Manual;Gasolina;9,5;Unknown;215;€ 96.500
Porsche Panamera;2.600 km;ene-18;500 kW (680 CV);Automático;Electro/Gasolina;3,3;ES;-/- ;€ 149.900
Porsche 911;14.050 km;ago-18;309 kW (420 CV);Automático;Gasolina;-/- ;ES;-/- ;€ 128.500
Porsche 991;8.000 km;abr-18;383 kW (521 CV);Automático;Gasolina;12,8;ES;-/- ;€ 219.900
Porsche 992;7.300 km;jun-19;331 kW (450 CV);Automático;Gasolina;9,8;ES;-/- ;€ 142.900
Porsche Macan;22.000 km;ago-18;250 kW (340 CV);Automático;Gasolina;8,7;ES;-/- ;€ 54.800
Porsche Cayman;14.500 km;jul-19;220 kW (299 CV);Automático;Gasolina;7,9;ES;-/- ;€ 62.500
Porsche Boxster;4.500 km;dic-19;220 kW (299 CV);Automático;Gasolina;7,9;ES;-/- ;€ 79.900
Porsche Boxster;9.000 km;jul-19;220 kW (299 CV);Automático;Gasolina;7,9;ES;-/- ;€ 69.900
Porsche 991;3.000 km;dic-18;515 kW (700 CV);Automático;Gasolina;12,8;ES;-/- ;€ 399.900
Porsche 911;14.800 km;mar-19;331 kW (450 CV);Automático;Gasolina;9,6;ES;220;€ 143.900
Porsche Panamera;14 km;dic-19;324 kW (441 CV);Automático;Gasolina;-/- ;ES;-/- ;€ 153.900
Porsche Macan;35.900 km;abr-18;185 kW (252 CV);Automático;Gasolina;7,2;Unknown;167;€ 45.000
Porsche Cayman;39.000 km;jul-18;220 kW (299 CV);Automático;Gasolina;7,9;ES;-/- ;€ 54.500
Porsche Macan;26.000 km;feb-19;180 kW (245 CV);Automático;Gasolina;8,1;ES;-/- ;€ 64.900
Porsche Macan;2.500 km;sep-19;260 kW (354 CV);Automático;Gasolina;8,9;ES;-/- ;€ 94.900
Porsche Cayenne;143.700 km;ene-18;324 kW (441 CV);Automático;Gasolina;9,4;ES;-/- ;€ 69.900
Porsche Macan;2.500 km;may-19;180 kW (245 CV);Automático;Gasolina;8,1;ES;185;€ 76.500
Porsche 911;19.000 km;mar-19;331 kW (450 CV);Automático;Gasolina;8,9;ES;205;€ 139.990
Porsche Panamera;68.500 km;jun-18;500 kW (680 CV);Automático;Electro/Gasolina;3,3;ES;-/- ;€ 139.900
Porsche Cayenne;11.900 km;jul-19;250 kW (340 CV);Automático;Gasolina;9,2;ES;-/- ;€ 95.900
Porsche Macan;22.500 km;ago-18;265 kW (360 CV);Automático;Gasolina;9,2;Unknown;215;€ 78.900
Porsche Panamera;27.000 km;abr-18;404 kW (549 CV);Automático;Gasolina;10,6;ES;243;€ 129.990
Porsche Panamera;25.000 km;mar-18;340 kW (462 CV);Automático;Electro/Gasolina;2,7;Unknown;62 g;€ 100.000
Porsche Macan;38.700 km;abr-18;190 kW (258 CV);Automático;Diésel;6,3;Unknown;164;€ 59.500
Porsche 991;18.200 km;abr-18;331 kW (450 CV);Automático;Gasolina;9,1;ES;-/- ;€ 139.990
Porsche 992;22.000 km;mar-19;331 kW (450 CV);Automático;Gasolina;9,6;ES;-/- ;€ 161.900
Porsche Macan;40.790 km;dic-18;185 kW (252 CV);Automático;Gasolina;7,2;ES;-/- ;€ 64.900
Porsche Panamera;9.000 km;nov-19;340 kW (462 CV);Automático;Electro/Gasolina;2,7;ES;-/- ;€ 119.900
Porsche Macan;6.300 km;ago-19;180 kW (245 CV);Automático;Gasolina;8,1;ES;-/- ;€ 79.900
Porsche Macan;35.000 km;abr-19;180 kW (245 CV);Automático;Gasolina;8,1;Unknown;185;€ 65.900
Porsche Panamera;39.000 km;ene-18;500 kW (680 CV);Automático;Electro/Gasolina;-/- ;ES;-/- ;€ 145.000
Porsche 992;18.000 km;jul-19;331 kW (450 CV);Automático;Gasolina;8,9;ES;-/- ;€ 130.900
Porsche Cayenne;60.000 km;may-18;250 kW (340 CV);Automático;Gasolina;9,2;ES;-/- ;€ 69.975
Porsche 991;38.471 km;nov-18;331 kW (450 CV);Automático;Gasolina;8,9;ES;-/- ;€ 115.900
Porsche 992;32.992 km;may-19;331 kW (450 CV);Automático;Gasolina;9,6;ES;-/- ;€ 148.900
Porsche 992;13.350 km;dic-19;331 kW (450 CV);Automático;Gasolina;9,9;ES;-/- ;€ 167.900
Porsche 992;21.100 km;nov-19;331 kW (450 CV);Automático;Gasolina;9,6;ES;-/- ;€ 146.900
Porsche 991;26.700 km;jul-18;309 kW (420 CV);Automático;Gasolina;7,8;ES;-/- ;€ 117.900
Porsche Cayenne;25.000 km;ene-18;324 kW (441 CV);Automático;Gasolina;9,4;Unknown;209;€ 90.000
Porsche 991;5.265 km;may-18;515 kW (700 CV);Automático;Gasolina;13,2;Unknown;308;€ 300.500
Porsche Panamera;24.700 km;abr-18;500 kW (680 CV);Automático;Electro/Gasolina;3,3;ES;-/- ;€ 152.400
Porsche 991;8.000 km;ene-19;427 kW (581 CV);Automático;Gasolina;9,3;ES;-/- ;€ 185.900
Porsche Cayenne;12.000 km;mar-19;250 kW (340 CV);Automático;Gasolina;9,2;ES;-/- ;€ 99.900
Porsche Macan;29.000 km;abr-18;185 kW (252 CV);Automático;Gasolina;7,2;ES;-/- ;€ 53.900
Porsche Cayenne;7.000 km;mar-19;250 kW (340 CV);Automático;Gasolina;9 l/;Unknown;205;€ 95.000
Porsche Panamera;11.500 km;may-19;340 kW (462 CV);Automático;Electro/Gasolina;2,7;ES;-/- ;€ 112.900
Porsche Macan;10.300 km;ago-19;260 kW (354 CV);Automático;Gasolina;8,9;ES;-/- ;€ 90.800
Porsche Macan;4.950 km;jun-19;260 kW (354 CV);Automático;Gasolina;8,9;ES;-/- ;€ 83.800
Porsche Cayenne;14.800 km;jun-19;250 kW (340 CV);Automático;Gasolina;9,2;ES;-/- ;€ 89.800
Porsche Cayman;1.120 km;nov-19;309 kW (420 CV);Manual;Gasolina;-/- ;ES;-/- ;€ 122.900
Porsche 992;11.500 km;nov-19;283 kW (385 CV);Automático;Gasolina;9,4;ES;-/- ;€ 125.900
Porsche 992;8.350 km;nov-19;283 kW (385 CV);Automático;Gasolina;9,6;ES;-/- ;€ 139.900
Porsche Macan;3.900 km;ago-19;180 kW (245 CV);Automático;Gasolina;8,1;ES;-/- ;€ 77.900
