vehicle;  km; year; power; transmision; fuel_type; consume; country;emisions;price 
Porsche Boxster;89.211 km;oct-13;195 kW (265 CV);Automático;Gasolina;7,7;Unknown;180;€ 18.000
Porsche Cayenne;81.064 km;jun-13;294 kW (400 CV);Automático;Gasolina;10,5;ES;-/- ;€ 42.900
Porsche Macan;101.052 km;may-15;190 kW (258 CV);Automático;Diésel;6,1;ES;-/- ;€ 39.900
Porsche Cayenne;184.108 km;jun-15;245 kW (333 CV);Automático;Electro/Gasolina;-/- ;DE;-/- ;€ 37.990
Porsche Panamera;148.653 km;jun-14;221 kW (300 CV);Automático;Diésel;6,4;ES;-/- ;€ 42.990
Porsche Boxster;43.000 km;jun-14;232 kW (315 CV);Automático;Gasolina;9 l/;DE;213;€ 53.981
Porsche Panamera;112.000 km;abr-15;221 kW (300 CV);Automático;Diésel;6,4;Unknown;169;€ 42.800
Porsche Cayenne;37.079 km;jun-13;281 kW (382 CV);Automático;Diésel;8,3;DE;219;€ 49.950
Porsche 991;74.900 km;jun-13;294 kW (400 CV);Manual;Gasolina;9,5;DE;224;€ 73.900
Porsche 991;55.000 km;nov-15;294 kW (400 CV);Automático;Gasolina;10 l;IT;235;€ 77.900
Porsche 991;118.467 km;ene-14;413 kW (562 CV);Automático;Gasolina;9,7;NL;227;€ 99.888
Porsche 991;67.498 km;feb-14;257 kW (349 CV);Manual;Gasolina;9,3;IT;219;€ 68.911
Porsche;36.278 km;oct-13;412 kW (560 CV);Automático;Gasolina;-/- ;NL;227;€ 129.900
Porsche 911;144.568 km;feb-13;294 kW (400 CV);Automático;Gasolina;8,9;BE;217;€ 69.499
Porsche Cayenne;100.000 km;oct-14;193 kW (262 CV);Automático;Diésel;6,8;Unknown;179;€ 45.000
Porsche Macan;213.468 km;feb-15;190 kW (258 CV);Automático;Diésel;6,2;NL;162;€ 29.999
Porsche Macan;90.000 km;jun-14;184 kW (250 CV);Automático;Diésel;5,9;IT;164;€ 39.800
Porsche Macan;90.000 km;jun-14;184 kW (250 CV);Automático;Diésel;5,9;IT;164;€ 39.800
Porsche Macan;98.900 km;feb-15;184 kW (250 CV);Automático;Diésel;6,3;IT;164;€ 37.900
Porsche Macan;152.900 km;dic-15;184 kW (250 CV);Semiautomático;Diésel;6,3;Unknown;164;€ 32.500
Porsche 911;36.500 km;may-13;257 kW (349 CV);Automático;Gasolina;8,6;Unknown;203;€ 69.000
Porsche Cayenne;112.000 km;ene-15;245 kW (333 CV);Automático;Electro/Gasolina;3,4;BE;79 g;€ 43.900
Porsche 911;50.320 km;may-13;257 kW (349 CV);Automático;Gasolina;8,2;BE;194;€ 74.991
Porsche Cayenne;103.898 km;oct-15;245 kW (333 CV);Automático;Electro/Gasolina;3,3;NL;79 g;€ 41.950
Porsche Macan;108.000 km;sep-15;184 kW (250 CV);Semiautomático;Diésel;6,3;Unknown;164;€ 46.700
Porsche 991;8.105 km;mar-15;350 kW (476 CV);Automático;Gasolina;-/- ;DE;-/- ;€ 121.990
Porsche Boxster;39.900 km;mar-15;243 kW (330 CV);Automático;Gasolina;8,2;Unknown;190;€ 63.900
Porsche Cayenne;203.000 km;mar-14;180 kW (245 CV);Automático;Diésel;7,2;IT;189;€ 25.490
Porsche Cayenne;114.000 km;may-14;180 kW (245 CV);Automático;Diésel;7,2;Unknown;189;€ 28.000
Porsche Cayenne;71.000 km;jun-15;193 kW (262 CV);Automático;Diésel;6,6;IT;173;€ 44.990
Porsche 991;8.368 km;may-14;316 kW (430 CV);Automático;Gasolina;-/- ;DE;-/- ;€ 151.890
Porsche Cayenne;81.051 km;oct-13;281 kW (382 CV);Automático;Diésel;8,3;FR;218;€ 41.000
Porsche 911;182.000 km;ene-14;294 kW (400 CV);Automático;Gasolina;9,7;Unknown;228;€ 72.000
Porsche Cayenne;152.000 km;mar-14;180 kW (245 CV);Automático;Diésel;-/- ;Unknown;-/- ;€ 39.500
Porsche Cayenne;139.900 km;nov-13;180 kW (245 CV);Automático;Diésel;7,2;Unknown;189;€ 36.750
Porsche Boxster;64.000 km;oct-13;232 kW (315 CV);Manual;Gasolina;9 l/;Unknown;211;€ 43.900
Porsche Panamera;17.000 km;dic-14;221 kW (300 CV);Automático;Diésel;6,4;Unknown;169;€ 35.000
Porsche 911;57.000 km;may-13;294 kW (400 CV);Manual;Gasolina;1 l/;Unknown;235;€ 94.900
Porsche Macan;145.000 km;feb-15;184 kW (250 CV);Semiautomático;Diésel;6,3;Unknown;164;€ 43.500
Porsche Cayenne;130.900 km;feb-13;245 kW (333 CV);Automático;Electro/Gasolina;8,2;DE;-/- ;€ 31.900
Porsche 991;22.900 km;may-15;412 kW (560 CV);Automático;Gasolina;9,7;DE;230;€ 129.900
Porsche 911;140.500 km;jun-13;257 kW (349 CV);Manual;Gasolina;9,3;Unknown;219;€ 62.500
Porsche Panamera;88.200 km;oct-14;245 kW (333 CV);Automático;Electro/Gasolina;-/- ;Unknown;-/- ;€ 51.500
Porsche 911;39.000 km;dic-15;272 kW (370 CV);Automático;Gasolina;7,4;BE;169;€ 104.390
Porsche Panamera;158.230 km;sep-13;220 kW (299 CV);Semiautomático;Gasolina;9,6;IT;225;€ 26.910
Porsche 991;43.234 km;jun-14;257 kW (349 CV);Automático;Gasolina;8,6;NL;202;€ 92.888
Porsche Macan;169.000 km;abr-14;184 kW (250 CV);Automático;Diésel;6,3;Unknown;164;€ 39.900
Porsche 991;39.000 km;dic-15;272 kW (370 CV);Automático;Gasolina;7,4;NL;169;€ 89.991
Porsche Cayenne;253.500 km;ene-14;180 kW (245 CV);Automático;Diésel;7,2;Unknown;189;€ 22.890
Porsche Macan;59.000 km;jul-15;250 kW (340 CV);Automático;Gasolina;9 l/;BE;212;€ 46.490
Porsche Cayman;103.000 km;ago-15;239 kW (325 CV);Automático;Gasolina;9 l/;DE;213;€ 43.800
Porsche Cayenne;134.000 km;ago-14;155 kW (211 CV);Automático;Diésel;6,6;FR;189;€ 30.950
Porsche Cayenne;89.000 km;abr-15;381 kW (518 CV);Automático;Gasolina;11,2;IT;261;€ 49.900
Porsche Boxster;45.000 km;mar-15;243 kW (330 CV);Automático;Gasolina;-/- ;NL;-/- ;€ 74.800
Porsche Boxster;46.981 km;jul-13;198 kW (269 CV);-/- (Cambio);Gasolina;-/- ;FR;183;€ 50.981
Porsche Macan;41.100 km;may-14;299 kW (407 CV);Automático;Gasolina;-/- ;FR;208;€ 61.800
Porsche Macan;119.500 km;ago-15;184 kW (250 CV);Automático;Diésel;6,3;IT;164;€ 37.800
Porsche Macan;55.871 km;jun-14;190 kW (258 CV);Automático;Diésel;6,3;DE;167;€ 43.500
Porsche Cayenne;87.000 km;dic-14;193 kW (262 CV);Automático;Diésel;6,8;DE;180;€ 41.890
Porsche 991;224 km;dic-15;350 kW (476 CV);Automático;Gasolina;12,4;DE;294;€ 139.990
Porsche Cayenne;126.651 km;oct-15;193 kW (262 CV);Automático;Diésel;6,8;DE;179;€ 36.490
