Brand;Model;Year;Km;Power;Fuel_type;Price;Predictions;Error
Porsche;Cayenne;2017;89200;420;Gasolina;29500;67108;-37608
LandRover;RangeRoverSport;2016;33407;551;Gasolina;46463;78667;-32204
LandRover;RangeRoverSport;2016;33932;551;Gasolina;46205;78315;-32110
Audi;Q7;2015;142000;272;Diesel;3500;32121;-28621
Porsche;Cayenne;2017;39193;441;Gasolina;58960;86365;-27405
LandRover;DiscoverySport;2018;22000;241;Gasolina;25000;50390;-25390
Porsche;Panamera;2014;17000;300;Diesel;35000;59984;-24984
Porsche;Macan;2017;57800;258;Diesel;28890;53497;-24607
Porsche;Macan;2017;22430;250;Diesel;33393;57918;-24525
LandRover;RangeRoverVelar;2018;32963;300;Diesel;40244;64695;-24451
Porsche;Macan;2017;22515;250;Diesel;33671;57918;-24247
Porsche;Macan;2016;67200;340;Gasolina;29500;53696;-24196
LandRover;RangeRoverVelar;2018;32995;300;Diesel;40557;64695;-24138
Audi;SQ7;2018;83000;435;Diesel;55000;78100;-23100
Porsche;Cayenne;2017;90700;441;Gasolina;55900;77891;-21991
LandRover;RangeRover;2013;144000;249;Diesel;23500;44841;-21341
Porsche;Macan;2017;53322;360;Gasolina;46900;67323;-20423
LandRover;RangeRoverEvoque;2018;45300;241;Gasolina;30200;50525;-20325
Mercedes-Benz;E;2018;38567;333;Gasolina;39980;60261;-20281
Porsche;Boxster;2017;37959;349;Gasolina;45000;65161;-20161
BMW;Serie4;2015;99500;404;Diesel;28000;48151;-20151
Porsche;Cayenne;2015;89000;518;Gasolina;49900;69959;-20059
Porsche;Boxster;2012;19894;315;Gasolina;33000;52825;-19825
Audi;S8;2017;49568;519;Gasolina;44820;64606;-19786
Mercedes-Benz;GLC;2017;41000;211;Gasolina;21500;41200;-19700
BMW;Serie1;2015;68914;320;Gasolina;10200;29606;-19406
LandRover;DiscoverySport;2018;33500;241;Gasolina;36940;56147;-19207
Audi;A6;2014;67000;560;Gasolina;53000;72159;-19159
Porsche;Macan;2018;73932;441;Gasolina;62874;81796;-18922
Porsche;Cayenne;2011;135000;400;Gasolina;16900;35735;-18835
Mercedes-Benz;E;2018;41260;258;Diesel;37970;56347;-18377
Porsche;Cayenne;2017;79500;385;Diesel;44880;63201;-18321
Porsche;Boxster;2013;89211;265;Gasolina;18000;36196;-18196
Porsche;Macan;2017;32858;340;Gasolina;43633;61761;-18128
Mercedes-Benz;GL;2017;229000;250;Gasolina;11000;28979;-17979
LandRover;RangeRoverSport;2011;114000;510;Gasolina;17000;34756;-17756
Mercedes-Benz;GLE;2017;73200;367;Gasolina;44890;62463;-17573
LandRover;DiscoverySport;2018;67894;179;Diesel;23990;41179;-17189
Mercedes-Benz;E;2018;37710;286;Diesel;41890;58861;-16971
Audi;RS3;2018;51994;500;Gasolina;48623;65572;-16949
Porsche;Macan;2017;48900;340;Gasolina;45900;62801;-16901
Porsche;Cayman;2016;16000;349;Gasolina;53900;70710;-16810
Porsche;Boxster;2018;6500;299;Gasolina;55900;72600;-16700
Porsche;Cayenne;2017;32400;441;Gasolina;69900;86593;-16693
Porsche;Boxster;2018;38000;451;Gasolina;64950;81592;-16642
Porsche;Macan;2017;24250;340;Gasolina;47500;64120;-16620
Porsche;Cayenne;2017;32000;441;Gasolina;69400;85985;-16585
Porsche;Macan;2015;73425;258;Diesel;30489;46841;-16352
BMW;Serie5;2017;30125;462;Gasolina;48900;65066;-16166
Audi;S8;2017;113750;605;Gasolina;42900;58975;-16075
