Brand,Model,Year,Km,Power,Fuel_type,Price
BMW,Serie3,2010,111846,170,Gasolina,15500
BMW,X5,2010,90590,235,Diesel,19700
BMW,Serie3,2010,144888,170,Gasolina,10900
BMW,Serie5,2010,95848,258,Gasolina,16400
BMW,Serie3,2010,92000,184,Diesel,13500
BMW,Serie1,2010,151478,116,Diesel,7950
BMW,Serie1,2010,117455,143,Gasolina,10900
BMW,Serie5,2010,143985,245,Diesel,16200
BMW,Serie3,2010,161871,184,Diesel,10400
BMW,Z4,2010,62659,306,Gasolina,25900
BMW,Z4,2010,111239,204,Gasolina,17900
BMW,X5,2010,182300,245,Diesel,17590
BMW,X3,2010,250000,177,Diesel,10000
BMW,Serie3,2010,136000,143,Diesel,9900
BMW,Z4,2010,120000,204,Gasolina,19500
BMW,Serie1,2010,190000,143,Diesel,5900
BMW,Serie5,2010,354000,177,Diesel,6200
BMW,Serie5,2010,175000,245,Diesel,15990
BMW,X5,2010,60000,235,Diesel,17900
BMW,Serie1,2010,137000,116,Diesel,9000
BMW,Serie3,2010,148000,306,Gasolina,21900
BMW,Serie3,2010,199000,245,Diesel,12990
BMW,Serie1,2010,133000,116,Diesel,8500
BMW,Serie1,2010,112000,143,Diesel,8990
BMW,Serie5,2010,189735,204,Diesel,13550
BMW,X6,2010,189000,235,Diesel,19990
BMW,Serie1,2010,120000,143,Diesel,10500
BMW,Serie3,2010,179000,143,Diesel,7600
BMW,Serie7,2010,159000,329,Diesel,16950
BMW,X1,2010,150000,177,Diesel,10500
BMW,X1,2010,130511,143,Diesel,12500
BMW,X6,2010,150000,286,Diesel,24500
BMW,Serie3,2010,123000,204,Diesel,16000
BMW,Serie3,2010,134000,116,Diesel,7900
BMW,Serie5,2010,34500,245,Diesel,11500
BMW,Serie5,2010,92000,245,Diesel,17500
BMW,X6,2010,97000,306,Gasolina,31500
BMW,Serie3,2010,98000,177,Diesel,13900
BMW,Serie3,2010,315000,143,Diesel,7500
BMW,X5,2010,189000,235,Diesel,16900
BMW,Serie1,2010,200000,177,Diesel,10000
BMW,Serie5,2010,279990,245,Diesel,11740
BMW,Serie5,2010,171999,245,Diesel,12500
BMW,Serie1,2010,138000,177,Diesel,7980
BMW,Z4,2010,87650,204,Gasolina,18900
BMW,Serie1,2010,127000,143,Diesel,7500
BMW,Serie5,2010,98805,245,Diesel,16990
BMW,Serie5,2010,215000,184,Diesel,16000
BMW,Serie5,2010,131990,204,Gasolina,16490
BMW,Serie3,2010,307605,184,Diesel,7490
BMW,Serie7,2010,243000,306,Diesel,15999
BMW,X1,2010,269000,177,Diesel,7990
BMW,Serie3,2010,189999,177,Diesel,9500
BMW,Serie1,2010,140000,116,Diesel,9500
BMW,Serie3,2010,114500,286,Diesel,17999
BMW,Serie1,2010,240000,177,Diesel,8500
BMW,Serie1,2010,123000,143,Diesel,6900
BMW,X6,2010,148329,306,Diesel,22800
BMW,Serie5,2010,283000,184,Diesel,10999
BMW,Serie1,2010,160000,116,Diesel,8320
