Brand;Model;Year;Km;Power;Fuel_type;Price;Predictions;Error
Porsche;Cayenne;2017;89200;420;Gasolina;29500;63941;-34441
Porsche;Macan;2017;57800;258;Diesel;28890;53184;-24294
Porsche;Macan;2016;67200;340;Gasolina;29500;53406;-23906
BMW;Serie4;2015;99500;404;Diesel;28000;48580;-20580
Mercedes-Benz;E;2014;100000;408;Gasolina;28300;43212;-14912
Porsche;Cayman;2012;50000;265;Gasolina;29499;42864;-13365
Audi;S1;2017;13400;231;Gasolina;26500;39735;-13235
Mercedes-Benz;GLC;2017;105963;204;Diesel;25990;38617;-12627
BMW;Serie2;2018;57723;340;Gasolina;29900;42111;-12211
Porsche;Cayenne;2014;129000;245;Diesel;28500;39538;-11038
Porsche;Cayenne;2014;114000;245;Diesel;28000;38757;-10757
Porsche;Cayenne;2015;177155;385;Diesel;27900;38274;-10374
BMW;Serie6;2011;73000;408;Gasolina;26000;36287;-10287
Mercedes-Benz;E;2015;50000;258;Diesel;29880;39823;-9943
Mercedes-Benz;GLC;2017;103220;204;Diesel;28690;38538;-9848
Mercedes-Benz;GLC;2017;107040;204;Diesel;28890;38617;-9727
BMW;X3;2018;48256;190;Diesel;26900;36599;-9699
Porsche;Panamera;2013;158230;299;Gasolina;26910;36591;-9681
Mercedes-Benz;GLC;2017;102216;204;Diesel;29390;38622;-9232
Porsche;Cayenne;2011;141000;400;Gasolina;25500;34662;-9162
Mercedes-Benz;E;2015;56000;272;Gasolina;28999;38067;-9068
Porsche;Macan;2014;356000;258;Diesel;28500;37382;-8882
Audi;A6allroad;2016;77750;272;Diesel;26900;35686;-8786
Porsche;Cayenne;2012;132000;400;Gasolina;25990;34711;-8721
Audi;A6allroad;2017;134544;272;Diesel;26500;35039;-8539
