Brand;Model;Year;Km;Power;Fuel_type;Price;Predictions;Error
Audi;Q7;2015;142000;272;Diesel;3500;32481;-28981
BMW;Serie1;2015;68914;320;Gasolina;10200;29909;-19709
Porsche;Cayenne;2011;135000;400;Gasolina;16900;36534;-19634
Porsche;Boxster;2013;89211;265;Gasolina;18000;36406;-18406
LandRover;RangeRoverSport;2011;114000;510;Gasolina;17000;35136;-18136
Mercedes-Benz;GL;2017;229000;250;Gasolina;11000;28886;-17886
Mercedes-Benz;C;2016;27000;136;Diesel;7999;23946;-15947
Audi;A7;2012;151000;299;Gasolina;10300;25869;-15569
BMW;X5;2015;145399;258;Diesel;13576;28275;-14699
LandRover;RangeRover;2012;300000;313;Diesel;8500;22041;-13541
Porsche;Cayenne;2011;145000;290;Gasolina;19999;33309;-13310
Mercedes-Benz;C;2016;218010;279;Electro/Gasolina;15653;28550;-12897
Porsche;Cayenne;2010;120000;290;Gasolina;17700;30596;-12896
Mercedes-Benz;SLK;2014;40000;184;Gasolina;12000;24892;-12892
Audi;A6;2013;173000;313;Diesel;9900;22730;-12830
BMW;X4;2015;129000;190;Diesel;13300;25885;-12585
BMW;Serie1;2011;119000;306;Gasolina;10000;22391;-12391
Audi;A5;2016;144940;245;Diesel;13660;25980;-12320
BMW;Serie2;2018;71000;190;Diesel;14600;26899;-12299
Audi;A1;2013;85000;185;Gasolina;5200;17410;-12210
LandRover;RangeRover;2012;240000;256;Diesel;14900;26952;-12052
BMW;Serie2;2017;15300;224;Electro/Gasolina;17860;29906;-12046
BMW;X3;2010;166000;218;Gasolina;3000;14993;-11993
BMW;Serie3;2018;41000;184;Gasolina;17200;29153;-11953
Audi;A6;2015;187000;320;Diesel;16250;27871;-11621
BMW;Serie4;2015;164695;258;Diesel;14220;25830;-11610
LandRover;RangeRover;2012;151200;313;Diesel;19980;31490;-11510
Mercedes-Benz;Viano;2012;138000;224;Diesel;16000;27391;-11391
Porsche;Panamera;2010;216000;400;Gasolina;19900;31153;-11253
LandRover;RangeRoverSport;2012;118000;256;Diesel;14990;26188;-11198
LandRover;RangeRoverSport;2012;105200;256;Diesel;15500;26585;-11085
BMW;Serie2;2016;59000;245;Gasolina;18000;29085;-11085
Mercedes-Benz;C;2015;110500;204;Diesel;14000;24878;-10878
Audi;Q5;2017;141912;163;Diesel;15000;25826;-10826
Audi;Q5;2017;61000;190;Diesel;19766;30519;-10753
LandRover;RangeRoverSport;2011;160000;510;Gasolina;18900;29493;-10593
Mercedes-Benz;E;2013;91000;204;Diesel;13900;24407;-10507
Porsche;Cayenne;2010;215515;400;Gasolina;19700;30065;-10365
BMW;Serie2;2015;130948;136;Diesel;5200;15527;-10327
Mercedes-Benz;A;2014;121000;136;Diesel;6200;16404;-10204
