Brand,Model,Year,Km,Power,Fuel_type,Price
Mercedes-Benz,E,2010,137000,204,Diesel,12500
Mercedes-Benz,B,2010,118505,95,Gasolina,7650
Mercedes-Benz,SL,2010,48262,231,Gasolina,28750
Mercedes-Benz,CLS,2010,180000,265,Diesel,16950
Mercedes-Benz,E,2010,135000,231,Diesel,14490
Mercedes-Benz,CLC,2010,93000,184,Gasolina,15000
Mercedes-Benz,E,2010,158000,231,Diesel,15300
Mercedes-Benz,SLK,2010,89221,184,Gasolina,15500
Mercedes-Benz,E,2010,165000,231,Diesel,21800
Mercedes-Benz,C,2010,173000,170,Diesel,12500
Mercedes-Benz,ML,2010,199400,204,Diesel,13900
Mercedes-Benz,E,2010,383000,204,Diesel,10990
Mercedes-Benz,B,2010,219000,109,Diesel,6900
Mercedes-Benz,C,2010,299990,136,Diesel,7900
Mercedes-Benz,A,2010,111000,109,Diesel,8300
Mercedes-Benz,ML,2010,250000,231,Diesel,20000
Mercedes-Benz,ML,2010,135000,231,Diesel,18500
Mercedes-Benz,SLK,2010,40000,184,Gasolina,14900
Mercedes-Benz,E,2010,198000,204,Diesel,12985
Mercedes-Benz,ML,2010,131000,204,Diesel,21900
Mercedes-Benz,CLS,2010,127000,224,Diesel,14700
Mercedes-Benz,C,2010,115099,136,Diesel,11990
Mercedes-Benz,Viano,2010,217587,204,Diesel,19990
Mercedes-Benz,GLK,2010,231700,170,Diesel,12500
Mercedes-Benz,C,2010,220000,136,Diesel,8500
Mercedes-Benz,E,2010,214000,170,Diesel,12000
Mercedes-Benz,E,2010,75000,184,Gasolina,17500
Mercedes-Benz,B,2010,100000,109,Diesel,8690
Mercedes-Benz,ML,2010,167000,211,Diesel,16900
Mercedes-Benz,E,2010,159999,170,Diesel,11900
Mercedes-Benz,SL,2010,80000,387,Gasolina,34500
Mercedes-Benz,C,2010,99000,136,Diesel,12900
Mercedes-Benz,E,2010,252019,231,Diesel,13050
Mercedes-Benz,E,2010,298888,231,Diesel,10990
Mercedes-Benz,C,2010,140000,136,Diesel,12490
Mercedes-Benz,A,2010,100000,82,Diesel,5990
Mercedes-Benz,SL,2010,40000,517,Gasolina,50000
Mercedes-Benz,S,2010,158000,272,Gasolina,13999
Mercedes-Benz,E,2010,179000,231,Diesel,17990
Mercedes-Benz,E,2010,165600,231,Diesel,18000
Mercedes-Benz,ML,2010,135000,231,Diesel,19990
Mercedes-Benz,C,2010,66000,156,Gasolina,11490
Mercedes-Benz,B,2010,213900,193,Gasolina,8490
Mercedes-Benz,E,2010,127000,292,Gasolina,17890
Mercedes-Benz,E,2010,69000,204,Diesel,19600
Mercedes-Benz,C,2010,158000,156,Gasolina,7500
Mercedes-Benz,E,2010,199000,204,Diesel,11990
Mercedes-Benz,E,2010,215000,204,Diesel,14500
Mercedes-Benz,S,2010,238000,258,Diesel,22000
Mercedes-Benz,ML,2010,190000,204,Diesel,14150
Mercedes-Benz,E,2010,260000,170,Diesel,8500
Mercedes-Benz,A,2010,196000,109,Diesel,6990
Mercedes-Benz,C,2010,125295,136,Diesel,10700
Mercedes-Benz,ML,2010,220000,231,Diesel,11900
Mercedes-Benz,E,2010,53000,204,Diesel,16900
Mercedes-Benz,C,2010,285000,136,Diesel,7990
Mercedes-Benz,SLK,2010,85443,184,Gasolina,13500
Mercedes-Benz,E,2010,140000,204,Gasolina,18990
Mercedes-Benz,C,2010,167400,170,Diesel,9000
Mercedes-Benz,B,2010,120000,140,Diesel,8900
Mercedes-Benz,GLK,2010,207666,204,Diesel,12000
Mercedes-Benz,C,2010,204000,136,Diesel,9500
Mercedes-Benz,E,2010,171077,170,Diesel,12490
Mercedes-Benz,C,2010,199000,136,Diesel,9500
Mercedes-Benz,SLK,2010,86100,184,Gasolina,15500
Mercedes-Benz,E,2010,298888,231,Diesel,11990
Mercedes-Benz,C,2010,267262,170,Diesel,8800
Mercedes-Benz,ML,2010,83000,204,Diesel,16900
Mercedes-Benz,CLC,2010,40000,150,Diesel,7500
Mercedes-Benz,E,2010,230000,231,Diesel,13000
Mercedes-Benz,CLC,2010,209000,150,Diesel,9000
Mercedes-Benz,B,2010,95000,95,Gasolina,8499
Mercedes-Benz,B,2010,99950,109,Diesel,9900
Mercedes-Benz,E,2010,89000,292,Gasolina,21000
Mercedes-Benz,R,2010,157892,190,Diesel,11500
Mercedes-Benz,C,2010,201000,156,Gasolina,8100
Mercedes-Benz,C,2010,176000,136,Diesel,8500
Mercedes-Benz,CLC,2010,142280,129,Gasolina,8500
Mercedes-Benz,E,2010,189000,170,Diesel,17998
Mercedes-Benz,CLS,2010,223000,224,Diesel,14900
Mercedes-Benz,E,2010,171077,170,Diesel,13490
Mercedes-Benz,E,2010,200000,265,Diesel,15500
Mercedes-Benz,A,2010,132310,140,Diesel,5100
Mercedes-Benz,B,2010,75729,109,Diesel,6850
Mercedes-Benz,A,2010,228000,109,Diesel,5790
Mercedes-Benz,E,2010,136000,231,Diesel,30000
Mercedes-Benz,E,2010,120000,231,Diesel,16950
Mercedes-Benz,C,2010,140000,170,Diesel,12000
Mercedes-Benz,C,2010,174500,156,Gasolina,9250
Mercedes-Benz,C,2010,170000,170,Diesel,10900
Mercedes-Benz,B,2010,178400,140,Diesel,7950
Mercedes-Benz,ML,2010,246700,306,Diesel,14995
Mercedes-Benz,E,2010,144500,170,Diesel,14400
Mercedes-Benz,ML,2010,137072,231,Diesel,14579
Mercedes-Benz,E,2010,102381,170,Diesel,16990
Mercedes-Benz,S,2010,199990,258,Diesel,15490
Mercedes-Benz,ML,2010,159800,231,Diesel,19400
Mercedes-Benz,GLK,2010,180000,170,Diesel,15100
Mercedes-Benz,C,2010,144577,170,Diesel,11900
Mercedes-Benz,A,2010,108907,109,Diesel,7500
Mercedes-Benz,B,2010,110000,109,Diesel,11970
Mercedes-Benz,GLK,2010,173000,170,Diesel,12800
Mercedes-Benz,C,2010,156000,136,Diesel,7990
Mercedes-Benz,E,2010,175000,204,Diesel,14490
Mercedes-Benz,E,2010,208000,170,Diesel,14995
Mercedes-Benz,R,2010,75000,265,Diesel,22999
Mercedes-Benz,C,2010,123000,156,Gasolina,10500
Mercedes-Benz,A,2010,297000,109,Diesel,4800
Mercedes-Benz,C,2010,168453,231,Diesel,15900
Mercedes-Benz,C,2010,181000,231,Diesel,14499
Mercedes-Benz,B,2010,92948,109,Diesel,9990
Mercedes-Benz,E,2010,79000,184,Gasolina,16900
Mercedes-Benz,CLS,2010,190000,224,Diesel,14900
Mercedes-Benz,CLC,2010,175000,143,Gasolina,8700
Mercedes-Benz,GLK,2010,170000,224,Diesel,14990
Mercedes-Benz,C,2010,208000,224,Diesel,14500
Mercedes-Benz,E,2010,74000,204,Diesel,24800
Mercedes-Benz,GLK,2010,99000,231,Gasolina,19999
Mercedes-Benz,B,2010,192000,109,Diesel,5900
Mercedes-Benz,A,2010,130000,109,Diesel,7300
Mercedes-Benz,A,2010,90000,109,Diesel,7900
Mercedes-Benz,A,2010,140000,95,Gasolina,7800
Mercedes-Benz,S,2010,149000,258,Diesel,19900
Mercedes-Benz,SLK,2010,76570,184,Gasolina,14500
Mercedes-Benz,B,2010,229000,109,Diesel,6500
Mercedes-Benz,C,2010,173000,136,Diesel,10990
Mercedes-Benz,E,2010,107000,204,Diesel,18990
