Brand,Model,Year,Km,Power,Fuel_type,Price
Mercedes-Benz,GLK,2012,98500,170,Diesel,18890
Mercedes-Benz,A,2011,70000,136,Gasolina,9390
Mercedes-Benz,SL,2012,51000,306,Gasolina,46500
Mercedes-Benz,B,2012,145600,109,Diesel,12000
Mercedes-Benz,E,2010,271225,231,Diesel,9900
Mercedes-Benz,E,2011,176921,163,Diesel,12490
Mercedes-Benz,E,2011,130400,170,Diesel,13980
Mercedes-Benz,Viano,2010,203000,116,Diesel,8990
Mercedes-Benz,E,2010,68000,204,Gasolina,13990
Mercedes-Benz,R,2011,218000,211,Diesel,14900
Mercedes-Benz,E,2010,131031,170,Diesel,11590
Mercedes-Benz,B,2010,120000,116,Gasolina,7600
Mercedes-Benz,B,2011,73000,156,Gasolina,12500
Mercedes-Benz,E,2011,100000,184,Gasolina,14900
Mercedes-Benz,C,2011,167000,156,Gasolina,7800
Mercedes-Benz,SLK,2011,93000,184,Gasolina,16980
Mercedes-Benz,E,2011,155000,170,Diesel,17500
Mercedes-Benz,E,2010,240000,170,Diesel,8850
Mercedes-Benz,A,2012,57000,95,Gas licuado (GLP),12900
Mercedes-Benz,A,2012,57000,95,Gasolina,10900
Mercedes-Benz,E,2011,129900,170,Diesel,10799
Mercedes-Benz,E,2010,258637,204,Diesel,10900
Mercedes-Benz,C,2011,195364,231,Diesel,13999
Mercedes-Benz,B,2012,97000,122,Gasolina,12450
Mercedes-Benz,B,2011,102474,116,Gasolina,9900
Mercedes-Benz,S,2011,161000,258,Diesel,19905
Mercedes-Benz,B,2010,73000,136,Gasolina,9900
Mercedes-Benz,A,2010,79483,95,Gasolina,5490
Mercedes-Benz,E,2012,99899,408,Gasolina,23990
Mercedes-Benz,SL,2011,62349,315,Gasolina,31100
Mercedes-Benz,A,2012,68800,109,Diesel,7200
Mercedes-Benz,B,2010,127346,116,Gasolina,8995
Mercedes-Benz,E,2011,107000,292,Gasolina,16499
Mercedes-Benz,ML,2012,168400,204,Diesel,19990
Mercedes-Benz,E,2010,221000,170,Diesel,8000
Mercedes-Benz,E,2011,263000,204,Diesel,10850
Mercedes-Benz,C,2012,140500,204,Diesel,15500
Mercedes-Benz,C,2012,105363,156,Gasolina,12890
Mercedes-Benz,E,2011,185000,163,Diesel,13799
Mercedes-Benz,E,2012,124998,306,Gasolina,17490
Mercedes-Benz,B,2012,107000,109,Diesel,13000
Mercedes-Benz,C,2010,34357,156,Gasolina,13698
Mercedes-Benz,E,2011,61838,265,Diesel,20598
Mercedes-Benz,SLK,2011,52381,185,Gasolina,21950
Mercedes-Benz,E,2011,186431,170,Diesel,13845
Mercedes-Benz,C,2010,54000,170,Diesel,13200
Mercedes-Benz,C,2010,197316,231,Diesel,7500
Mercedes-Benz,E,2011,237000,265,Diesel,10500
Mercedes-Benz,GLK,2011,106000,170,Diesel,14900
Mercedes-Benz,E,2011,123029,231,Diesel,17900
Mercedes-Benz,E,2010,80133,184,Gasolina,12990
Mercedes-Benz,C,2010,159700,156,Gasolina,9950
Mercedes-Benz,C,2011,74721,156,Gasolina,10990
Mercedes-Benz,E,2011,88000,136,Diesel,14900
Mercedes-Benz,C,2010,162537,170,Diesel,6690
Mercedes-Benz,E,2011,48837,204,Diesel,18600
Mercedes-Benz,GLK,2011,159194,170,Diesel,11600
Mercedes-Benz,B,2011,126700,109,Diesel,8999
Mercedes-Benz,B,2011,71500,109,Diesel,9800
Mercedes-Benz,E,2012,111600,184,Gasolina,13950
Mercedes-Benz,E,2012,166019,184,Gasolina,15840
Mercedes-Benz,C,2012,87000,170,Diesel,15900
Mercedes-Benz,B,2012,55500,156,Gasolina,14500
Mercedes-Benz,E,2011,51000,184,Gasolina,17990
Mercedes-Benz,A,2012,75900,156,Gasolina,14880
Mercedes-Benz,C,2012,164000,170,Diesel,12800
Mercedes-Benz,C,2012,95000,120,Diesel,14500
Mercedes-Benz,GLK,2012,94361,143,Diesel,17950
Mercedes-Benz,ML,2012,161312,204,Diesel,18501
Mercedes-Benz,GLK,2011,106980,231,Diesel,18990
Mercedes-Benz,E,2011,99490,170,Diesel,14490
Mercedes-Benz,CLS,2010,119980,306,Gasolina,20990
Mercedes-Benz,A,2011,143980,109,Diesel,6290
Mercedes-Benz,C,2012,199980,170,Diesel,10790
Mercedes-Benz,E,2011,174980,170,Diesel,11990
Mercedes-Benz,B,2012,91180,122,Gasolina,10889
Mercedes-Benz,B,2010,129000,116,Gasolina,9490
Mercedes-Benz,ML,2012,180600,258,Diesel,22900
Mercedes-Benz,ML,2012,80000,306,Gasolina,25900
Mercedes-Benz,A,2012,114000,122,Gasolina,5700
Mercedes-Benz,A,2012,128054,136,Diesel,12200
Mercedes-Benz,A,2011,83359,95,Gasolina,6850
Mercedes-Benz,S,2012,230000,204,Diesel,19900
Mercedes-Benz,GLK,2010,156000,170,Diesel,5800
Mercedes-Benz,E,2010,148500,136,Diesel,10750
Mercedes-Benz,C,2012,143300,204,Gasolina,16000
Mercedes-Benz,C,2010,161679,170,Diesel,8500
Mercedes-Benz,SLK,2012,150000,184,Gasolina,13000
Mercedes-Benz,A,2012,42900,156,Gasolina,15880
Mercedes-Benz,A,2010,148930,82,Diesel,4850
Mercedes-Benz,B,2011,150000,109,Diesel,4499
Mercedes-Benz,B,2010,85474,136,Gasolina,9899
Mercedes-Benz,R,2010,220000,265,Diesel,11950
Mercedes-Benz,C,2011,94000,136,Diesel,8990
Mercedes-Benz,G,2011,120000,387,Gasolina,56390
Mercedes-Benz,A,2012,78000,109,Diesel,13000
Mercedes-Benz,A,2011,123250,109,Diesel,4900
Mercedes-Benz,Viano,2011,206785,224,Diesel,15950
Mercedes-Benz,B,2011,121000,95,Gasolina,8950
Mercedes-Benz,C,2012,79000,204,Gasolina,16950
Mercedes-Benz,GLK,2011,111910,170,Diesel,14980
Mercedes-Benz,A,2011,45000,95,Gasolina,5990
Mercedes-Benz,B,2012,125382,136,Diesel,6650
Mercedes-Benz,E,2011,52000,204,Gasolina,18990
Mercedes-Benz,SLK,2012,16115,184,Gasolina,23500
Mercedes-Benz,E,2010,108288,204,Diesel,14790
Mercedes-Benz,C,2010,239100,170,Diesel,5300
Mercedes-Benz,A,2011,94000,82,Diesel,5690
Mercedes-Benz,C,2010,217000,156,Gasolina,6690
Mercedes-Benz,B,2010,173400,109,Diesel,5390
Mercedes-Benz,C,2011,199300,231,Diesel,9990
Mercedes-Benz,E,2010,261000,170,Diesel,6490
Mercedes-Benz,A,2012,189000,109,Diesel,10000
Mercedes-Benz,A,2011,105000,97,Gasolina,6490
Mercedes-Benz,A,2010,135000,95,Gasolina,4200
Mercedes-Benz,Viano,2011,170000,163,Diesel,15890
Mercedes-Benz,B,2012,280000,109,Diesel,5250
Mercedes-Benz,C,2011,186000,156,Gasolina,10999
Mercedes-Benz,C,2012,107000,170,Diesel,12999
Mercedes-Benz,A,2010,163812,109,Diesel,4900
Mercedes-Benz,B,2010,139900,95,Gasolina,8300
Mercedes-Benz,A,2011,74300,95,Gasolina,8900
Mercedes-Benz,E,2011,190500,204,Diesel,12510
Mercedes-Benz,B,2010,113000,193,Gasolina,6900
Mercedes-Benz,C,2012,97000,156,Gasolina,16000
Mercedes-Benz,C,2011,132429,156,Gasolina,13500
Mercedes-Benz,A,2010,128000,95,Gasolina,5590
