Brand,Model,Year,Km,Power,Fuel_type,Price
Porsche,Cayenne,2012,174000,245,Diesel,23850
Porsche,Panamera,2012,58500,500,Gasolina,54900
Porsche,Panamera,2012,210000,400,Gasolina,25850
Porsche,Panamera,2011,130000,400,Gasolina,30999
Porsche,Cayenne,2010,215000,239,Diesel,24000
Porsche,Cayenne,2012,109800,400,Gasolina,28999
Porsche,Cayenne,2012,166000,245,Diesel,24800
Porsche,Cayenne,2012,112000,245,Diesel,27900
Porsche,Cayenne,2010,139600,500,Gasolina,34950
Porsche,Cayenne,2012,189654,245,Diesel,24990
Porsche,Cayenne,2011,263000,239,Diesel,20600
Porsche,Cayenne,2010,224000,333,Electro/Gasolina,19900
Porsche,Panamera,2012,21000,430,Gasolina,59000
Porsche,Cayenne,2010,176228,500,Gasolina,29990
Porsche,Panamera,2010,159000,400,Gasolina,34499
Porsche,Panamera,2012,117400,549,Gasolina,41970
Porsche,Panamera,2011,227000,299,Gasolina,29000
Porsche,Cayenne,2012,224500,245,Diesel,22800
Porsche,Cayenne,2010,93365,500,Gasolina,34900
Porsche,Panamera,2011,70820,400,Gasolina,45000
Porsche,Cayenne,2011,176000,239,Diesel,23999
Porsche,Panamera,2010,104500,400,Gasolina,33500
Porsche,Panamera,2010,103969,400,Gasolina,29900
Porsche,Cayman,2012,111000,320,Gasolina,31900
Porsche,Cayenne,2010,211700,239,Diesel,21490
Porsche,Cayenne,2010,258600,239,Diesel,21900
Porsche,Panamera,2010,94000,500,Gasolina,59999
Porsche,Panamera,2011,139866,500,Gasolina,38890
Porsche,Panamera,2011,142748,500,Gasolina,34700
Porsche,Panamera,2012,168000,211,Diesel,29900
Porsche,Cayenne,2010,200000,400,Gasolina,22300
Porsche,Cayenne,2012,122000,245,Diesel,24400
Porsche,Panamera,2012,194750,211,Diesel,34750
Porsche,Cayenne,2011,211200,239,Diesel,24900
Porsche,Cayenne,2012,160000,245,Diesel,26000
Porsche,Panamera,2012,140000,430,Gasolina,32900
Porsche,Cayenne,2012,180000,245,Diesel,24000
Porsche,Cayenne,2012,159000,245,Diesel,24999
Porsche,Cayenne,2012,69790,400,Gasolina,33890
Porsche,Cayenne,2012,219500,245,Diesel,22900
Porsche,Cayman,2010,133000,320,Gasolina,29980
Porsche,Cayenne,2010,245000,239,Diesel,12900
Porsche,Cayenne,2011,153000,400,Gasolina,26990
Porsche,Panamera,2010,216000,400,Gasolina,19900
Porsche,Cayenne,2011,145000,379,Electro/Gasolina,33900
Porsche,Cayenne,2011,163000,245,Diesel,24900
Porsche,Panamera,2012,72500,250,Diesel,34750
Porsche,Panamera,2010,195000,500,Gasolina,36500
Porsche,Cayenne,2011,82000,239,Diesel,31999
Porsche,Boxster,2012,21270,315,Gasolina,57888
Porsche,Panamera,2012,69000,211,Diesel,38990
Porsche,Cayenne,2011,94000,500,Gasolina,31000
Porsche,Cayenne,2011,67000,245,Diesel,32500
Porsche,Cayenne,2010,77900,290,Gasolina,21800
Porsche,Cayenne,2011,170000,239,Diesel,26500
Porsche,Cayenne,2010,142835,398,Gasolina,31950
Porsche,Cayenne,2011,214000,239,Diesel,21250
Porsche,Panamera,2010,69330,300,Gasolina,32995
Porsche,Boxster,2012,49110,265,Gasolina,31500
Porsche,Cayenne,2010,239000,239,Diesel,20900
Porsche,Cayenne,2012,144000,245,Diesel,28495
Porsche,Boxster,2010,95000,310,Gasolina,35000
Porsche,Cayman,2010,128000,265,Gasolina,27999
Porsche,Cayenne,2012,125000,245,Diesel,28999
Porsche,Cayenne,2011,129580,245,Diesel,26990
Porsche,Panamera,2012,320000,250,Diesel,23000
Porsche,Cayenne,2012,118941,299,Gasolina,32890
Porsche,Cayenne,2011,160000,500,Gasolina,39800
Porsche,Boxster,2012,42000,265,Gasolina,41000
Porsche,Cayenne,2011,43000,379,Electro/Gasolina,46000
Porsche,Cayenne,2012,110000,245,Diesel,28600
Porsche,Boxster,2012,99000,315,Gasolina,39900
Porsche,Boxster,2012,69627,211,Gasolina,37990
Porsche,Cayenne,2011,251000,239,Diesel,22500
Porsche,Panamera,2012,135000,250,Diesel,31999
Porsche,Cayenne,2011,135000,400,Gasolina,16900
Porsche,Cayenne,2010,120000,211,Diesel,18000
Porsche,Cayenne,2010,192000,400,Gasolina,25000
Porsche,Cayenne,2011,117000,500,Gasolina,37900
Porsche,Cayenne,2011,148000,400,Gasolina,23850
Porsche,Boxster,2011,76000,256,Gasolina,28700
Porsche,Panamera,2011,92243,250,Diesel,31790
Porsche,Cayenne,2011,159000,245,Diesel,24000
Porsche,Panamera,2011,177000,500,Gasolina,30890
Porsche,Cayenne,2012,157998,500,Gasolina,39870
Porsche,Cayenne,2012,149000,500,Gasolina,36000
Porsche,Cayenne,2012,183000,500,Gasolina,28900
Porsche,Cayenne,2011,190000,333,Electro/Gasolina,29500
Porsche,Panamera,2012,164000,400,Gasolina,29800
Porsche,Cayman,2010,38700,265,Gasolina,32900
Porsche,Cayenne,2010,108580,400,Gasolina,29958
Porsche,Cayenne,2010,175000,379,Electro/Gasolina,25875
Porsche,Cayenne,2012,145484,245,Diesel,33990
Porsche,Cayenne,2011,126000,245,Diesel,28900
Porsche,Cayenne,2011,120000,400,Gasolina,32000
Porsche,Boxster,2012,70000,315,Gasolina,36975
Porsche,Panamera,2010,124000,500,Gasolina,39999
Porsche,Cayenne,2012,127978,420,Gasolina,44900
Porsche,Panamera,2011,180000,400,Gasolina,27900
Porsche,Cayman,2011,86900,265,Gasolina,30300
Porsche,Panamera,2011,117500,400,Gasolina,35500
Porsche,Panamera,2012,225000,211,Diesel,25000
Porsche,Boxster,2011,81000,256,Gasolina,32900
Porsche,Cayenne,2012,168918,400,Gasolina,30000
Porsche,Cayenne,2011,168000,239,Diesel,26900
Porsche,Cayenne,2010,142000,239,Diesel,21499
Porsche,Cayenne,2012,194000,420,Gasolina,24990
Porsche,Panamera,2011,124999,250,Diesel,34999
Porsche,Cayenne,2011,145000,290,Gasolina,19999
Porsche,Cayenne,2011,97000,290,Gasolina,21999
Porsche,Cayenne,2012,132000,400,Gasolina,25990
Porsche,Cayenne,2011,86982,239,Diesel,32850
Porsche,Cayenne,2011,242909,211,Diesel,17950
Porsche,Panamera,2011,186000,400,Gasolina,32900
Porsche,Panamera,2010,125000,299,Gasolina,38990
Porsche,Cayenne,2012,158000,400,Gasolina,32990
Porsche,Cayenne,2011,203000,245,Diesel,26300
Porsche,Cayenne,2011,86500,540,Gasolina,52900
Porsche,Boxster,2012,83600,265,Gasolina,29987
Porsche,Cayenne,2012,170000,245,Diesel,25000
Porsche,Boxster,2012,19894,315,Gasolina,33000
Porsche,Panamera,2012,155000,250,Diesel,33490
Porsche,Boxster,2012,99000,265,Gasolina,36490
Porsche,Cayenne,2012,199800,400,Gasolina,24900
Porsche,Cayenne,2012,129883,245,Diesel,27000
Porsche,Cayenne,2011,222969,400,Gasolina,23400
Porsche,Cayenne,2010,166934,400,Gasolina,29945
Porsche,Panamera,2010,145434,300,Gasolina,29900
Porsche,Cayenne,2011,184000,333,Gasolina,23900
Porsche,Boxster,2010,65000,256,Gasolina,29899
Porsche,Cayenne,2012,152403,400,Gasolina,26900
Porsche,Cayenne,2012,121500,245,Diesel,28890
Porsche,Cayenne,2010,152813,500,Gasolina,34495
Porsche,Cayenne,2012,95000,245,Diesel,29950
Porsche,Panamera,2011,109000,540,Gasolina,42000
Porsche,Cayenne,2011,135400,239,Diesel,23500
Porsche,Cayenne,2011,134000,245,Diesel,25000
Porsche,Cayenne,2011,74000,239,Diesel,33950
Porsche,Cayenne,2011,155000,239,Diesel,24999
Porsche,Cayenne,2011,195471,239,Diesel,18000
Porsche,Cayenne,2011,200000,333,Electro/Gasolina,30500
Porsche,Boxster,2012,36000,315,Gasolina,51900
Porsche,Panamera,2010,89000,500,Gasolina,49900
Porsche,Panamera,2011,166700,400,Gasolina,33490
Porsche,Cayenne,2012,106400,245,Diesel,28950
Porsche,Boxster,2010,49700,320,Gasolina,69350
Porsche,Cayman,2011,22500,330,Gasolina,41900
Porsche,Cayman,2012,130000,320,Gasolina,38000
Porsche,Cayenne,2011,278500,239,Diesel,20900
Porsche,Boxster,2010,63000,310,Gasolina,34900
Porsche,Panamera,2011,298565,379,Electro/Gasolina,26990
Porsche,Cayman,2010,79700,265,Gasolina,31750
Porsche,Cayenne,2012,134000,245,Diesel,29900
Porsche,Cayenne,2012,121500,245,Diesel,24990
Porsche,Cayenne,2012,294000,246,Diesel,17750
Porsche,Cayman,2011,83962,269,Gasolina,33700
Porsche,Panamera,2012,137903,211,Diesel,31990
Porsche,Cayenne,2011,133775,239,Diesel,26900
Porsche,Cayenne,2012,176000,245,Diesel,28999
Porsche,Cayenne,2012,230000,245,Diesel,29900
Porsche,Cayenne,2011,249000,333,Gasolina,18500
Porsche,Cayenne,2012,123000,245,Diesel,29500
Porsche,Cayenne,2010,203000,500,Gasolina,25900
Porsche,Panamera,2011,236000,400,Gasolina,52000
Porsche,Panamera,2010,163662,500,Gasolina,39900
Porsche,Panamera,2012,229000,250,Diesel,24900
Porsche,Cayenne,2011,125000,400,Gasolina,30000
Porsche,Boxster,2012,71823,315,Gasolina,49950
Porsche,Panamera,2012,66700,299,Gasolina,40799
Porsche,Panamera,2010,97000,500,Gasolina,37000
Porsche,Cayenne,2011,91500,400,Gasolina,31990
Porsche,Cayenne,2010,180000,239,Diesel,18900
Porsche,Cayenne,2011,148000,239,Diesel,25800
Porsche,Cayenne,2012,280000,245,Diesel,19000
Porsche,Cayman,2012,54000,334,Gasolina,59990
Porsche,Cayenne,2010,170000,333,Electro/Gasolina,30000
Porsche,Boxster,2010,125457,310,Gasolina,28994
Porsche,Cayenne,2012,171000,245,Diesel,24800
Porsche,Panamera,2012,95000,250,Diesel,32400
Porsche,Cayenne,2012,80000,299,Gasolina,32000
Porsche,Boxster,2011,10950,320,Gasolina,45900
Porsche,Panamera,2010,128500,299,Gasolina,27950
Porsche,Cayenne,2011,108000,245,Diesel,28500
Porsche,Cayenne,2011,191000,239,Diesel,22499
Porsche,Cayenne,2011,167000,300,Gasolina,26444
Porsche,Boxster,2010,142000,310,Gasolina,29990
Porsche,Cayenne,2010,98000,500,Gasolina,36900
Porsche,Cayenne,2012,56680,245,Diesel,31990
Porsche,Cayenne,2011,118500,299,Gasolina,29500
Porsche,Cayenne,2012,143000,211,Diesel,26900
Porsche,Cayenne,2012,85900,245,Diesel,33940
Porsche,Panamera,2010,141697,299,Gasolina,25749
Porsche,Cayenne,2012,249000,245,Diesel,24000
Porsche,Cayenne,2011,134000,211,Diesel,30000
Porsche,Boxster,2011,41800,310,Gasolina,39900
Porsche,Boxster,2010,117500,256,Gasolina,29950
Porsche,Panamera,2011,140000,299,Gasolina,26950
Porsche,Cayenne,2011,148000,211,Diesel,24999
