Brand,Model,Year,Km,Power,Fuel_type,Price
BMW,Serie1,2012,154779,184,Diesel,10990
BMW,X1,2011,96400,150,Gasolina,12950
BMW,Serie1,2012,46000,218,Gasolina,14945
BMW,Serie5,2010,199900,245,Diesel,9000
BMW,Serie1,2012,183961,136,Gasolina,9500
BMW,X3,2012,110000,184,Diesel,21990
BMW,Serie3,2011,170000,306,Gasolina,24500
BMW,X1,2010,145000,143,Diesel,9600
BMW,Z4,2012,93500,184,Gasolina,17990
BMW,Serie1,2010,112000,122,Gasolina,5750
BMW,Serie1,2010,180000,116,Diesel,8000
BMW,X1,2012,122000,143,Diesel,8500
BMW,Serie1,2010,104526,122,Gasolina,6000
BMW,Serie1,2012,147320,143,Diesel,8650
BMW,Serie3,2010,117990,170,Gasolina,10990
BMW,Serie3,2011,84763,143,Gasolina,11950
BMW,Serie1,2011,94908,177,Diesel,11900
BMW,Serie3,2011,99800,143,Diesel,8590
BMW,X1,2011,50450,184,Gasolina,13950
BMW,Serie3,2011,137000,245,Diesel,10900
BMW,Serie7,2011,187056,245,Diesel,17500
BMW,Serie5,2012,146000,218,Diesel,13900
BMW,X1,2010,149000,143,Diesel,9650
BMW,X1,2010,155000,143,Diesel,5200
BMW,Serie3,2011,133000,170,Gasolina,15500
BMW,Serie5,2010,222000,245,Diesel,13900
BMW,Serie3,2012,47000,184,Gasolina,14500
BMW,Serie1,2011,132000,143,Diesel,9700
BMW,Serie3,2012,132000,184,Diesel,12500
BMW,Serie5,2011,170000,258,Diesel,15500
BMW,Serie3,2012,210000,143,Diesel,5990
BMW,Serie5,2010,147000,204,Diesel,11799
BMW,X3,2010,198000,136,Diesel,7000
BMW,Serie6,2011,62500,408,Gasolina,29900
BMW,Serie5,2010,192500,184,Diesel,11997
BMW,Serie3,2011,263434,184,Diesel,12800
BMW,Serie1,2010,87348,116,Diesel,8990
BMW,X1,2011,97820,143,Diesel,11851
BMW,Serie3,2011,139580,163,Diesel,7900
BMW,Serie1,2010,216000,143,Diesel,8150
BMW,Serie3,2012,140000,184,Diesel,13900
BMW,Serie3,2010,199500,116,Diesel,2900
BMW,Serie5,2012,280000,258,Diesel,12800
BMW,X1,2012,102000,136,Diesel,11990
BMW,Serie1,2010,169650,116,Diesel,5888
BMW,X3,2012,139999,184,Diesel,17999
BMW,Serie5,2010,224000,177,Diesel,6100
BMW,Serie5,2012,98950,306,Electro/Gasolina,20840
BMW,Serie3,2012,119579,184,Diesel,13990
BMW,X1,2011,145462,143,Diesel,8999
