Brand,Model,Year,Km,Power,Fuel_type,Price
Porsche,Panamera,2011,242000,400,Gasolina,31999
Porsche,Cayenne,2010,93365,500,Gasolina,34900
Porsche,Cayenne,2011,54552,400,Gasolina,37500
Porsche,Cayenne,2012,98000,245,Diesel,32900
Porsche,Panamera,2010,110000,400,Gasolina,34999
Porsche,Cayenne,2011,164000,500,Gasolina,35000
Porsche,Panamera,2011,119000,400,Gasolina,38000
Porsche,Panamera,2011,269000,250,Diesel,30900
Porsche,Panamera,2011,130000,500,Gasolina,39999
Porsche,Cayenne,2010,168000,500,Gasolina,28900
Porsche,Cayenne,2011,264000,239,Diesel,23990
Porsche,Panamera,2012,128747,250,Diesel,26900
Porsche,Cayenne,2012,89000,299,Gasolina,31000
Porsche,Panamera,2012,187000,250,Diesel,33000
Porsche,Panamera,2010,130000,400,Gasolina,32900
Porsche,Panamera,2011,95000,500,Gasolina,46700
Porsche,Cayenne,2012,68000,245,Diesel,37900
Porsche,Boxster,2012,135000,315,Gasolina,46000
Porsche,Cayenne,2012,195000,245,Diesel,25000
Porsche,Panamera,2012,73918,400,Gasolina,75900
Porsche,Cayenne,2010,194500,239,Diesel,32500
Porsche,Cayenne,2012,128000,245,Diesel,32500
Porsche,Panamera,2011,112000,500,Gasolina,47900
Porsche,Panamera,2010,115000,400,Gasolina,33490
Porsche,Cayenne,2010,43500,290,Gasolina,24000
Porsche,Cayenne,2012,159000,245,Diesel,34500
Porsche,Panamera,2012,133600,250,Diesel,34990
Porsche,Cayenne,2011,219990,239,Diesel,26990
Porsche,Cayenne,2011,155900,245,Diesel,28500
Porsche,Cayenne,2011,185000,500,Gasolina,31490
Porsche,Panamera,2011,168700,299,Gasolina,29990
Porsche,Panamera,2011,190000,400,Gasolina,35499
Porsche,Cayenne,2012,179760,245,Diesel,26999
Porsche,Cayenne,2012,76000,500,Gasolina,49990
Porsche,Cayenne,2011,69000,245,Diesel,30990
Porsche,Cayenne,2012,204000,379,Electro/Gasolina,29900
Porsche,Cayenne,2011,69000,245,Diesel,30990
Porsche,Cayenne,2010,183000,239,Diesel,27900
Porsche,Cayenne,2011,189450,245,Diesel,24900
Porsche,Cayenne,2010,170000,379,Electro/Gasolina,25875
Porsche,Panamera,2012,131000,250,Diesel,33999
Porsche,Panamera,2011,275000,250,Diesel,29999
Porsche,Panamera,2012,188500,250,Diesel,32999
Porsche,Panamera,2011,168700,299,Gasolina,31990
Porsche,Panamera,2011,212527,299,Gasolina,28990
Porsche,Cayenne,2011,156000,500,Gasolina,39800
Porsche,Panamera,2011,212527,299,Gasolina,31990
Porsche,Cayman,2010,53000,265,Gasolina,31990
Porsche,Cayenne,2011,229000,245,Diesel,27950
Porsche,Cayenne,2011,117000,500,Gasolina,37900
Porsche,Panamera,2010,154000,400,Gasolina,33450
Porsche,Boxster,2012,70000,315,Gasolina,38975
Porsche,Panamera,2012,135000,379,Electro/Gasolina,37900
Porsche,Panamera,2011,185000,299,Gasolina,31900
Porsche,Panamera,2010,112000,500,Gasolina,40000
Porsche,Cayenne,2011,198000,500,Gasolina,37500
Porsche,Cayenne,2012,132000,299,Gasolina,32500
Porsche,Panamera,2012,90000,500,Gasolina,49900
Porsche,Cayenne,2011,188990,239,Diesel,25990
Porsche,Cayenne,2011,237384,245,Diesel,28900
Porsche,Cayenne,2011,150000,239,Diesel,27900
Porsche,Panamera,2010,164000,500,Gasolina,39900
Porsche,Cayenne,2011,81000,400,Gasolina,38900
Porsche,Cayenne,2012,110730,245,Diesel,26500
Porsche,Cayenne,2010,178437,239,Diesel,18000
Porsche,Cayenne,2010,130494,379,Electro/Gasolina,29900
Porsche,Cayenne,2011,176910,239,Diesel,21900
Porsche,Cayenne,2011,188990,239,Diesel,27990
Porsche,Panamera,2012,109000,400,Gasolina,37990
Porsche,Panamera,2011,159000,551,Gasolina,44500
Porsche,Cayenne,2012,119000,245,Diesel,27900
Porsche,Cayenne,2012,138070,245,Diesel,33990
Porsche,Panamera,2012,129000,250,Diesel,35990
Porsche,Cayenne,2011,105454,245,Diesel,32900
Porsche,Panamera,2012,159000,400,Gasolina,43400
Porsche,Cayenne,2010,230000,379,Electro/Gasolina,23995
Porsche,Cayenne,2012,99300,245,Diesel,29900
Porsche,Panamera,2010,169000,299,Gasolina,28995
Porsche,Panamera,2011,139860,400,Gasolina,33999
Porsche,Cayenne,2011,143000,500,Gasolina,37900
Porsche,Cayenne,2010,105000,239,Diesel,33000
Porsche,Panamera,2011,230000,400,Gasolina,30000
Porsche,Panamera,2012,65000,250,Diesel,45000
Porsche,Panamera,2010,130000,400,Gasolina,32800
Porsche,Boxster,2011,69780,310,Gasolina,36900
Porsche,Cayenne,2012,142000,245,Diesel,34900
Porsche,Cayenne,2010,155000,379,Electro/Gasolina,33900
Porsche,Cayenne,2011,249000,239,Diesel,24000
Porsche,Panamera,2011,140000,379,Electro/Gasolina,36900
Porsche,Cayenne,2011,185000,245,Diesel,28000
Porsche,Cayenne,2012,41950,300,Gasolina,37790
Porsche,Cayenne,2011,194182,500,Gasolina,33600
Porsche,Cayenne,2011,120000,400,Gasolina,31990
Porsche,Boxster,2012,64000,315,Gasolina,49900
Porsche,Panamera,2012,140000,250,Diesel,33600
Porsche,Panamera,2012,141900,299,Gasolina,34900
Porsche,Cayenne,2010,134600,405,Gasolina,24990
Porsche,Panamera,2010,200000,400,Gasolina,30000
Porsche,Cayenne,2012,39000,400,Gasolina,44990
Porsche,Cayenne,2011,70000,239,Diesel,38900
Porsche,Cayenne,2012,149000,245,Diesel,32500
Porsche,Cayenne,2010,235000,239,Diesel,17800
Porsche,Cayenne,2012,163000,245,Diesel,29900
Porsche,Cayenne,2012,145300,245,Diesel,28400
Porsche,Cayenne,2010,86000,400,Gasolina,33999
Porsche,Panamera,2012,155000,250,Diesel,42000
Porsche,Panamera,2011,132700,299,Gasolina,34900
Porsche,Panamera,2012,205000,400,Gasolina,36990
Porsche,Cayenne,2011,240000,245,Diesel,23990
Porsche,Cayenne,2012,69900,245,Diesel,28840
Porsche,Cayenne,2011,189000,500,Gasolina,33900
