Brand;Model;Year;Km;Power;Fuel_type;Price;Predictions;Error;Country;Url
LandRover;RangeRoverSport;2016;33407;551;Gasolina;46463;78323;-31860;Italy;https://www.autoscout24.es/anuncios/land-rover-range-rover-sport-5-0i-v8-svr-gasolina-plateado-0d0a03ae-c54b-0318-e053-0100007fe289?cldtidx=4&cldtsrc=listPage
LandRover;RangeRoverSport;2016;33932;551;Gasolina;46205;77753;-31548;France;https://www.autoscout24.es/anuncios/land-rover-range-rover-sport-5-0i-v8-svr-gasolina-oro-3a644bab-3364-4f35-e053-0100007f8c1b?cldtidx=5&cldtsrc=listPage
Porsche;Cayenne;2017;39193;441;Gasolina;58960;87707;-28747;Germany;https://www.autoscout24.es/anuncios/porsche-cayenne-gts-3-6-luftfederung-sportabgasanlage-gasolina-negro-eb250055-a617-4068-a37a-89a2d701c31f?cldtidx=1&cldtsrc=listPage
LandRover;DiscoverySport;2018;22000;241;Gasolina;25000;49918;-24918;Belgium;https://www.autoscout24.es/anuncios/land-rover-discovery-sport-2-0-t-si4-hse-luxury-gasolina-blanco-775fedad-237b-2850-e053-0100007f58b6?cldtidx=1&cldtsrc=listPage
Porsche;Macan;2017;22515;250;Diesel;33671;56879;-23208;France;https://www.autoscout24.es/anuncios/porsche-macan-3-0-s-diesel-diesel-oro-dd9e04ae-c6f2-8258-e053-0100007fcc9c?cldtidx=1&cldtsrc=listPage
LandRover;RangeRover;2013;144000;249;Diesel;23500;44433;-20933;Italy;https://www.autoscout24.es/anuncios/land-rover-range-rover-3-0-tdv6-hse-diesel-azul-b67bcfad-b9f5-8518-e053-0100007fb0de?cldtidx=1&cldtsrc=listPage
Audi;SQ7;2018;83000;435;Diesel;55000;75806;-20806;Belgium;https://www.autoscout24.es/anuncios/audi-sq7-4-0-tdi-v8-tiptronic-diesel-azul-f89d2eae-33cd-df09-e053-0100007f8876?cldtidx=1&cldtsrc=listPage
Porsche;Macan;2017;53322;360;Gasolina;46900;67636;-20736;Germany;https://www.autoscout24.es/anuncios/porsche-macan-gts-pdk-gasolina-blanco-5184d5e3-b116-4b9b-86fc-496e9d192452?cldtidx=15&cldtsrc=listPage
BMW;Serie4;2015;99500;404;Diesel;30000;48367;-20367;Germany;https://www.autoscout24.es/anuncios/bmw-435-m-stage-2-facelift-rkl-voll-diesel-gris-3c691bae-637a-1d03-e053-0100007f2d61?cldtidx=1&cldtsrc=listPage
Audi;A6;2014;67000;560;Gasolina;53000;73328;-20328;Italy;https://www.autoscout24.es/anuncios/audi-a6-rs6-avant-4-0-tfsi-quattro-tiptronic-gasolina-gris-43d203ab-a243-4a6c-8db4-b42c7fa65c32?cldtidx=1&cldtsrc=listPage
LandRover;RangeRoverEvoque;2018;45300;241;Gasolina;30200;50405;-20205;Germany;https://www.autoscout24.es/anuncios/land-rover-range-rover-evoque-si4-skyview-edition-gasolina-blanco-d42d0a56-51ae-4808-a357-2dc1c1de7abe?cldtidx=2&cldtsrc=listPage
