Brand;Model;Year;Km;Power;Fuel_type;Price;Predictions;Error;Country;Url
Porsche;Macan;2016;37000;340;Gasolina;29999;53853;-23854;Germany;https://www.autoscout24.es/anuncios/porsche-macan-s-pdk-gasolina-blanco-2e806fdd-43c9-4cf3-ae89-5130be63b11e?cldtidx=1&cldtsrc=listPage
BMW;Serie4;2015;99500;404;Diesel;28000;48367;-20367;Germany;https://www.autoscout24.es/anuncios/bmw-435-gran-coupe-xdrive-sport-line-individual-gasolina-bronce-e9f473f8-91fc-4848-818b-18171dd28173?cldtidx=19&cldtsrc=listPage
Porsche;Cayman;2012;50000;265;Gasolina;29499;43741;-14242;Germany;https://www.autoscout24.es/anuncios/porsche-cayman-brd-coc-alcantara-schalter-gasolina-negro-0e17cd5d-5113-40c4-83d2-4d55b72f365e?cldtidx=1&cldtsrc=listPage
Mercedes-Benz;E;2014;100000;408;Gasolina;28300;42097;-13797;Germany;"https://www.autoscout24.es/anuncios/mercedes-benz-e-500-t-7g-tronic-avantgarde-gasolina-blanco-8b918056-c83d-4b7d-935d-653333b54d04?cldtidx=9&amp;cldtsrc=listPage"
Audi;S1;2017;13400;231;Gasolina;26500;39691;-13191;Italy;https://www.autoscout24.es/anuncios/audi-s1-spb-2-0-tfsi-quattro-gasolina-rojo-6cde6aae-76fa-7526-e053-0100007ff439?cldtidx=16&cldtsrc=listPage
Mercedes-Benz;GLC;2017;105963;204;Diesel;25990;38921;-12931;Germany;"https://www.autoscout24.es/anuncios/mercedes-benz-glc-250-glc-250-d-4matic-9g-navi-shz-diesel-gris-3ab10dff-4cc3-4370-a3ce-2a448e64af7f?cldtidx=5&amp;cldtsrc=listPage"
Porsche;Cayenne;2014;129000;245;Diesel;28500;39764;-11264;Belgium;"https://www.autoscout24.es/anuncios/porsche-cayenne-3-0-d-v6-platinum-editiontiptronic-s-diesel-negro-7e4f02ae-21cf-243b-e053-0100007f5885?cldtidx=5&amp;cldtsrc=listPage"
BMW;Serie2;2018;57723;340;Gasolina;29900;40544;-10644;Germany;"https://www.autoscout24.es/anuncios/bmw-240-i-coupe-3-0-340ps-sport-aut-navi-m-sportpaket-18-gasolina-azul-808d5c4c-20e9-4c73-b803-2b77bf8f5eec?cldtidx=7&amp;cldtsrc=listPage"
Porsche;Cayenne;2015;177155;385;Diesel;27900;38423;-10523;Germany;"https://www.autoscout24.es/anuncios/porsche-cayenne-s-diesel-tiptronic-s-diesel-marron-9c279462-0c81-4c9d-a896-a886c973718b?cldtidx=1&amp;cldtsrc=listPage"
Mercedes-Benz;E;2015;50000;258;Diesel;29880;40156;-10276;Germany;"https://www.autoscout24.es/anuncios/mercedes-benz-e-350-bt-4matic-bang-o-highend-360grad-airmatic-diesel-gris-db5664c4-ffbb-45d2-941c-8654ba78e642?cldtidx=10&amp;cldtsrc=listPage"
