Brand;Model;Year;Km;Power;Fuel_type;Price;Predictions;Error;Country;Url
LandRover;RangeRoverSport;2011;114000;510;Gasolina;17000;35293;-18293;Germany;https://www.autoscout24.es/anuncios/land-rover-range-rover-sport-autobiography-supercharged-gasolina-blanco-63f676ad-9bad-7e3f-e053-0100007f8de5?cldtidx=2&cldtsrc=listPage
LandRover;RangeRover;2012;300000;313;Diesel;8500;22351;-13851;Italiy;https://www.autoscout24.es/anuncios/land-rover-range-rover-range-rover-sport-3-0-hse-diesel-blanco-864a01ad-bf57-c276-e053-0100007f3e2a?cldtidx=1&cldtsrc=listPage
Porsche;Cayenne;2010;120000;290;Gasolina;17700;31227;-13527;Germany;https://www.autoscout24.es/anuncios/porsche-cayenne-tiptronic-s-gasolina-blanco-54b80dad-8538-0e37-e053-0100007f33ca?cldtidx=5&cldtsrc=listPage
Porsche;Cayenne;2011;145000;290;Gasolina;19999;33280;-13281;Germany;https://www.autoscout24.es/anuncios/porsche-cayenne-3-6-gts-leder-navi-xenon-kamera-sd-gasolina-blanco-d4ca8e89-f33b-44f5-be7e-a29ebef9493a?cldtidx=6&cldtsrc=listPage
LandRover;RangeRover;2012;240000;256;Diesel;14900;28103;-13203;Italy;https://www.autoscout24.es/anuncios/land-rover-range-rover-3-0-tdv6-hse-diesel-negro-d5a0b6ad-5c03-3d59-e053-0100007f46ca?cldtidx=3&cldtsrc=listPage
BMW;Serie2;2018;71000;190;Diesel;14600;27460;-12860;Germany;https://www.autoscout24.es/anuncios/bmw-220-gran-tourer-220d-advantage-navi-led-17l-lichtpake-diesel-plateado-533c825d-c4a6-4e7e-815d-8619be25ec25?cldtidx=1&cldtsrc=listPage
Mercedes-Benz;SLK;2014;40000;184;Gasolina;12000;24552;-12552;Italiy;https://www.autoscout24.es/anuncios/mercedes-benz-slk-200-sport-gasolina-negro-8d022cae-2464-334b-e053-0100007fe158?cldtidx=1&cldtsrc=listPage
Mercedes-Benz;C;2016;218010;279;Electro/Gasolina;15653;28164;-12511;Netherland;https://www.autoscout24.es/anuncios/mercedes-benz-c-350-estate-350e-ex-btw-adap-cruise-lane-assist-lede-electro-gasolina-gris-7877b243-ffc7-417b-b179-c556a8db52ab?cldtidx=1&cldtsrc=listPage
BMW;Serie2;2017;15300;224;Electro/Gasolina;17860;30088;-12228;Germany;https://www.autoscout24.es/anuncios/bmw-225-xe-iperformance-active-tourer-advantage-navi-shz-p-electro-gasolina-negro-4aebfdb8-b373-4a8b-8fc3-0e40967fc83f?cldtidx=15&cldtsrc=listPage
Audi;A5;2016;144940;245;Diesel;13660;25733;-12073;Germany;https://www.autoscout24.es/anuncios/audi-a5-3-0-tdi-sportback-clean-die-quat-dpf-s-tro-diesel-negro-7c75ee98-b07b-4ef3-8b0b-8223ed62e874?cldtidx=1&cldtsrc=listPage
BMW;Serie1;2011;119000;306;Gasolina;10000;21750;-11750;Germany;https://www.autoscout24.es/anuncios/bmw-135-1er-coupe-gasolina-rojo-6ceac5bf-bed9-441f-bf73-68648804a71b?cldtidx=2&cldtsrc=listPage
Audi;A6;2015;187000;320;Diesel;16250;27748;-11498;Netherland;https://www.autoscout24.es/anuncios/audi-a6-a6-avant-3-0-tdi-quattro-tiptronic-320ps-wi-neu-diesel-gris-47f11bae-4976-fd43-e053-0100007fe158?cldtidx=1&cldtsrc=listPage
BMW;Serie2;2016;59000;245;Gasolina;18000;29209;-11209;Austria;https://www.autoscout24.es/anuncios/bmw-228-2er-reihe-cabrio-f23-cabrio-gasolina-plateado-1ed92aae-7598-fc38-e053-0100007f1612?cldtidx=2&cldtsrc=listPage
LandRover;RangeRoverSport;2012;118000;256;Diesel;14990;26192;-11202;Germany;https://www.autoscout24.es/anuncios/land-rover-range-rover-sport-sdv6-hse-diesel-blanco-97f888cd-d289-4c1c-8198-d0096a2e8043?cldtidx=5&cldtsrc=listPage
Porsche;Panamera;2010;216000;400;Gasolina;19900;30890;-10990;Germany;https://www.autoscout24.es/anuncios/porsche-panamera-4s-luft-sitzklima-holzlenkr-voll-leder-gasolina-verde-dbf7cf7b-a60a-4ea3-871b-017b3cdd8c4c?cldtidx=1&cldtsrc=listPage
Mercedes-Benz;E;2013;91000;204;Diesel;13900;24313;-10413;Belgium;https://www.autoscout24.es/anuncios/mercedes-benz-e-250-cdi-coupe-7g-tronic-diesel-plateado-b11ab5a1-9b7c-6634-e053-e350040a9ac6?cldtidx=1&cldtsrc=listPage
