vehicle;  km; year; power; transmision; fuel_type; consume; country;emisions;price ;;;;
Land Rover Discovery;199.984 km;nov-10;180 kW (245 CV);Automático;Diésel;9,3;NL;244;€ 19.888;;;;
Land Rover Range Rover;200.000 km;ago-10;200 kW (272 CV);Automático;Diésel;11,1;Unknown;294;€ 14.500;;;;
Land Rover Range Rover Sport;161.000 km;ago-11;180 kW (245 CV);Semiautomático;Diésel;9,2;AT;243;€ 19.990;;;;
Land Rover Discovery;130.016 km;ene-12;188 kW (256 CV);Automático;Diésel;8 l/;NL;230;€ 29.900;;;;
Land Rover Freelander;116.754 km;ene-10;118 kW (160 CV);Manual;Diésel;6,7;IT;179;€ 9.890;;;;
Land Rover Range Rover Evoque;148.097 km;ene-12;140 kW (190 CV);Automático;Diésel;6,4;AT;169;€ 17.790;;;;
Land Rover Range Rover Sport;178.176 km;ene-11;180 kW (245 CV);Automático;Diésel;9,2;NL;243;€ 16.750;;;;
Land Rover Range Rover Evoque;146.000 km;jul-12;110 kW (150 CV);Manual;Diésel;5,7;Unknown;149;€ 18.500;;;;
Land Rover Defender;102.000 km;jun-11;90 kW (122 CV);Manual;Diésel;11 l;Unknown;295;€ 30.000;;;;
Land Rover Range Rover Sport;167.000 km;mar-10;155 kW (211 CV);Automático;Diésel;9,2;BE;243;€ 12.999;;;;
Land Rover Range Rover Sport;238.000 km;jun-10;180 kW (245 CV);Automático;Diésel;9,2;Unknown;243;€ 11.950;;;;
Land Rover Range Rover Evoque;81.873 km;sep-11;140 kW (190 CV);Automático;Diésel;6,4;FR;169;€ 25.900;;;;
Land Rover Range Rover Evoque;147.000 km;jun-12;110 kW (150 CV);Automático;Diésel;6,4;Unknown;169;€ 16.500;;;;
Land Rover Freelander;253.000 km;feb-11;110 kW (150 CV);Manual;Diésel;6 l/;Unknown;158;€ 8.750;;;;
Land Rover Range Rover Evoque;102.082 km;mar-12;110 kW (150 CV);Automático;Diésel;6,5;ES;-/- ;€ 20.300;;;;
Land Rover Range Rover Evoque;127.620 km;oct-11;140 kW (190 CV);Manual;Diésel;5,7;ES;-/- ;€ 18.600;;;;
Land Rover Range Rover Evoque;127.620 km;oct-11;140 kW (190 CV);Manual;Diésel;5,7;ES;-/- ;€ 18.600;;;;
Land Rover Freelander;150.000 km;abr-10;112 kW (152 CV);Automático;Diésel;7,9;Unknown;214;€ 9.500;;;;
Land Rover Freelander;154.000 km;ene-10;118 kW (160 CV);Manual;Diésel;6,7;Unknown;179;€ 7.890;;;;
Land Rover Range Rover Sport;129.000 km;sep-11;180 kW (245 CV);Automático;Diésel;9,2;AT;243;€ 24.900;;;;
Land Rover Freelander;140.000 km;jun-10;112 kW (152 CV);Manual;Diésel;6,7;Unknown;179;€ 10.500;;;;
Land Rover Range Rover Sport;236.000 km;mar-12;155 kW (211 CV);Automático;Diésel;8,5;Unknown;224;€ 15.250;;;;
Land Rover Range Rover Sport;175.834 km;jul-10;200 kW (272 CV);Automático;Diésel;11,1;NL;294;€ 16.499;;;;
Land Rover Range Rover Evoque;136.000 km;ene-12;140 kW (190 CV);Manual;Diésel;5,7;Unknown;149;€ 16.000;;;;
Land Rover Range Rover Evoque;149.000 km;oct-12;140 kW (190 CV);Automático;Diésel;5,7;Unknown;149;€ 25.000;;;;
Land Rover Range Rover Evoque;176.000 km;mar-12;140 kW (190 CV);Automático;Diésel;5,7;Unknown;149;€ 17.000;;;;
Land Rover Range Rover Sport;133.000 km;oct-10;155 kW (211 CV);Automático;Diésel;9,2;BE;243;€ 18.490;;;;
Land Rover Defender;220.000 km;ene-11;90 kW (122 CV);Manual;Diésel;11 l;Unknown;295;€ 22.000;;;;
Land Rover Discovery;116.900 km;sep-12;155 kW (211 CV);Automático;Diésel;8,5;AT;224;€ 23.990;;;;
Land Rover Defender;112.000 km;jul-12;90 kW (122 CV);Manual;Diésel;11,1;DE;269;€ 32.890;;;;
Land Rover Range Rover Evoque;160.000 km;oct-12;140 kW (190 CV);Automático;Diésel;5,7;DE;149;€ 14.990;;;;
Land Rover Range Rover Evoque;128.900 km;jul-12;140 kW (190 CV);Automático;Diésel;5,7;DE;149;€ 20.950;;;;
Land Rover Range Rover Evoque;102.082 km;mar-12;110 kW (150 CV);Automático;Diésel;6,5;ES;-/- ;€ 20.300;;;;
Land Rover Range Rover;190.000 km;sep-11;200 kW (272 CV);Automático;Diésel;11,1;Unknown;294;€ 15.500;;;;
Land Rover Freelander;179.000 km;may-11;110 kW (150 CV);Manual;Diésel;6,2;ES;165;€ 11.400;;;;
Land Rover Range Rover Evoque;116.000 km;abr-12;110 kW (150 CV);Automático;Diésel;5,7;IT;149;€ 16.900;;;;
Land Rover Range Rover Sport;105.200 km;sep-12;188 kW (256 CV);Automático;Diésel;8,8;Unknown;230;€ 15.500;;;;
Land Rover Defender;132.700 km;abr-11;90 kW (122 CV);Manual;Diésel;10 l;IT;266;€ 27.500;;;;
Land Rover Range Rover Evoque;130.000 km;jun-12;110 kW (150 CV);Automático;Diésel;5,7;Unknown;149;€ 17.500;;;;
Land Rover Discovery;314.000 km;dic-11;155 kW (211 CV);Automático;Diésel;8,5;AT;224;€ 11.900;;;;
Land Rover Range Rover Evoque;179.000 km;dic-12;110 kW (150 CV);Manual;Diésel;6,5;Unknown;174;€ 15.490;;;;
Land Rover Freelander;122.691 km;abr-11;110 kW (150 CV);Manual;Diésel;6,2;ES;-/- ;€ 12.500;;;;
Land Rover Range Rover Evoque;102.082 km;mar-12;110 kW (150 CV);Automático;Diésel;6,5;ES;-/- ;€ 20.300;;;;
Land Rover Range Rover Evoque;137.000 km;oct-12;110 kW (150 CV);Automático;Diésel;5,7;BE;174;€ 18.750;;;;
Land Rover Discovery;280.000 km;dic-10;180 kW (245 CV);Automático;Diésel;9,3;IT;244;€ 5.300;;;;
Land Rover Range Rover;170.998 km;abr-12;155 kW (211 CV);Automático;Diésel;9,2;AT;244;€ 21.890;;;;
Land Rover Range Rover Evoque;112.200 km;ene-12;140 kW (190 CV);Automático;Diésel;6,5;Unknown;174;€ 12.950;;;;
Land Rover Range Rover Evoque;127.620 km;oct-11;140 kW (190 CV);Manual;Diésel;5,7;ES;-/- ;€ 18.600;;;;
Land Rover Range Rover Evoque;102.082 km;mar-12;110 kW (150 CV);Automático;Diésel;6,5;ES;-/- ;€ 20.300;;;;
Land Rover;159.000 km;oct-12;112 kW (152 CV);Automático;Diésel;-/- ;FR;174;€ 17.990;;;;
Land Rover Freelander;122.691 km;abr-11;110 kW (150 CV);Manual;Diésel;6,2;ES;-/- ;€ 12.500;;;;
Land Rover Defender;155.000 km;ene-12;90 kW (122 CV);Manual;Diésel;10,2;Unknown;269;€ 27.500;;;;
Land Rover Defender;155.000 km;ene-12;90 kW (122 CV);Manual;Diésel;10,2;Unknown;269;€ 27.500;;;;
Land Rover Range Rover Sport;55.000 km;oct-12;188 kW (256 CV);Automático;Diésel;8,8;AT;230;€ 29.990;;;;
Land Rover Range Rover Evoque;125.000 km;nov-12;110 kW (150 CV);Manual;Diésel;5,7;Unknown;149;€ 16.400;;;;
Land Rover Freelander;153.463 km;jun-12;110 kW (150 CV);Manual;Diésel;6,2;Unknown;165;€ 9.500;;;;
Land Rover Discovery;165.000 km;jul-12;188 kW (256 CV);Automático;Diésel;8,8;ES;-/- ;€ 21.490;;;;
Land Rover Range Rover Evoque;175.000 km;dic-12;140 kW (190 CV);Automático;Diésel;5,7;Unknown;149;€ 19.500;;;;
Land Rover Range Rover Sport;190.000 km;mar-10;180 kW (245 CV);Automático;Diésel;-/- ;DE;-/- ;€ 12.900;;;;
Land Rover Range Rover Evoque;74.320 km;may-12;110 kW (150 CV);Automático;Diésel;6,5;Unknown;174;€ 24.500;;;;
Land Rover Range Rover Evoque;127.000 km;dic-12;110 kW (150 CV);Manual;Diésel;5,7;Unknown;149;€ 18.000;;;;
Land Rover Defender;47.000 km;dic-12;90 kW (122 CV);Manual;Diésel;11 l;Unknown;295;€ 44.990;;;;
Land Rover Range Rover Sport;170.000 km;oct-10;375 kW (510 CV);Automático;Gasolina;-/- ;AT;-/- ;€ 18.900;;;;
Land Rover Range Rover Evoque;92.363 km;nov-12;110 kW (150 CV);Automático;Diésel;6,5;NL;174;€ 25.750;;;;
Land Rover Freelander;129.000 km;feb-11;140 kW (190 CV);Automático;Diésel;7 l/;Unknown;185;€ 13.500;;;;
Land Rover Freelander;139.000 km;dic-10;112 kW (152 CV);Manual;Diésel;6,7;DE;178;€ 7.890;;;;
