vehicle;  km; year; power; transmision; fuel_type; consume; country;emisions;price 
Land Rover Discovery;113.000 km;abr-18;177 kW (241 CV);Automático;Diésel;7,2;IT;191;€ 39.900
Land Rover Range Rover Sport;50.000 km;feb-17;183 kW (249 CV);Automático;Diésel;6,9;IT;182;€ 45.900
Land Rover Range Rover Evoque;113.659 km;jun-16;176 kW (239 CV);Automático;Gasolina;6,5;ES;-/- ;€ 25.900
Land Rover Discovery Sport;103.038 km;abr-16;132 kW (179 CV);Manual;Diésel;5,1;ES;-/- ;€ 27.900
Land Rover Range Rover Evoque;119.977 km;abr-16;110 kW (150 CV);Automático;Diésel;-/- ;DE;-/- ;€ 25.490
Land Rover Discovery Sport;82.000 km;abr-18;110 kW (150 CV);Automático;Diésel;-/- ;IT;-/- ;€ 24.990
Land Rover Range Rover Sport;14.498 km;oct-18;221 kW (300 CV);Automático;-/- (Combustible);-/- ;ES;-/- ;€ 62.900
Land Rover Range Rover Sport;12.800 km;mar-18;221 kW (300 CV);Automático;Gasolina;9,2;ES;-/- ;€ 66.900
Land Rover Discovery Sport;33.500 km;may-18;177 kW (241 CV);Automático;Gasolina;8,3;DE;197;€ 36.940
Land Rover Range Rover Sport;36.000 km;jul-17;405 kW (551 CV);Automático;Gasolina;12,8;DE;298;€ 77.790
Land Rover Range Rover Evoque;56.000 km;feb-16;110 kW (150 CV);Manual;Diésel;8 l/;Unknown;188;€ 18.200
Land Rover Discovery Sport;31.646 km;jun-16;110 kW (150 CV);Automático;Diésel;6,4;DE;169;€ 27.399
Land Rover Discovery Sport;71.438 km;feb-16;110 kW (150 CV);Automático;Diésel;5,1;IT;134;€ 22.790
Land Rover Range Rover Evoque;39.800 km;mar-16;132 kW (179 CV);Automático;Diésel;6,2;Unknown;164;€ 35.300
Unknown;85.025 km;jul-16;110 kW (150 CV);Automático;Diésel;-/- ;DE;-/- ;€ 24.750
Land Rover Range Rover Sport;46.377 km;ene-18;225 kW (306 CV);Automático;Diésel;7 l/;BE;185;€ 69.950
Land Rover Range Rover Velar;146.000 km;dic-17;221 kW (300 CV);Automático;Diésel;6,4;IT;167;€ 39.900
Land Rover Discovery Sport;31.000 km;nov-18;110 kW (150 CV);Automático;Diésel;5,1;Unknown;125;€ 32.500
Land Rover Discovery Sport;66.200 km;ene-16;132 kW (179 CV);Automático;Diésel;6,5;IT;171;€ 18.000
Land Rover Range Rover Evoque;102.600 km;oct-16;132 kW (179 CV);Automático;Diésel;5,1;DE;134;€ 53.780
Land Rover Discovery Sport;71.390 km;abr-16;110 kW (150 CV);Manual;Diésel;-/- ;BE;129;€ 23.495
Land Rover Range Rover Evoque;74.500 km;jun-17;132 kW (179 CV);Automático;Diésel;5,7;Unknown;149;€ 39.500
Land Rover Discovery Sport;98.000 km;may-16;132 kW (179 CV);Manual;Diésel;6,5;IT;171;€ 22.500
Land Rover Range Rover Evoque;76.000 km;ene-16;110 kW (150 CV);Manual;Diésel;5,7;IT;149;€ 25.900
Land Rover Range Rover Velar;48.626 km;ago-18;184 kW (250 CV);Automático;Gasolina;7,6;DE;173;€ 41.980
Land Rover Range Rover Velar;60.000 km;sep-17;177 kW (241 CV);Automático;Diésel;5,8;Unknown;154;€ 46.500
Land Rover Range Rover Sport;110.000 km;mar-17;135 kW (184 CV);Automático;Diésel;-/- ;Unknown;-/- ;€ 41.900
Land Rover Range Rover Evoque;89.163 km;jul-16;110 kW (150 CV);Automático;Diésel;-/- ;BE;134;€ 25.990
Land Rover Discovery;88.000 km;jun-17;132 kW (179 CV);Automático;Diésel;6,3;BE;166;€ 35.990
Land Rover Range Rover Evoque;27.258 km;mar-18;110 kW (150 CV);Manual;Diésel;4,8;IT;125;€ 29.900
Land Rover Range Rover Sport;108.000 km;oct-16;183 kW (249 CV);Automático;Diésel;6,9;IT;182;€ 34.900
Land Rover Range Rover Evoque;47.606 km;dic-18;110 kW (150 CV);Automático;Diésel;4,2;DE;109;€ 37.541
Land Rover Range Rover Sport;31.073 km;dic-18;190 kW (258 CV);Automático;Diésel;6,9;DE;182;€ 59.600
Land Rover Range Rover Evoque;52.942 km;dic-18;110 kW (150 CV);Automático;Diésel;4,2;DE;109;€ 37.000
Land Rover Range Rover Evoque;18.650 km;may-16;132 kW (179 CV);Automático;Diésel;-/- ;BE;-/- ;€ 35.799
Land Rover Range Rover Sport;70.000 km;jun-17;183 kW (249 CV);Automático;Diésel;6,9;Unknown;182;€ 55.000
Land Rover Range Rover Velar;48.966 km;oct-17;177 kW (241 CV);Automático;Diésel;5,8;Unknown;154;€ 54.000
Land Rover Discovery Sport;155.000 km;abr-16;110 kW (150 CV);Automático;Diésel;5,3;Unknown;139;€ 16.000
Land Rover Discovery Sport;95.000 km;jul-16;110 kW (150 CV);Automático;Diésel;5,1;IT;134;€ 21.900
Land Rover Discovery Sport;106.387 km;jun-16;110 kW (150 CV);Automático;Diésel;5,1;IT;134;€ 19.950
Land Rover Range Rover Evoque;72.000 km;mar-17;110 kW (150 CV);Manual;Diésel;4,3;IT;113;€ 23.800
Land Rover Discovery;30.000 km;ago-17;177 kW (241 CV);Automático;Diésel;8 l/;Unknown;203;€ 60.000
Land Rover Discovery Sport;33.060 km;ago-18;110 kW (150 CV);Automático;Diésel;-/- ;BE;139;€ 35.500
Land Rover Discovery Sport;32.000 km;mar-17;110 kW (150 CV);Manual;Diésel;-/- ;Unknown;123;€ 24.990
Land Rover Range Rover Evoque;77.037 km;abr-16;110 kW (150 CV);Manual;Diésel;-/- ;NL;113;€ 26.850
Land Rover Range Rover Evoque;60.000 km;jun-18;110 kW (150 CV);Automático;Diésel;5,1;IT;134;€ 25.800
Land Rover Discovery Sport;174.568 km;sep-17;110 kW (150 CV);Automático;Diésel;-/- ;BE;136;€ 18.587
Land Rover Discovery Sport;119.035 km;feb-16;110 kW (150 CV);Automático;Diésel;-/- ;BE;139;€ 23.367
