vehicle;  km; year; power; transmision; fuel_type; consume; country;emisions;price 
Audi A4;214.500 km;jun-10;118 kW (160 CV);Manual;Gasolina;7,2;ES;-/- ;€ 11.999
Audi Q7;157.000 km;ago-10;368 kW (500 CV);Automático;Diésel;11,3;Unknown;298;€ 39.900
Audi A6;239.000 km;may-10;125 kW (170 CV);Automático;Diésel;5,8;Unknown;153;€ 8.700
Audi A3;210.000 km;abr-10;77 kW (105 CV);Manual;Diésel;4,1;Unknown;109;€ 6.700
Audi Q7;127.771 km;abr-10;176 kW (239 CV);Automático;Diésel;9,1;ES;-/- ;€ 18.900
Audi S5;168.320 km;feb-10;245 kW (333 CV);Automático;Gasolina;9,7;Unknown;224;€ 14.000
Audi A3;74.306 km;mar-10;103 kW (140 CV);Manual;Diésel;4,4;ES;-/- ;€ 11.800
Audi A6;137.781 km;sep-10;140 kW (190 CV);Manual;Gasolina;8,7;ES;-/- ;€ 12.800
Audi A6;137.781 km;sep-10;140 kW (190 CV);Manual;Gasolina;8,7;ES;-/- ;€ 12.800
Audi Q7;127.771 km;abr-10;176 kW (239 CV);Automático;Diésel;9,1;ES;-/- ;€ 18.900
Audi A3;74.306 km;mar-10;103 kW (140 CV);Manual;Diésel;4,4;ES;-/- ;€ 11.800
Audi A6;137.781 km;sep-10;140 kW (190 CV);Manual;Gasolina;8,7;ES;-/- ;€ 12.800
Audi R8;49.082 km;feb-10;309 kW (420 CV);Automático;Gasolina;13,6;ES;-/- ;€ 49.500
Audi A5;246.000 km;ene-10;140 kW (190 CV);Automático;Diésel;6,5;Unknown;169;€ 13.500
Audi A4;76.183 km;feb-10;105 kW (143 CV);Manual;Diésel;5,1;ES;-/- ;€ 12.450
Audi A4;76.183 km;feb-10;105 kW (143 CV);Manual;Diésel;5,1;ES;-/- ;€ 12.450
Audi A4;76.183 km;feb-10;105 kW (143 CV);Manual;Diésel;5,1;ES;-/- ;€ 12.450
Audi A4;187.000 km;may-10;100 kW (136 CV);Manual;Diésel;4,6;Unknown;119;€ 9.500
Audi A4;76.183 km;feb-10;105 kW (143 CV);Manual;Diésel;5,1;ES;-/- ;€ 12.450
Audi A4;76.183 km;feb-10;105 kW (143 CV);Manual;Diésel;5,1;ES;-/- ;€ 12.450
Audi A4;76.183 km;feb-10;105 kW (143 CV);Manual;Diésel;5,1;ES;-/- ;€ 12.450
Audi Q7;127.771 km;abr-10;176 kW (239 CV);Automático;Diésel;9,1;ES;-/- ;€ 18.900
Audi A4;76.183 km;feb-10;105 kW (143 CV);Manual;Diésel;5,1;ES;-/- ;€ 12.450
Audi A4;76.183 km;feb-10;105 kW (143 CV);Manual;Diésel;5,1;ES;-/- ;€ 12.450
Audi Q7;127.771 km;abr-10;176 kW (239 CV);Automático;Diésel;9,1;ES;-/- ;€ 18.900
Audi A3;74.306 km;mar-10;103 kW (140 CV);Manual;Diésel;4,4;ES;-/- ;€ 11.800
Audi A4;76.183 km;feb-10;105 kW (143 CV);Manual;Diésel;5,1;ES;-/- ;€ 12.450
