vehicle;  km; year; power; transmision; fuel_type; consume; country;emisions;price 
Audi A3;58.680 km;sep-16;85 kW (116 CV);Manual;Gasolina;4,7;ES;107;€ 15.900
Audi A3;62.590 km;dic-16;110 kW (150 CV);Automático;Gasolina;4,9;ES;-/- ;€ 19.950
Audi A3;104.000 km;may-16;92 kW (125 CV);Manual;Gasolina;5,3;ES;-/- ;€ 12.990
Audi A5;19.187 km;jun-16;169 kW (230 CV);Automático;Gasolina;6,2;ES;-/- ;€ 30.500
Audi A1;50.132 km;mar-16;70 kW (95 CV);Manual;Gasolina;4,3;ES;-/- ;€ 13.271
Audi A1;50.132 km;mar-16;70 kW (95 CV);Manual;Gasolina;4,3;ES;-/- ;€ 13.271
Audi A1;77.981 km;abr-16;92 kW (125 CV);Manual;Gasolina;5 l/;ES;-/- ;€ 13.925
Audi A1;50.132 km;mar-16;70 kW (95 CV);Manual;Gasolina;4,3;ES;-/- ;€ 13.271
Audi A1;50.132 km;mar-16;70 kW (95 CV);Manual;Gasolina;4,3;ES;-/- ;€ 13.271
Audi A1;77.981 km;abr-16;92 kW (125 CV);Manual;Gasolina;5 l/;ES;-/- ;€ 13.925
Audi RS6;65.000 km;dic-16;445 kW (605 CV);Automático;Gasolina;9,6;ES;223;€ 79.000
Audi Q3;115.756 km;may-16;110 kW (150 CV);Automático;Gasolina;5,8;ES;-/- ;€ 17.890
Audi Q3;115.756 km;may-16;110 kW (150 CV);Automático;Gasolina;5,8;ES;-/- ;€ 17.890
Audi A1;50.132 km;mar-16;70 kW (95 CV);Manual;Gasolina;4,3;ES;-/- ;€ 13.271
Audi A4;40.515 km;jun-16;185 kW (252 CV);Automático;Gasolina;5,9;ES;-/- ;€ 26.999
Audi Q3;115.756 km;may-16;110 kW (150 CV);Automático;Gasolina;5,8;ES;-/- ;€ 17.890
Audi A3;53.512 km;abr-16;92 kW (125 CV);Manual;Gasolina;5,3;ES;-/- ;€ 16.000
Audi S8;40.000 km;abr-16;445 kW (605 CV);Automático;Gasolina;9,9;ES;-/- ;€ 66.900
Audi A1;99.584 km;may-16;70 kW (95 CV);Manual;Gasolina;4,2;ES;-/- ;€ 10.999
Audi A7;99.999 km;jun-16;140 kW (190 CV);Automático;Gasolina;-/- ;ES;-/- ;€ 28.900
Audi A3;105.982 km;may-16;92 kW (125 CV);Manual;Gasolina;5,3;ES;-/- ;€ 12.700
Audi A3;109.183 km;may-16;92 kW (125 CV);Manual;Gasolina;5,3;ES;-/- ;€ 12.700
