vehicle;  km; year; power; transmision; fuel_type; consume; country;emisions;price 
Audi A1;61.000 km;may-18;85 kW (116 CV);Manual;Diésel;3,7;ES;98 g;€ 16.500
Audi A1;53.000 km;may-18;85 kW (116 CV);Manual;Diésel;3,7;ES;98 g;€ 16.500
Audi A1;67.000 km;mar-18;85 kW (116 CV);Manual;Diésel;3,7;ES;98 g;€ 16.500
Audi Q3;38.537 km;abr-18;110 kW (150 CV);Automático;Diésel;4,7;Unknown;128;€ 24.990
Audi Q2;87.370 km;may-18;85 kW (116 CV);Manual;Diésel;4,6;ES;-/- ;€ 19.500
Audi A4;89.000 km;abr-18;110 kW (150 CV);Automático;Diésel;4 l/;ES;-/- ;€ 27.900
Audi Q3;34.956 km;feb-18;110 kW (150 CV);Automático;Diésel;4,9;ES;-/- ;€ 27.400
Audi A6;59.000 km;ago-18;140 kW (190 CV);Automático;Diésel;4,4;ES;-/- ;€ 32.000
Audi A3;66.500 km;ene-18;85 kW (116 CV);Manual;Diésel;4,1;ES;108;€ 18.900
Audi A1;46.000 km;may-18;85 kW (116 CV);Manual;Diésel;3,7;ES;98 g;€ 16.500
Audi Q7;18.235 km;jul-18;160 kW (218 CV);Automático;Diésel;5,5;ES;-/- ;€ 42.636
Audi Q7;18.235 km;jul-18;160 kW (218 CV);Automático;Diésel;5,5;ES;-/- ;€ 42.636
Audi A1;30.042 km;jul-18;66 kW (90 CV);Manual;Diésel;3,7;ES;-/- ;€ 15.690
Audi A8;28.560 km;abr-18;210 kW (286 CV);Automático;Diésel;5,6;ES;-/- ;€ 56.390
Audi Q7;18.235 km;jul-18;160 kW (218 CV);Automático;Diésel;5,5;ES;-/- ;€ 42.636
Audi Q7;18.235 km;jul-18;160 kW (218 CV);Automático;Diésel;5,5;ES;-/- ;€ 42.636
Audi A1;18.980 km;jun-18;85 kW (116 CV);Manual;Diésel;3,7;ES;-/- ;€ 15.500
Audi A1;30.042 km;jul-18;66 kW (90 CV);Manual;Diésel;3,7;ES;-/- ;€ 15.690
Audi Q7;18.235 km;jul-18;160 kW (218 CV);Automático;Diésel;5,5;ES;-/- ;€ 42.636
Audi A1;40.900 km;may-18;85 kW (116 CV);Manual;Diésel;3,7;ES;-/- ;€ 16.990
Audi A3;75.119 km;jun-18;110 kW (150 CV);Manual;Diésel;4,2;ES;-/- ;€ 18.900
Audi Q5;29.878 km;ago-18;140 kW (190 CV);Automático;Diésel;5,1;ES;-/- ;€ 37.500
Audi A3;23.000 km;ene-18;135 kW (184 CV);Automático;Diésel;5 l/;ES;-/- ;€ 35.900
Audi Q2;18.652 km;may-18;85 kW (116 CV);Manual;Diésel;4,6;ES;-/- ;€ 20.900
Audi Q2;30.538 km;feb-18;85 kW (116 CV);Manual;Diésel;4,6;ES;-/- ;€ 20.700
Audi A4;5.740 km;mar-18;110 kW (150 CV);Manual;Diésel;4 l/;ES;-/- ;€ 24.800
Audi A8;28.349 km;ene-18;210 kW (286 CV);Automático;Diésel;5,6;ES;-/- ;€ 65.500
Audi Q5;9.952 km;jul-18;120 kW (163 CV);Automático;Diésel;5,1;ES;-/- ;€ 35.700
Audi Q5;3.505 km;jul-18;120 kW (163 CV);Automático;Diésel;5,1;ES;-/- ;€ 39.000
Audi Q2;14.150 km;abr-18;110 kW (150 CV);Automático;Diésel;4,9;ES;-/- ;€ 36.500
Audi Q5;26.990 km;dic-18;140 kW (190 CV);Automático;Diésel;-/- ;ES;-/- ;€ 39.900
Audi A3;31.000 km;may-18;85 kW (116 CV);Automático;Diésel;4 l/;ES;-/- ;€ 20.900
Audi A4;39.999 km;ene-18;110 kW (150 CV);Automático;Diésel;4 l/;ES;-/- ;€ 26.490
Audi Q2;38.085 km;ago-18;85 kW (116 CV);Manual;Diésel;4,6;ES;-/- ;€ 21.890
Audi A3;230 km;may-18;85 kW (116 CV);Manual;Diésel;4,1;ES;-/- ;€ 19.990
Audi Q5;29.878 km;ago-18;140 kW (190 CV);Automático;Diésel;5,1;ES;-/- ;€ 37.500
Audi Q5;20.116 km;may-18;110 kW (150 CV);Manual;Diésel;-/- ;ES;-/- ;€ 31.600
Audi Q5;29.878 km;ago-18;140 kW (190 CV);Automático;Diésel;5,1;ES;133;€ 38.900
Audi Q3;35.486 km;ene-18;110 kW (150 CV);Automático;Diésel;5,1;ES;133;€ 25.500
Audi Q5;14.000 km;ago-18;120 kW (163 CV);Automático;Diésel;5 l/;Unknown;132;€ 36.500
Audi A5;29.368 km;ago-18;110 kW (150 CV);Automático;Diésel;4,2;ES;-/- ;€ 33.500
Audi Q7;18.235 km;jul-18;160 kW (218 CV);Automático;Diésel;5,5;ES;-/- ;€ 42.636
Audi A7;5.663 km;feb-18;210 kW (286 CV);Automático;Diésel;5,6;ES;-/- ;€ 51.727
Audi Q2;25.287 km;mar-18;85 kW (116 CV);Manual;Diésel;4,6;ES;-/- ;€ 20.990
Audi A1;32.547 km;jul-18;85 kW (116 CV);Manual;Diésel;3,7;ES;-/- ;€ 14.000
Audi Q3;56.540 km;ene-18;110 kW (150 CV);Automático;Diésel;4,9;ES;-/- ;€ 23.900
Audi A4;18.491 km;mar-18;110 kW (150 CV);Semiautomático;Diésel;3,8;Unknown;99 g;€ 18.491
Audi A3;28.136 km;abr-18;110 kW (150 CV);Semiautomático;Diésel;4,4;Unknown;114;€ 19.136
Audi Q2;8.250 km;dic-18;85 kW (116 CV);Automático;Diésel;4,3;ES;-/- ;€ 26.800
Audi A4;15.915 km;jul-18;110 kW (150 CV);Manual;Diésel;3,8;ES;-/- ;€ 24.900
Audi Q2;10.821 km;dic-18;85 kW (116 CV);Automático;Diésel;4,3;ES;-/- ;€ 27.100
Audi A3;21.065 km;jul-18;110 kW (150 CV);Automático;Diésel;4,8;ES;-/- ;€ 29.400
Audi A4;89.000 km;sep-18;110 kW (150 CV);Automático;Diésel;4,3;ES;-/- ;€ 25.900
Audi A3;59.900 km;jun-18;110 kW (150 CV);Manual;Diésel;4,2;ES;-/- ;€ 18.400
Audi A4;32.100 km;mar-18;110 kW (150 CV);Manual;Diésel;3,8;ES;106;€ 27.500
Audi A4;15.200 km;mar-18;110 kW (150 CV);Manual;Diésel;3,8;ES;106;€ 29.000
Audi A3;19.600 km;dic-18;85 kW (116 CV);Manual;Diésel;4,1;ES;108;€ 24.500
