vehicle;  km; year; power; transmision; fuel_type; consume; country;emisions;price ;
Audi A1;145.950 km;mar-12;90 kW (122 CV);Manual;Gasolina;5,3;DE;126;€ 9.480;
Audi Q5;113.626 km;mar-10;155 kW (211 CV);Automático;Gasolina;8,5;Unknown;197;€ 17.500;
Audi A4;180.000 km;jul-11;105 kW (143 CV);Manual;Diésel;5,3;Unknown;139;€ 11.000;
Audi A1;124.600 km;jul-11;136 kW (185 CV);Automático;Gasolina;5,9;Unknown;139;€ 11.000;
Audi A5;300.000 km;ago-11;105 kW (143 CV);Automático;Diésel;5,8;Unknown;152;€ 7.600;
Audi A4;129.000 km;abr-12;105 kW (143 CV);Manual;Diésel;4,7;IT;124;€ 9.900;
Audi A3;98.000 km;oct-12;110 kW (150 CV);Automático;Diésel;4,4;DE;117;€ 16.940;
Audi S5;99.500 km;may-10;245 kW (333 CV);Automático;Gasolina;9,7;Unknown;224;€ 24.500;
Audi A1;132.000 km;nov-11;63 kW (86 CV);Manual;Gasolina;5,1;DE;121;€ 6.680;
Audi A3;73.500 km;jun-11;92 kW (125 CV);Automático;Gasolina;5,5;Unknown;127;€ 10.500;
Audi Q3;97.000 km;dic-12;103 kW (140 CV);Manual;Diésel;5,7;DE;151;€ 14.890;
Audi A3;187.000 km;oct-10;125 kW (170 CV);Manual;Diésel;5,2;DE;138;€ 6.990;
Audi A1;105.000 km;abr-11;77 kW (105 CV);Manual;Diésel;3,9;Unknown;99 g;€ 9.500;
Audi Q7;130.000 km;jul-10;176 kW (239 CV);Automático;Diésel;8,4;DE;219;€ 15.999;
Audi A1;156.000 km;sep-10;90 kW (122 CV);Automático;Gasolina;5,2;Unknown;119;€ 8.500;
Audi A3;135.000 km;ago-10;92 kW (125 CV);Automático;Gasolina;5,9;DE;138;€ 7.750;
Audi A6 allroad;213.679 km;oct-10;176 kW (239 CV);Automático;Diésel;7,5;Unknown;199;€ 8.550;
Audi A5;179.000 km;jun-10;176 kW (239 CV);Automático;Diésel;6,8;DE;179;€ 9.750;
Audi A3;198.950 km;nov-10;77 kW (105 CV);Automático;Diésel;4,3;Unknown;112;€ 2.700;
Audi A6;183.700 km;jun-10;176 kW (239 CV);Automático;Diésel;-/- ;Unknown;-/- ;€ 9.900;
Audi A4;168.935 km;jun-10;100 kW (136 CV);Manual;Diésel;4,9;DE;129;€ 8.990;
Audi A5;181.052 km;ago-11;125 kW (170 CV);Manual;Diésel;5,1;DE;134;€ 10.990;
Audi A3;210.740 km;jun-10;77 kW (105 CV);Automático;Diésel;4,3;Unknown;112;€ 2.700;
Audi A1;91.990 km;sep-11;63 kW (86 CV);Manual;Gasolina;5 l/;Unknown;116;€ 5.750;
Audi A3;101.800 km;oct-12;77 kW (105 CV);Manual;Gasolina;5,5;Unknown;127;€ 12.500;
Audi A3;139.000 km;nov-12;110 kW (150 CV);Manual;Diésel;4,1;Unknown;106;€ 10.900;
Audi Q5;108.000 km;feb-12;155 kW (211 CV);Manual;Gasolina;8,4;DE;195;€ 14.490;
Audi A3;152.000 km;oct-10;77 kW (105 CV);Manual;Gasolina;5,5;Unknown;127;€ 4.900;
Audi A3;193.000 km;abr-11;77 kW (105 CV);Automático;Diésel;4,3;Unknown;112;€ 6.000;
Audi A1;160.000 km;may-12;66 kW (90 CV);Manual;Diésel;3,8;Unknown;99 g;€ 7.500;
Audi A6;234.439 km;ene-12;120 kW (163 CV);Manual;Diésel;5 l/;Unknown;132;€ 12.000;
Audi A6;174.000 km;oct-11;180 kW (245 CV);Automático;Diésel;5,9;Unknown;156;€ 18.499;
Audi A4;106.250 km;oct-12;105 kW (143 CV);Automático;Diésel;5,8;DE;154;€ 13.490;
Audi A1;78.000 km;may-12;63 kW (86 CV);Manual;Gasolina;5 l/;Unknown;116;€ 9.999;
Audi A4;220.000 km;ago-12;105 kW (143 CV);Manual;Diésel;4,5;Unknown;133;€ 12.500;
