vehicle;  km; year; power; transmision; fuel_type; consume; country;emisions;price 
Audi A3;48.000 km;ene-16;81 kW (110 CV);Manual;Diésel;4 l/;ES;-/- ;€ 13.900
Audi A4 allroad;24.364 km;jul-18;120 kW (163 CV);Automático;Diésel;4,9;DE;128;€ 31.825
Audi A8;26.163 km;dic-18;210 kW (286 CV);Automático;Diésel;5,6;DE;148;€ 58.445
Audi S5;34.394 km;oct-17;260 kW (354 CV);Automático;Gasolina;7,5;DE;170;€ 47.745
Audi Q3;199.796 km;jun-16;110 kW (150 CV);Manual;Diésel;4,2;DE;109;€ 13.850
Audi A3;115.000 km;sep-17;85 kW (116 CV);Automático;Diésel;4 l/;Unknown;106;€ 16.500
Audi Q3;53.000 km;dic-16;132 kW (179 CV);Automático;Gasolina;7 l/;DE;161;€ 20.990
Audi A6;33.000 km;dic-16;160 kW (218 CV);Automático;Diésel;5,3;Unknown;138;€ 37.000
Audi A6;74.950 km;dic-16;160 kW (218 CV);Automático;Diésel;5 l/;DE;132;€ 27.890
Audi A6;98.950 km;feb-17;160 kW (218 CV);Automático;Diésel;5,3;DE;138;€ 29.680
Audi A6 allroad;131.350 km;abr-17;200 kW (272 CV);Automático;Diésel;5,6;DE;149;€ 26.890
Audi A6;43.200 km;feb-17;140 kW (190 CV);Automático;Diésel;4,7;DE;122;€ 27.980
Audi A4;106.300 km;feb-17;160 kW (218 CV);Automático;Diésel;4,6;DE;121;€ 26.590
Audi A4;109.650 km;mar-17;110 kW (150 CV);Manual;Diésel;4,3;DE;116;€ 16.980
Audi A6;89.990 km;mar-17;140 kW (190 CV);Manual;Diésel;4,6;DE;119;€ 26.890
Audi A4;116.450 km;ago-16;140 kW (190 CV);Automático;Diésel;4,4;DE;116;€ 18.790
Audi S8;113.750 km;nov-17;445 kW (605 CV);Automático;Gasolina;10 l;DE;231;€ 42.900
Audi A6 allroad;77.750 km;nov-16;200 kW (272 CV);Automático;Diésel;5,6;DE;149;€ 26.900
Audi A3;59.200 km;feb-16;132 kW (179 CV);Automático;Gasolina;6,6;DE;156;€ 15.890
Audi A3;42.500 km;mar-16;92 kW (125 CV);Manual;Gasolina;5,1;DE;121;€ 15.980
Audi A3;82.200 km;ene-17;110 kW (150 CV);Automático;Diésel;4,7;DE;121;€ 23.900
Audi Q7;56.850 km;mar-17;190 kW (258 CV);Automático;Electro/Diésel;1,9;DE;50 g;€ 56.890
Audi A6;57.500 km;ene-18;140 kW (190 CV);Automático;Diésel;4,4;DE;114;€ 32.061
Audi Q5;65.000 km;jun-16;140 kW (190 CV);Automático;Diésel;5,7;DE;151;€ 26.212
Audi A6 allroad;118.700 km;feb-18;235 kW (320 CV);Automático;Diésel;6,5;DE;172;€ 30.890
Audi TT;36.950 km;jul-16;132 kW (179 CV);Automático;Gasolina;5,9;DE;133;€ 25.980
Audi A3;41.700 km;may-17;110 kW (150 CV);Manual;Gasolina;4,6;DE;107;€ 18.890
Audi A6;71.700 km;abr-18;200 kW (272 CV);Automático;Diésel;5,3;DE;138;€ 32.890
Audi A4;122.800 km;mar-17;140 kW (190 CV);Automático;Diésel;4,5;DE;116;€ 22.980
Audi Q7;38.550 km;feb-17;200 kW (272 CV);Automático;Diésel;6,2;DE;163;€ 42.980
Audi A6;39.700 km;dic-18;170 kW (231 CV);Automático;Diésel;5,8;DE;150;€ 43.846
Audi A6;120.500 km;jul-18;235 kW (320 CV);Automático;Diésel;6,2;DE;164;€ 33.036
Audi A6;80.800 km;feb-18;240 kW (326 CV);Automático;Diésel;6,2;DE;164;€ 35.980
Audi Q2;16.790 km;jun-17;110 kW (150 CV);Manual;Gasolina;5,7;DE;128;€ 25.325
Audi A6;119.700 km;feb-17;160 kW (218 CV);Automático;Diésel;-/- ;DE;-/- ;€ 28.932
Audi A3;63.990 km;jun-17;110 kW (150 CV);Automático;Electro/Gasolina;1,6;DE;38 g;€ 22.401
Audi A3;36.550 km;sep-17;150 kW (204 CV);Automático;Electro/Gasolina;1,6;DE;38 g;€ 27.275
Audi A3;54.600 km;abr-17;150 kW (204 CV);Automático;Electro/Gasolina;1 l/;DE;38 g;€ 24.350
Audi A3;19.100 km;jul-17;150 kW (204 CV);Automático;Electro/Gasolina;1,6;DE;38 g;€ 25.325
Audi A3;52.900 km;may-17;110 kW (150 CV);Automático;Electro/Gasolina;1,6;DE;38 g;€ 25.812
Audi A3;22.550 km;ago-17;110 kW (150 CV);Automático;Electro/Gasolina;1,6;DE;38 g;€ 25.812
Audi A3;45.500 km;jun-17;110 kW (150 CV);Automático;Electro/Gasolina;1,6;DE;38 g;€ 22.401
Audi A3;36.150 km;ago-17;150 kW (204 CV);Automático;Electro/Gasolina;1,6;DE;38 g;€ 24.058
Audi A3;41.900 km;jul-17;110 kW (150 CV);Automático;Electro/Gasolina;1,6;DE;38 g;€ 23.863
Audi A3;51.950 km;sep-17;150 kW (204 CV);Automático;Electro/Gasolina;1,6;DE;38 g;€ 23.375
Audi A3;21.100 km;may-17;150 kW (204 CV);Automático;Electro/Gasolina;1,6;DE;38 g;€ 23.375
Audi A3;42.290 km;jun-17;110 kW (150 CV);Automático;Electro/Gasolina;1,6;DE;38 g;€ 23.863
Audi A3;25.750 km;may-17;150 kW (204 CV);Automático;Electro/Gasolina;1,6;DE;38 g;€ 25.237
Audi A3;50.950 km;may-17;150 kW (204 CV);Automático;Electro/Gasolina;1,6;DE;38 g;€ 24.350
Audi A4;59.900 km;ago-18;110 kW (150 CV);Automático;Diésel;4,2;DE;109;€ 25.325
Audi A3;43.950 km;mar-17;150 kW (204 CV);Automático;Electro/Gasolina;1,6;DE;38 g;€ 22.401
Audi A3;38.990 km;mar-17;150 kW (204 CV);Automático;Electro/Gasolina;1 l/;DE;38 g;€ 22.986
Audi A3;60.000 km;may-17;110 kW (150 CV);Automático;Electro/Gasolina;1,6;DE;38 g;€ 22.313
Audi A4;34.950 km;mar-18;110 kW (150 CV);Automático;Diésel;4,1;DE;106;€ 25.237
Audi A6;41.200 km;jun-18;140 kW (190 CV);Automático;Gasolina;5,7;DE;133;€ 26.780
Audi A4;16.900 km;jun-18;110 kW (150 CV);Manual;Diésel;3,8;DE;99 g;€ 25.680
Audi A4;10.450 km;ago-18;90 kW (122 CV);Automático;Diésel;4,1;DE;106;€ 23.980
Audi S1;25.100 km;oct-16;170 kW (231 CV);Manual;Gasolina;-/- ;IT;168;€ 26.990
Audi TT RS;13.000 km;may-18;294 kW (400 CV);Automático;Gasolina;8,2;Unknown;187;€ 62.900
Audi Q7;50.207 km;ene-18;320 kW (435 CV);Automático;Diésel;7,6;DE;201;€ 72.950
Audi SQ7;83.000 km;mar-18;320 kW (435 CV);Automático;Diésel;7,2;Unknown;189;€ 55.000
Audi A6;87.500 km;ene-17;200 kW (272 CV);Automático;Diésel;5,1;DE;133;€ 33.990
Audi A6;61.360 km;feb-17;200 kW (272 CV);Automático;Diésel;5,3;DE;140;€ 32.840
Audi A1;45.790 km;ago-17;70 kW (95 CV);Manual;Gasolina;4,4;DE;104;€ 13.840
Audi A6;16.010 km;may-18;185 kW (252 CV);Automático;Gasolina;6,9;DE;164;€ 42.440
Audi A1;22.635 km;jul-17;70 kW (95 CV);Manual;Gasolina;4,2;Unknown;97 g;€ 10.150
Audi A3;65.494 km;mar-16;110 kW (150 CV);-/- (Cambio);Electro/Gasolina;1,5;IT;35 g;€ 19.990
Audi A3;64.000 km;jul-17;85 kW (116 CV);Manual;Diésel;4 l/;Unknown;106;€ 17.300
Audi S1;13.400 km;sep-17;170 kW (231 CV);Manual;Gasolina;7,1;Unknown;166;€ 26.500
Audi RS4;30.000 km;jun-18;331 kW (450 CV);Automático;Gasolina;8,8;Unknown;200;€ 79.900
Audi A3;17.600 km;feb-17;85 kW (116 CV);Automático;Gasolina;4,5;DE;104;€ 19.960
Audi A1;42.500 km;oct-17;70 kW (95 CV);Manual;Gasolina;4,2;DE;97 g;€ 14.490
Audi A5;49.600 km;nov-16;106 kW (144 CV);Automático;Gasolina;5,8;DE;134;€ 20.880
Audi Q5;85.200 km;nov-16;190 kW (258 CV);Automático;Diésel;6 l/;DE;158;€ 31.780
Audi A3;58.900 km;jun-16;110 kW (150 CV);Automático;Diésel;4,5;DE;118;€ 21.870
Audi A6;150.000 km;sep-16;140 kW (190 CV);Semiautomático;Diésel;5,1;Unknown;133;€ 20.000
Audi A6;58.000 km;jun-16;200 kW (272 CV);Automático;Diésel;5,1;DE;133;€ 32.900
Audi A4;86.000 km;ene-18;140 kW (190 CV);Manual;Diésel;4,6;Unknown;119;€ 29.000
Audi Q5;89.000 km;abr-17;140 kW (190 CV);Semiautomático;Diésel;4,9;IT;129;€ 32.900
Audi A4;71.549 km;ago-18;185 kW (252 CV);Automático;Gasolina;6,5;DE;146;€ 27.990
Audi A3;35.000 km;abr-16;110 kW (150 CV);Automático;Diésel;4,3;Unknown;113;€ 22.500
Audi R8;7.801 km;ago-18;449 kW (610 CV);Automático;Gasolina;13,6;DE;309;€ 239.770
Audi A6;61.461 km;jun-16;240 kW (326 CV);Automático;Diésel;6,4;Unknown;169;€ 36.000
Audi Q3;39.500 km;jun-16;110 kW (150 CV);Manual;Gasolina;5,5;Unknown;127;€ 19.950
Audi Q8;32.000 km;oct-18;210 kW (286 CV);Automático;Electro/Diésel;6,8;Unknown;179;€ 63.000
Audi A5;144.940 km;ene-16;180 kW (245 CV);Automático;Diésel;6,1;Unknown;159;€ 13.660
Audi Q5;141.912 km;sep-17;120 kW (163 CV);Automático;Diésel;5 l/;Unknown;132;€ 15.000
