vehicle;  km; year; power; transmision; fuel_type; consume; country;emisions;price 
BMW 320;70.559 km;jul-13;135 kW (184 CV);Manual;Diésel;4,5;ES;119;€ 18.500
BMW 118;63.212 km;oct-13;105 kW (143 CV);Manual;Diésel;4,5;ES;118;€ 13.500
BMW 118;130.638 km;ene-13;105 kW (143 CV);Automático;Diésel;4,4;ES;-/- ;€ 13.150
BMW X1;90.796 km;ene-13;120 kW (163 CV);Manual;Diésel;4,5;ES;-/- ;€ 15.500
BMW X3;63.794 km;ene-13;105 kW (143 CV);Manual;Diésel;5,1;ES;-/- ;€ 18.200
BMW X3;63.794 km;ene-13;105 kW (143 CV);Manual;Diésel;5,1;ES;-/- ;€ 18.200
BMW X1;151.672 km;feb-13;180 kW (245 CV);Automático;Gasolina;7,2;ES;-/- ;€ 16.300
BMW X1;151.672 km;feb-13;180 kW (245 CV);Automático;Gasolina;7,2;ES;-/- ;€ 16.300
BMW X1;90.796 km;ene-13;120 kW (163 CV);Manual;Diésel;4,5;ES;-/- ;€ 15.500
BMW X3;63.794 km;ene-13;105 kW (143 CV);Manual;Diésel;5,1;ES;-/- ;€ 18.200
BMW 118;130.638 km;ene-13;105 kW (143 CV);Automático;Diésel;4,4;ES;-/- ;€ 13.150
BMW X1;151.672 km;feb-13;180 kW (245 CV);Automático;Gasolina;7,2;ES;-/- ;€ 16.300
BMW X1;112.020 km;may-13;105 kW (143 CV);Manual;Diésel;5,2;ES;-/- ;€ 16.400
BMW X1;90.796 km;ene-13;120 kW (163 CV);Manual;Diésel;4,5;ES;-/- ;€ 15.500
BMW X1;90.796 km;ene-13;120 kW (163 CV);Manual;Diésel;4,5;ES;-/- ;€ 15.500
BMW X1;151.672 km;feb-13;180 kW (245 CV);Automático;Gasolina;7,2;ES;-/- ;€ 16.300
BMW X1;151.672 km;feb-13;180 kW (245 CV);Automático;Gasolina;7,2;ES;-/- ;€ 16.300
BMW 318;125.287 km;jun-13;105 kW (143 CV);Manual;Diésel;4,5;ES;-/- ;€ 14.490
BMW 318;83.350 km;oct-13;105 kW (143 CV);Manual;Diésel;-/- ;ES;-/- ;€ 14.190
