vehicle;  km; year; power; transmision; fuel_type; consume; country;emisions;price 
BMW 118;63.898 km;dic-16;110 kW (150 CV);Automático;Diésel;4,1;ES;104;€ 17.300
BMW X1;205.816 km;dic-16;110 kW (150 CV);Manual;Diésel;4,1;ES;109;€ 17.900
BMW X1;131.171 km;feb-16;140 kW (190 CV);Automático;Diésel;4,9;ES;128;€ 23.500
BMW 318;70.236 km;feb-16;110 kW (150 CV);Manual;Diésel;4 l/;ES;106;€ 19.900
BMW X1;86.385 km;nov-16;110 kW (150 CV);Automático;Diésel;4,1;ES;109;€ 22.900
BMW 318;68.153 km;dic-16;110 kW (150 CV);Manual;Diésel;4 l/;ES;106;€ 19.900
BMW 218;47.594 km;jul-16;110 kW (150 CV);Manual;Diésel;4,1;ES;109;€ 18.900
BMW X1;86.715 km;dic-16;110 kW (150 CV);Automático;Diésel;4,1;ES;109;€ 23.900
BMW X6;39.000 km;may-16;190 kW (258 CV);Automático;Diésel;6 l/;ES;157;€ 51.900
BMW 216;42.994 km;ago-16;85 kW (116 CV);Automático;Diésel;3,8;ES;99 g;€ 16.500
BMW X6;74.355 km;sep-16;190 kW (258 CV);Automático;Diésel;6 l/;ES;-/- ;€ 49.000
BMW 218;99.000 km;feb-16;110 kW (150 CV);Manual;Diésel;4,5;ES;-/- ;€ 14.900
BMW 216;40.000 km;ago-16;85 kW (116 CV);Manual;Diésel;4 l/;ES;-/- ;€ 14.795
BMW 520;89.690 km;abr-16;140 kW (190 CV);Automático;Diésel;4,5;ES;-/- ;€ 20.500
BMW 216;38.470 km;jun-16;85 kW (116 CV);Manual;Diésel;4 l/;ES;-/- ;€ 17.500
BMW X4;154.278 km;mar-16;140 kW (190 CV);Manual;Diésel;5,4;ES;-/- ;€ 25.900
BMW X3;133.464 km;ene-16;140 kW (190 CV);Manual;Diésel;5,4;ES;-/- ;€ 20.900
BMW 120;94.722 km;nov-16;135 kW (184 CV);Manual;Diésel;4,5;ES;-/- ;€ 16.500
BMW 320;134.000 km;ene-16;135 kW (184 CV);Manual;Diésel;4,5;ES;-/- ;€ 16.500
BMW X1;107.346 km;nov-16;110 kW (150 CV);Automático;Diésel;4,3;ES;-/- ;€ 24.500
BMW 218;55.000 km;nov-16;110 kW (150 CV);Automático;Diésel;4,3;ES;-/- ;€ 17.900
BMW 318;30.393 km;feb-16;110 kW (150 CV);Automático;Diésel;4,5;ES;-/- ;€ 17.500
BMW X5;73.000 km;ago-16;190 kW (258 CV);Automático;Diésel;5,9;ES;-/- ;€ 31.900
BMW 220;52.000 km;jun-16;140 kW (190 CV);Automático;Diésel;4,4;ES;-/- ;€ 20.950
BMW 420;113.972 km;nov-16;140 kW (190 CV);Automático;Diésel;4,2;ES;111;€ 30.900
BMW 118;68.000 km;dic-16;110 kW (150 CV);Automático;Diésel;4 l/;ES;104;€ 19.900
BMW 320;86.417 km;ago-16;140 kW (190 CV);Manual;Diésel;4 l/;ES;106;€ 21.900
BMW X4;60.000 km;ago-16;140 kW (190 CV);Automático;Diésel;5,2;ES;-/- ;€ 31.900
BMW 318;51.449 km;nov-16;110 kW (150 CV);Manual;Diésel;-/- ;ES;-/- ;€ 22.900
BMW 118;69.995 km;ago-16;110 kW (150 CV);Manual;Diésel;-/- ;ES;-/- ;€ 16.900
BMW 118;88.329 km;dic-16;110 kW (150 CV);Manual;Diésel;4 l/;ES;-/- ;€ 17.900
BMW 118;36.196 km;may-16;110 kW (150 CV);Manual;Diésel;4 l/;ES;-/- ;€ 17.900
BMW 318;30.393 km;feb-16;110 kW (150 CV);Automático;Diésel;4,5;ES;-/- ;€ 17.500
BMW 420;97.000 km;jul-16;140 kW (190 CV);Automático;Diésel;4 l/;Unknown;106;€ 23.500
BMW 320;179.000 km;jun-16;120 kW (163 CV);Manual;Diésel;4,5;Unknown;119;€ 13.900
BMW X5;26.855 km;jul-16;170 kW (231 CV);Automático;Diésel;5,3;ES;-/- ;€ 31.682
BMW X5;138.943 km;mar-16;230 kW (313 CV);Automático;Diésel;6 l/;ES;-/- ;€ 33.551
BMW 318;120.008 km;jul-16;110 kW (150 CV);Manual;Diésel;4,7;ES;-/- ;€ 16.168
BMW X6;60.000 km;may-16;190 kW (258 CV);Automático;Diésel;6 l/;Unknown;157;€ 41.500
BMW 520;114.662 km;nov-16;140 kW (190 CV);Automático;Diésel;4,1;ES;-/- ;€ 19.533
BMW 320;41.971 km;ene-16;140 kW (190 CV);Automático;Diésel;4,3;ES;-/- ;€ 23.551
BMW 320;95.000 km;dic-16;140 kW (190 CV);Automático;Diésel;4,7;Unknown;124;€ 21.999
BMW 116;58.095 km;abr-16;85 kW (116 CV);Manual;Diésel;3,7;ES;-/- ;€ 14.790
BMW X1;98.877 km;dic-16;110 kW (150 CV);Manual;Diésel;4,1;ES;-/- ;€ 17.190
BMW 216;121.370 km;dic-16;85 kW (116 CV);Manual;Diésel;4 l/;ES;-/- ;€ 12.056
BMW 216;121.370 km;dic-16;85 kW (116 CV);Manual;Diésel;4 l/;ES;-/- ;€ 12.056
BMW 216;61.574 km;ene-16;85 kW (116 CV);Manual;Diésel;4 l/;ES;-/- ;€ 14.346
BMW 318;120.008 km;jul-16;110 kW (150 CV);Manual;Diésel;4,7;ES;-/- ;€ 16.168
BMW X5;121.432 km;abr-16;230 kW (313 CV);Automático;Diésel;3,3;ES;-/- ;€ 35.490
BMW 116;104.602 km;jun-16;85 kW (116 CV);Manual;Diésel;4,3;ES;-/- ;€ 12.600
BMW 118;127.590 km;abr-16;110 kW (150 CV);Manual;Diésel;4,3;ES;-/- ;€ 16.890
BMW X5;92.000 km;jul-16;190 kW (258 CV);Automático;Diésel;5,9;ES;-/- ;€ 34.490
BMW 430;130.000 km;mar-16;190 kW (258 CV);Automático;Diésel;5,3;ES;-/- ;€ 28.000
BMW X4;97.000 km;jul-16;230 kW (313 CV);Automático;Diésel;6 l/;ES;-/- ;€ 42.990
BMW 320;117.000 km;ene-16;140 kW (190 CV);Automático;Diésel;4,5;ES;-/- ;€ 18.990
BMW 218;36.280 km;ago-16;110 kW (150 CV);Automático;Diésel;4,3;Unknown;113;€ 21.500
BMW 520;99.000 km;feb-16;140 kW (190 CV);Automático;Diésel;-/- ;ES;-/- ;€ 21.950
BMW X1;53.916 km;nov-16;110 kW (150 CV);Automático;Diésel;4,1;ES;109;€ 25.200
BMW X6;65.000 km;jun-16;190 kW (258 CV);Automático;Diésel;6 l/;ES;157;€ 44.790
