vehicle;  km; year; power; transmision; fuel_type; consume; country;emisions;price 
BMW M2;50.520 km;nov-17;272 kW (370 CV);Automático;Gasolina;8,5;ES;199;€ 46.500
BMW;41.100 km;ene-17;331 kW (450 CV);Automático;Gasolina;-/- ;ES;-/- ;€ 61.990
BMW X1;51.000 km;ago-17;141 kW (192 CV);Automático;Gasolina;-/- ;Unknown;-/- ;€ 28.000
BMW 540;124.000 km;jun-17;250 kW (340 CV);Automático;Gasolina;7,2;ES;-/- ;€ 38.000
BMW M2;54.000 km;may-17;272 kW (370 CV);Automático;Gasolina;7,9;Unknown;185;€ 43.500
BMW;49.990 km;abr-17;250 kW (340 CV);Automático;Gasolina;7,4;ES;-/- ;€ 34.990
BMW X6 M;56.500 km;jun-17;423 kW (575 CV);Automático;Gasolina;11,1;ES;-/- ;€ 81.000
BMW 330;50.544 km;jun-17;185 kW (252 CV);Automático;Electro/Gasolina;1,9;ES;-/- ;€ 29.000
BMW i3;37.000 km;sep-17;125 kW (170 CV);-/- (Cambio);Eléctrico;-/- ;Unknown;0 g ;€ 20.500
BMW 225;65.044 km;jul-17;165 kW (224 CV);Automático;Electro/Gasolina;2 l/;ES;-/- ;€ 21.600
BMW 430;39.562 km;nov-17;185 kW (252 CV);Automático;Gasolina;6 l/;ES;-/- ;€ 32.000
BMW 330;138.000 km;ago-17;185 kW (252 CV);Automático;Electro/Gasolina;1,9;ES;-/- ;€ 23.900
BMW 220;20.000 km;dic-17;135 kW (184 CV);Automático;Gasolina;6,1;ES;-/- ;€ 28.900
BMW 220;20.000 km;dic-17;135 kW (184 CV);Automático;Gasolina;6,1;ES;-/- ;€ 28.900
BMW M2;25.300 km;may-17;272 kW (370 CV);Automático;Gasolina;7,9;ES;-/- ;€ 45.400
BMW i3;24.448 km;jul-17;125 kW (170 CV);Automático;Eléctrico;-/- ;ES;0 g ;€ 22.200
BMW i3;42.500 km;sep-17;125 kW (170 CV);-/- (Cambio);Eléctrico;-/- ;ES;0 g ;€ 21.750
BMW 430;55.000 km;sep-17;185 kW (252 CV);Automático;Gasolina;5,9;Unknown;138;€ 33.490
BMW M4;27.000 km;mar-17;331 kW (450 CV);Automático;Gasolina;8,3;Unknown;194;€ 78.000
BMW i3;27.563 km;sep-17;125 kW (170 CV);Automático;Eléctrico;-/- ;ES;0 g ;€ 21.000
BMW 330;104.000 km;ago-17;185 kW (252 CV);Automático;Electro/Gasolina;1,9;Unknown;44 g;€ 24.400
BMW M2;19.000 km;jul-17;272 kW (370 CV);Automático;Gasolina;7,9;ES;185;€ 46.990
BMW 430;78.000 km;abr-17;185 kW (252 CV);Automático;Gasolina;5,5;Unknown;129;€ 33.500
