vehicle;  km; year; power; transmision; fuel_type; consume; country;emisions;price 
BMW 320;152.000 km;abr-13;135 kW (184 CV);Automático;Diésel;5,7;Unknown;150;€ 14.700
BMW 218;130.948 km;mar-15;100 kW (136 CV);Automático;Diésel;4,3;Unknown;113;€ 5.200
BMW 116;44.297 km;jul-15;85 kW (116 CV);Manual;Diésel;3,4;DE;89 g;€ 13.900
BMW 218;19.400 km;abr-15;110 kW (150 CV);Automático;Diésel;4,1;DE;108;€ 17.500
BMW 435;81.825 km;jul-15;224 kW (305 CV);Automático;Gasolina;8,3;DE;194;€ 25.900
BMW 335;91.000 km;abr-13;240 kW (326 CV);Automático;Gasolina;8,8;DE;205;€ 22.900
BMW X5 M;90.000 km;ene-15;280 kW (381 CV);Automático;Diésel;7,5;FR;199;€ 39.900
BMW X6;54.000 km;oct-15;331 kW (450 CV);Automático;Gasolina;9 l/;FR;227;€ 47.900
BMW X5;171.000 km;jun-14;190 kW (258 CV);Automático;Diésel;6,2;Unknown;162;€ 28.000
BMW 216;97.491 km;oct-15;85 kW (116 CV);Automático;Diésel;-/- ;BE;103;€ 14.500
BMW Z4;162.410 km;abr-13;115 kW (156 CV);Manual;Gasolina;6,8;AT;159;€ 18.990
BMW 420;95.500 km;sep-14;135 kW (184 CV);Automático;Diésel;4,7;Unknown;124;€ 20.900
BMW X3;210.000 km;may-14;190 kW (258 CV);Automático;Diésel;5,9;Unknown;156;€ 17.000
BMW 316;154.038 km;sep-14;100 kW (136 CV);Automático;Gasolina;6,2;Unknown;143;€ 11.550
BMW 320;145.000 km;dic-15;140 kW (190 CV);Automático;Diésel;4,3;Unknown;114;€ 15.800
BMW 120;80.918 km;may-14;135 kW (184 CV);Manual;Diésel;4,4;IT;119;€ 11.900
BMW 318;109.000 km;sep-15;100 kW (136 CV);Automático;Diésel;4,8;Unknown;127;€ 17.990
BMW i3;44.300 km;jul-15;75 kW (102 CV);-/- (Cambio);Eléctrico;0,6;Unknown;13 g;€ 18.500
BMW X1;84.500 km;ene-15;85 kW (116 CV);Manual;Diésel;4,9;DE;130;€ 11.890
BMW 116;57.478 km;abr-13;85 kW (116 CV);Manual;Diésel;3,8;BE;-/- ;€ 11.900
BMW 535;167.300 km;sep-15;230 kW (313 CV);Automático;Diésel;5,6;Unknown;147;€ 23.500
BMW 318;220.000 km;abr-14;105 kW (143 CV);Automático;Diésel;4,5;Unknown;119;€ 10.000
BMW 650;80.450 km;nov-15;451 kW (613 CV);Automático;Gasolina;9,2;DE;218;€ 51.450
BMW 118;34.136 km;dic-14;105 kW (143 CV);Manual;Diésel;4,8;IT;126;€ 15.900
BMW X5;88.791 km;sep-14;160 kW (218 CV);Automático;Diésel;5,8;IT;154;€ 27.500
BMW 640;75.366 km;abr-15;230 kW (313 CV);Automático;Diésel;5,6;IT;149;€ 31.900
BMW 320;56.100 km;dic-14;135 kW (184 CV);Automático;Diésel;4,9;Unknown;130;€ 18.300
BMW 320;99.999 km;dic-15;140 kW (190 CV);-/- (Cambio);Diésel;-/- ;Unknown;-/- ;€ 22.750
BMW 520;102.938 km;abr-14;135 kW (184 CV);Manual;Gasolina;6,2;Unknown;144;€ 13.700
BMW 530;179.000 km;may-15;190 kW (258 CV);Automático;Diésel;5,3;DE;140;€ 18.900
BMW 520;90.000 km;sep-15;140 kW (190 CV);Automático;Diésel;4,5;IT;118;€ 19.700
BMW 118;44.800 km;abr-15;100 kW (136 CV);Manual;Gasolina;5,6;DE;129;€ 16.490
BMW 118;57.659 km;abr-13;105 kW (143 CV);Automático;Diésel;4,4;DE;117;€ 14.980
BMW X6;54.000 km;oct-15;331 kW (450 CV);Automático;Gasolina;9 l/;BE;227;€ 47.900
BMW 530;200.000 km;feb-15;190 kW (258 CV);Automático;Diésel;5,3;DE;140;€ 16.250
BMW 430;164.695 km;mar-15;190 kW (258 CV);Automático;Diésel;5,1;Unknown;134;€ 14.220
BMW 530;188.000 km;ago-13;190 kW (258 CV);Automático;Diésel;5,3;Unknown;139;€ 16.200
BMW 430;120.000 km;abr-15;190 kW (258 CV);Automático;Diésel;4,9;Unknown;132;€ 29.900
BMW 220;63.216 km;feb-15;135 kW (184 CV);Automático;Gasolina;6,4;NL;149;€ 26.950
BMW 218;32.123 km;may-15;100 kW (136 CV);Automático;Gasolina;5,3;DE;125;€ 17.900
BMW 218;32.123 km;may-15;100 kW (136 CV);Automático;Gasolina;5,3;DE;125;€ 17.900
BMW 535;180.669 km;jul-15;225 kW (306 CV);Automático;Gasolina;8,1;DE;191;€ 22.900
BMW X3;116.195 km;nov-13;190 kW (258 CV);Automático;Diésel;6 l/;DE;159;€ 17.900
BMW 335;65.229 km;ene-15;230 kW (313 CV);Automático;Diésel;5,6;DE;148;€ 24.890
BMW 318;172.717 km;abr-14;105 kW (143 CV);Manual;Diésel;4,9;AT;-/- ;€ 12.870
BMW 325;120.000 km;jul-13;160 kW (218 CV);Manual;Gasolina;-/- ;Unknown;-/- ;€ 18.000
BMW 320;115.000 km;may-14;120 kW (163 CV);Automático;Diésel;4,9;Unknown;129;€ 7.700
BMW 218;50.200 km;ago-15;100 kW (136 CV);Manual;Gasolina;5,3;DE;126;€ 15.990
BMW 750;126.700 km;feb-13;280 kW (381 CV);Automático;Diésel;6,4;DE;170;€ 26.900
BMW 218;47.786 km;nov-14;100 kW (136 CV);Automático;Diésel;-/- ;FR;109;€ 16.970
BMW 214;172.000 km;jul-15;70 kW (95 CV);Manual;Diésel;3,8;DE;101;€ 8.190
BMW 428;100.000 km;ene-14;180 kW (245 CV);Automático;Gasolina;6,6;Unknown;154;€ 27.999
BMW 116;45.000 km;sep-14;85 kW (116 CV);Manual;Diésel;4,1;BE;109;€ 13.900
BMW 520;146.100 km;jun-13;135 kW (184 CV);Automático;Diésel;4,9;IT;130;€ 14.900
BMW X3;151.000 km;abr-13;135 kW (184 CV);Automático;Diésel;5,6;IT;149;€ 14.800
BMW 530;243.711 km;feb-13;190 kW (258 CV);Automático;Diésel;5,7;NL;153;€ 15.945
BMW 118;131.450 km;ene-13;105 kW (143 CV);Automático;Diésel;4,4;DE;117;€ 9.950
BMW 135;68.914 km;sep-15;235 kW (320 CV);Automático;Gasolina;7,5;Unknown;175;€ 10.200
BMW 116;178.000 km;mar-14;85 kW (116 CV);Manual;Diésel;3,8;Unknown;99 g;€ 9.200
BMW 218;136.000 km;ago-15;110 kW (150 CV);Manual;Diésel;4,3;IT;116;€ 12.500
BMW 320;123.000 km;jul-14;135 kW (184 CV);Automático;Diésel;5,1;Unknown;133;€ 10.500
BMW 420;100.000 km;ene-15;135 kW (184 CV);Manual;Diésel;4,7;Unknown;124;€ 24.000
BMW 125;89.702 km;ago-14;- kW (- CV);Automático;-/- (Combustible);-/- ;FR;-/- ;€ 19.990
BMW 316;174.669 km;sep-14;100 kW (136 CV);Manual;Gasolina;5,9;NL;143;€ 16.949
BMW 114;66.000 km;dic-14;75 kW (102 CV);Manual;Gasolina;5,5;Unknown;127;€ 18.850
BMW 320;117.690 km;may-15;135 kW (184 CV);Automático;Diésel;4,9;DE;130;€ 17.350
BMW 320;136.000 km;ago-14;135 kW (184 CV);Automático;Diésel;4,9;Unknown;129;€ 10.200
BMW 430;154.426 km;dic-15;190 kW (258 CV);Automático;Diésel;5,1;ES;134;€ 27.900
BMW 116;143.812 km;nov-15;85 kW (116 CV);Manual;Diésel;3,7;ES;97 g;€ 13.900
BMW 118;70.583 km;nov-15;110 kW (150 CV);Manual;Diésel;4 l/;ES;104;€ 16.400
BMW X5;280.000 km;jul-14;190 kW (258 CV);Automático;Diésel;6,2;ES;162;€ 25.700
BMW 116;182.000 km;ago-14;85 kW (116 CV);Manual;Diésel;4,1;ES;109;€ 12.100
BMW 320;70.559 km;jul-13;135 kW (184 CV);Manual;Diésel;4,5;ES;119;€ 18.500
BMW 640;124.000 km;dic-14;230 kW (313 CV);Automático;Diésel;5,8;AT;158;€ 39.400
BMW 216;67.000 km;nov-15;85 kW (116 CV);Manual;Diésel;3,9;ES;104;€ 18.900
BMW 225;61.650 km;mar-15;170 kW (231 CV);Automático;Gasolina;5,8;ES;135;€ 21.500
BMW X4;135.000 km;sep-14;140 kW (190 CV);Automático;Diésel;5,4;ES;136;€ 27.900
BMW i3;110.831 km;nov-14;75 kW (102 CV);Automático;Eléctrico;-/- ;IT;0 g ;€ 14.900
BMW X1;114.824 km;dic-15;110 kW (150 CV);Manual;Diésel;4,7;IT;124;€ 18.900
BMW 318;74.498 km;oct-15;110 kW (150 CV);Automático;Diésel;4,7;IT;123;€ 18.900
BMW 520;102.371 km;oct-15;140 kW (190 CV);Automático;Diésel;4,6;IT;122;€ 24.500
BMW 420;29.436 km;ene-14;135 kW (184 CV);Manual;Diésel;4,7;IT;124;€ 21.900
BMW 118;63.212 km;oct-13;105 kW (143 CV);Manual;Diésel;4,5;ES;118;€ 13.500
BMW 116;52.000 km;ago-15;85 kW (116 CV);Automático;Diésel;3,7;ES;97 g;€ 15.600
BMW 520;84.000 km;may-15;120 kW (163 CV);Automático;Diésel;4,9;Unknown;129;€ 12.300
BMW 320;76.445 km;oct-15;135 kW (184 CV);Automático;Gasolina;5,5;NL;129;€ 23.495
BMW X5;152.000 km;jul-14;230 kW (313 CV);Automático;Diésel;6,9;DE;183;€ 26.679
BMW 428;49.650 km;jul-15;180 kW (245 CV);Automático;Gasolina;-/- ;DE;-/- ;€ 25.950
BMW 328;60.550 km;jul-14;180 kW (245 CV);Automático;Gasolina;-/- ;DE;-/- ;€ 20.950
BMW 218;110.000 km;may-15;110 kW (150 CV);Automático;Diésel;4,1;Unknown;109;€ 13.200
BMW 325;147.000 km;sep-13;160 kW (218 CV);Automático;Diésel;4,9;AT;130;€ 17.890
BMW 116;134.597 km;feb-14;100 kW (136 CV);Automático;Gasolina;5,6;Unknown;129;€ 14.500
BMW 518;199.759 km;dic-13;105 kW (143 CV);Automático;Diésel;4 l/;NL;124;€ 12.945
BMW 330;138.000 km;jul-15;190 kW (258 CV);Automático;Diésel;5,1;DE;135;€ 17.990
BMW 550;135.280 km;may-13;280 kW (381 CV);Automático;Diésel;6,3;DE;167;€ 22.490
BMW 116;115.000 km;dic-15;85 kW (116 CV);Manual;Diésel;3,8;BE;99 g;€ 11.489
BMW 114;81.829 km;jun-14;75 kW (102 CV);Manual;Gasolina;-/- ;BE;127;€ 12.930
BMW 316;162.752 km;may-13;100 kW (136 CV);Manual;Gasolina;5,5;Unknown;138;€ 9.999
BMW 316;160.000 km;may-14;85 kW (116 CV);Manual;Diésel;3,9;Unknown;102;€ 9.400
BMW 235;25.317 km;nov-14;240 kW (326 CV);Manual;Gasolina;8,1;DE;192;€ 28.980
BMW 225;53.000 km;sep-14;160 kW (218 CV);Automático;Diésel;4,8;Unknown;125;€ 22.990
BMW 118;71.500 km;sep-14;105 kW (143 CV);Manual;Diésel;4,4;DE;117;€ 13.980
BMW 116;75.000 km;oct-14;85 kW (116 CV);Manual;Diésel;3,8;Unknown;99 g;€ 10.499
BMW 116;80.000 km;dic-14;85 kW (116 CV);Automático;Diésel;4,1;BE;109;€ 13.300
BMW 525;90.000 km;ene-13;160 kW (218 CV);Manual;Diésel;5 l/;Unknown;132;€ 18.900
BMW 320;157.000 km;nov-14;135 kW (184 CV);Automático;Diésel;4,9;Unknown;129;€ 14.900
BMW 320;190.000 km;oct-14;120 kW (163 CV);Automático;Diésel;4,3;Unknown;112;€ 12.000
BMW 218;110.000 km;may-15;110 kW (150 CV);Automático;Diésel;4,1;Unknown;109;€ 13.200
BMW 420;138.086 km;feb-15;135 kW (184 CV);Automático;Diésel;4,6;DE;121;€ 21.999
BMW 320;251.095 km;ene-13;135 kW (184 CV);Manual;Diésel;4,7;NL;124;€ 10.450
BMW 530;90.000 km;abr-15;190 kW (258 CV);Automático;Diésel;5,4;AT;143;€ 31.390
BMW 135;83.370 km;nov-15;240 kW (326 CV);Automático;Gasolina;8 l/;DE;190;€ 24.990
BMW 218;173.000 km;nov-15;110 kW (150 CV);Automático;Diésel;4,5;DE;114;€ 10.500
BMW 218;160.000 km;nov-15;110 kW (150 CV);Manual;Diésel;4,5;DE;109;€ 9.500
BMW X1;163.000 km;dic-15;110 kW (150 CV);Manual;Diésel;4,6;DE;109;€ 13.500
BMW 730;184.000 km;sep-14;190 kW (258 CV);Automático;Diésel;6 l/;DE;148;€ 19.990
BMW 525;115.000 km;ago-13;160 kW (218 CV);Automático;Diésel;5,6;Unknown;147;€ 14.500
BMW 218;40.650 km;jul-15;100 kW (136 CV);Manual;Gasolina;5,5;BE;129;€ 20.990
BMW 420;82.100 km;jul-14;120 kW (163 CV);Automático;Diésel;4,8;BE;127;€ 23.950
BMW 530;193.735 km;jul-13;190 kW (258 CV);Automático;Diésel;5,8;NL;153;€ 18.395
BMW X6;92.500 km;ene-15;190 kW (258 CV);Automático;Diésel;7 l/;DE;183;€ 43.950
BMW 118;33.650 km;abr-15;100 kW (136 CV);Manual;Gasolina;5,7;DE;135;€ 12.990
BMW i3;56.707 km;ago-15;- kW (- CV);Automático;Eléctrico;-/- ;NL;0 g ;€ 14.950
BMW X3;103.191 km;may-15;140 kW (190 CV);Manual;Diésel;5,4;BE;143;€ 17.850
BMW 118;62.000 km;may-15;100 kW (136 CV);Automático;Gasolina;5,6;Unknown;129;€ 14.500
BMW X1;90.560 km;dic-15;110 kW (150 CV);Manual;Diésel;4,3;IT;124;€ 17.300
