vehicle;  km; year; power; transmision; fuel_type; consume; country;emisions;price 
Land Rover Discovery Sport;119.772 km;abr-15;140 kW (190 CV);Automático;Diésel;6,1;ES;-/- ;€ 23.271
Land Rover Range Rover Evoque;67.960 km;may-14;110 kW (150 CV);Automático;Diésel;5,7;ES;-/- ;€ 23.224
Land Rover Discovery;87.154 km;feb-15;155 kW (211 CV);Automático;Diésel;7,8;ES;-/- ;€ 27.850
Land Rover Discovery Sport;119.772 km;abr-15;140 kW (190 CV);Automático;Diésel;6,1;ES;-/- ;€ 23.271
Land Rover Discovery Sport;119.772 km;abr-15;140 kW (190 CV);Automático;Diésel;6,1;ES;-/- ;€ 23.271
Land Rover Discovery Sport;119.772 km;abr-15;140 kW (190 CV);Automático;Diésel;6,1;ES;-/- ;€ 23.271
Land Rover Discovery Sport;119.772 km;abr-15;140 kW (190 CV);Automático;Diésel;6,1;ES;-/- ;€ 23.271
Land Rover Discovery Sport;119.772 km;abr-15;140 kW (190 CV);Automático;Diésel;6,1;ES;-/- ;€ 23.271
Land Rover Discovery Sport;119.772 km;abr-15;140 kW (190 CV);Automático;Diésel;6,1;ES;-/- ;€ 23.271
Land Rover Discovery Sport;119.772 km;abr-15;140 kW (190 CV);Automático;Diésel;6,1;ES;-/- ;€ 23.271
Land Rover Discovery;87.154 km;feb-15;155 kW (211 CV);Automático;Diésel;7,8;ES;-/- ;€ 27.850
Land Rover Discovery;87.154 km;feb-15;155 kW (211 CV);Automático;Diésel;7,8;ES;-/- ;€ 27.850
Land Rover Discovery Sport;119.772 km;abr-15;140 kW (190 CV);Automático;Diésel;6,1;ES;-/- ;€ 23.271
Land Rover Range Rover Evoque;67.960 km;may-14;110 kW (150 CV);Automático;Diésel;5,7;ES;-/- ;€ 23.224
Land Rover Freelander;119.000 km;feb-14;110 kW (150 CV);Manual;Diésel;-/- ;ES;-/- ;€ 14.950
Land Rover Range Rover;65.000 km;sep-14;190 kW (258 CV);Automático;Diésel;6,9;ES;-/- ;€ 49.900
Land Rover Range Rover Sport;102.000 km;dic-15;225 kW (306 CV);Automático;Diésel;7 l/;Unknown;185;€ 55.000
Land Rover Range Rover Evoque;67.960 km;may-14;110 kW (150 CV);Automático;Diésel;5,7;ES;-/- ;€ 23.224
Land Rover Range Rover Sport;172.000 km;feb-14;250 kW (340 CV);Automático;Diésel;8,4;Unknown;219;€ 44.990
