vehicle;  km; year; power; transmision; fuel_type; consume; country;emisions;price 
Land Rover Range Rover Velar;62.705 km;sep-17;221 kW (300 CV);Automático;Diésel;6,4;Unknown;173;€ 54.000
Land Rover Range Rover Sport;50.000 km;ene-17;190 kW (258 CV);Automático;Diésel;6,9;ES;-/- ;€ 45.000
Land Rover Range Rover Evoque;66.789 km;may-17;110 kW (150 CV);Automático;Diésel;5,1;ES;-/- ;€ 24.590
Land Rover Range Rover Evoque;66.789 km;may-17;110 kW (150 CV);Automático;Diésel;5,1;ES;-/- ;€ 24.590
Land Rover Range Rover Sport;46.000 km;jul-17;225 kW (306 CV);Automático;Diésel;7 l/;ES;-/- ;€ 57.900
Land Rover Range Rover Evoque;32.700 km;abr-17;110 kW (150 CV);Automático;Diésel;5,1;Unknown;134;€ 24.800
Land Rover Range Rover;10.500 km;abr-17;250 kW (340 CV);Automático;Diésel;8,4;ES;-/- ;€ 84.900
Land Rover Range Rover Evoque;123.379 km;ago-17;110 kW (150 CV);Manual;Diésel;4,3;ES;-/- ;€ 21.900
Land Rover Discovery Sport;24.000 km;feb-17;110 kW (150 CV);Automático;Diésel;5,3;ES;-/- ;€ 27.000
Land Rover Discovery Sport;118.530 km;mar-17;132 kW (179 CV);Automático;Diésel;5,3;ES;139;€ 27.500
Land Rover Range Rover Sport;34.000 km;feb-17;250 kW (340 CV);Automático;Diésel;8,4;ES;219;€ 85.000
Land Rover Range Rover Sport;45.276 km;may-17;177 kW (241 CV);Automático;Diésel;6,5;ES;-/- ;€ 42.900
Land Rover Range Rover Evoque;41.400 km;abr-17;132 kW (179 CV);Automático;Diésel;5,1;Unknown;134;€ 25.000
Land Rover Range Rover Evoque;76.191 km;nov-17;110 kW (150 CV);Automático;Diésel;-/- ;ES;-/- ;€ 26.990
Land Rover Range Rover Sport;50.000 km;ene-17;190 kW (258 CV);Automático;Diésel;6,9;ES;-/- ;€ 45.000
Land Rover Discovery Sport;24.000 km;feb-17;110 kW (150 CV);Automático;Diésel;5,3;ES;-/- ;€ 27.000
