vehicle;  km; year; power; transmision; fuel_type; consume; country;emisions;price 
Mercedes-Benz Vito;100.000 km;abr-17;140 kW (190 CV);Automático;Diésel;5,8;DE;153;€ 28.880
Mercedes-Benz Vito;50.000 km;may-16;65 kW (88 CV);Manual;Diésel;6,4;DE;170;€ 18.780
Mercedes-Benz Vito;100.000 km;abr-17;140 kW (190 CV);Automático;Diésel;5,8;DE;153;€ 28.880
Mercedes-Benz Vito;50.000 km;may-16;65 kW (88 CV);Manual;Diésel;6,4;DE;170;€ 18.780
Mercedes-Benz Vito;100.000 km;abr-17;140 kW (190 CV);Automático;Diésel;5,8;DE;153;€ 28.880
Mercedes-Benz Vito;100.000 km;abr-17;140 kW (190 CV);Automático;Diésel;5,8;DE;153;€ 28.880
Mercedes-Benz Vito;76.207 km;jun-18;120 kW (163 CV);Automático;Diésel;5,8;DE;153;€ 24.242
Mercedes-Benz C 180;42.418 km;jun-16;115 kW (156 CV);Automático;Gasolina;5,3;DE;126;€ 26.890
Mercedes-Benz GLC 250;107.040 km;oct-17;150 kW (204 CV);Automático;Diésel;6,1;DE;129;€ 28.890
Mercedes-Benz GLA 200;20.793 km;mar-16;100 kW (136 CV);Manual;Diésel;4,2;ES;-/- ;€ 27.900
Mercedes-Benz C 250;143.000 km;feb-17;150 kW (204 CV);Automático;Diésel;4,4;DE;112;€ 21.450
Mercedes-Benz GLA 220;27.981 km;jun-17;130 kW (177 CV);Automático;Diésel;4,2;Unknown;110;€ 21.900
Mercedes-Benz C 220;48.711 km;oct-16;125 kW (170 CV);Automático;Diésel;4,7;ES;-/- ;€ 29.300
Mercedes-Benz C 220;100.417 km;mar-16;125 kW (170 CV);Automático;Diésel;4,6;ES;-/- ;€ 27.500
Mercedes-Benz A 200;23.377 km;abr-18;100 kW (136 CV);Automático;Diésel;3,8;ES;-/- ;€ 22.900
Mercedes-Benz C 63 AMG;46.934 km;sep-16;350 kW (476 CV);Automático;Gasolina;8,2;ES;-/- ;€ 52.500
Mercedes-Benz GLE 63 AMG;82.593 km;oct-16;430 kW (585 CV);Automático;Gasolina;-/- ;DE;-/- ;€ 62.990
Mercedes-Benz CLA 200;137.671 km;sep-16;100 kW (136 CV);Automático;Diésel;-/- ;DE;-/- ;€ 17.490
Mercedes-Benz E 220;99.886 km;abr-16;143 kW (194 CV);Automático;Diésel;-/- ;DE;-/- ;€ 26.990
Mercedes-Benz GLC 250;50.810 km;may-16;150 kW (204 CV);Automático;Diésel;5 l/;DE;143;€ 37.890
Mercedes-Benz A 200;22.637 km;may-18;120 kW (163 CV);Manual;Gasolina;5,3;Unknown;122;€ 22.450
Mercedes-Benz B 180;42.000 km;jun-16;80 kW (109 CV);Automático;Diésel;4 l/;DE;104;€ 16.990
Mercedes-Benz CLA 200;35.000 km;mar-16;115 kW (156 CV);Automático;Gasolina;5,8;DE;134;€ 21.600
Mercedes-Benz CLA 180;47.000 km;sep-16;90 kW (122 CV);Automático;Gasolina;5,5;DE;128;€ 19.990
Mercedes-Benz C 200;27.000 km;jun-16;100 kW (136 CV);Automático;Diésel;3,9;FR;101;€ 7.999
Mercedes-Benz GLC 250;81.541 km;may-17;150 kW (204 CV);Automático;Diésel;6,1;DE;161;€ 36.690
Mercedes-Benz A 180;112.963 km;jul-16;80 kW (109 CV);Manual;Diésel;3,8;IT;98 g;€ 14.750
Mercedes-Benz GLC 250;102.216 km;mar-17;150 kW (204 CV);Automático;Diésel;6,1;DE;161;€ 29.390
Mercedes-Benz A 200;5.850 km;dic-18;120 kW (163 CV);Manual;Gasolina;6,1;DE;140;€ 26.950
Mercedes-Benz A 200;54.400 km;jul-18;120 kW (163 CV);Automático;Gasolina;-/- ;DE;-/- ;€ 28.490
Mercedes-Benz GLC 250;103.220 km;jun-17;150 kW (204 CV);Automático;Diésel;6,1;DE;161;€ 28.690
Mercedes-Benz GLC 250;105.963 km;ene-17;150 kW (204 CV);Automático;Diésel;6,1;DE;161;€ 25.990
Mercedes-Benz A 180;64.800 km;mar-16;80 kW (109 CV);Manual;Diésel;3,8;Unknown;98 g;€ 14.100
Mercedes-Benz GLC 43 AMG;33.500 km;ago-18;270 kW (367 CV);Automático;Gasolina;9,7;Unknown;220;€ 50.900
Mercedes-Benz GLC 250;89.000 km;jun-16;150 kW (204 CV);Automático;Diésel;6,1;Unknown;161;€ 33.000
Mercedes-Benz Sprinter;59.645 km;abr-16;120 kW (163 CV);Automático;Diésel;-/- ;DE;-/- ;€ 33.890
Mercedes-Benz V 220;43.000 km;jul-18;120 kW (163 CV);Manual;Diésel;6,1;IT;159;€ 37.900
Mercedes-Benz C 220;40.000 km;mar-17;125 kW (170 CV);Automático;Diésel;4,3;DE;114;€ 22.945
Mercedes-Benz C 220;22.413 km;jun-17;125 kW (170 CV);Automático;Diésel;4,3;DE;114;€ 24.645
Mercedes-Benz C 250;59.000 km;feb-18;150 kW (204 CV);Automático;Diésel;4,6;IT;121;€ 35.000
Mercedes-Benz CLS 400;11.000 km;ago-18;250 kW (340 CV);Automático;Diésel;5,8;Unknown;152;€ 53.200
Mercedes-Benz A 180;38.068 km;ene-17;80 kW (109 CV);Manual;Diésel;3,7;IT;98 g;€ 18.200
Mercedes-Benz S 350;46.500 km;nov-16;190 kW (258 CV);Automático;Diésel;5,7;DE;151;€ 49.998
Mercedes-Benz C 43 AMG;71.337 km;jul-17;270 kW (367 CV);Automático;Gasolina;8,1;DE;185;€ 34.997
