vehicle;  km; year; power; transmision; fuel_type; consume; country;emisions;price 
Mercedes-Benz GLE 250;130.000 km;may-16;150 kW (204 CV);Automático;Diésel;5,6;ES;-/- ;€ 29.900
Mercedes-Benz GLA 220;61.274 km;ago-16;130 kW (177 CV);Automático;Diésel;4,8;Unknown;127;€ 23.195
Mercedes-Benz GLA 200;32.091 km;dic-16;100 kW (136 CV);Automático;Diésel;4,2;ES;-/- ;€ 19.999
Mercedes-Benz C 220;58.455 km;feb-16;125 kW (170 CV);Manual;Diésel;4,3;ES;-/- ;€ 25.900
Mercedes-Benz E 220;109.399 km;jul-16;143 kW (194 CV);Automático;Diésel;3,9;ES;-/- ;€ 28.900
Mercedes-Benz B 180;47.047 km;abr-16;80 kW (109 CV);Automático;Diésel;4 l/;ES;-/- ;€ 18.900
Mercedes-Benz GLA 200;115.000 km;ene-16;100 kW (136 CV);Manual;Diésel;4,4;ES;-/- ;€ 20.950
Mercedes-Benz CLA 200;94.972 km;mar-16;100 kW (136 CV);Manual;Diésel;4,4;ES;-/- ;€ 19.900
Mercedes-Benz CLA 200;41.500 km;sep-16;100 kW (136 CV);Manual;Diésel;4,4;ES;-/- ;€ 23.490
Mercedes-Benz S 350;85.000 km;abr-16;190 kW (258 CV);Automático;Diésel;5,6;ES;-/- ;€ 39.900
Mercedes-Benz C 220;105.619 km;feb-16;125 kW (170 CV);Automático;Diésel;4,4;ES;-/- ;€ 23.900
Mercedes-Benz C 220;95.699 km;jul-16;125 kW (170 CV);Manual;Diésel;4,9;ES;-/- ;€ 21.990
Mercedes-Benz A 200;42.800 km;jun-16;100 kW (136 CV);Automático;Diésel;-/- ;ES;-/- ;€ 19.990
Mercedes-Benz CLA 200;99.900 km;jun-16;100 kW (136 CV);Automático;Diésel;-/- ;ES;-/- ;€ 21.990
Mercedes-Benz GLC 220;57.905 km;jun-16;125 kW (170 CV);Automático;Diésel;5 l/;ES;-/- ;€ 36.395
Mercedes-Benz C 220;147.629 km;mar-16;125 kW (170 CV);Automático;Diésel;4,3;ES;-/- ;€ 29.595
Mercedes-Benz E 220;37.400 km;may-16;143 kW (194 CV);Automático;Diésel;3,9;ES;-/- ;€ 30.990
Mercedes-Benz GLA 220;73.000 km;sep-16;130 kW (177 CV);Automático;Diésel;4,2;ES;-/- ;€ 21.900
Mercedes-Benz CLA 200;119.000 km;ene-16;100 kW (136 CV);Manual;Diésel;4,4;ES;-/- ;€ 17.990
Mercedes-Benz Sprinter;51.000 km;dic-16;85 kW (116 CV);Manual;Diésel;6 l/;ES;201;€ 16.450
Mercedes-Benz GLA 200;52.000 km;may-16;100 kW (136 CV);Automático;Diésel;4,2;ES;108;€ 24.900
Mercedes-Benz GLA 200;135.662 km;abr-16;100 kW (136 CV);Automático;Diésel;4,2;ES;108;€ 20.500
Mercedes-Benz C 200;194.000 km;feb-16;100 kW (136 CV);Automático;Diésel;-/- ;Unknown;114;€ 12.500
Mercedes-Benz GLC 220;193.715 km;jul-16;125 kW (170 CV);Automático;Diésel;5 l/;ES;-/- ;€ 30.400
Mercedes-Benz C 220;85.556 km;jul-16;125 kW (170 CV);Automático;Diésel;4,7;ES;-/- ;€ 25.800
Mercedes-Benz GLC 220;84.615 km;may-16;125 kW (170 CV);Automático;Diésel;-/- ;ES;-/- ;€ 36.900
Mercedes-Benz CLA 220;33.170 km;ago-16;130 kW (177 CV);Automático;Diésel;4,2;ES;-/- ;€ 24.500
