vehicle;  km; year; power; transmision; fuel_type; consume; country;emisions;price 
Mercedes-Benz A 200;71.532 km;sep-17;115 kW (156 CV);Automático;Gasolina;5,4;Unknown;121;€ 19.315
Mercedes-Benz GLC 43 AMG;99.600 km;feb-17;270 kW (367 CV);Automático;Gasolina;8,3;ES;-/- ;€ 43.800
Mercedes-Benz;40.851 km;may-17;270 kW (367 CV);Automático;Gasolina;8,3;ES;-/- ;€ 41.500
Mercedes-Benz 180;75.895 km;mar-17;90 kW (122 CV);Manual;Gasolina;-/- ;ES;-/- ;€ 17.900
Mercedes-Benz C 63 AMG;42.500 km;feb-17;375 kW (510 CV);Automático;Gasolina;8,4;ES;-/- ;€ 72.000
Mercedes-Benz A 180;22.700 km;sep-17;90 kW (122 CV);Manual;Gasolina;5,6;Unknown;127;€ 19.900
Mercedes-Benz A 180;63.000 km;mar-17;90 kW (122 CV);Automático;Gasolina;5,1;ES;-/- ;€ 18.995
Mercedes-Benz GLA 250;34.632 km;oct-17;155 kW (211 CV);Automático;Gasolina;6,5;ES;152;€ 33.990
Mercedes-Benz;19.857 km;sep-17;160 kW (218 CV);Automático;Gasolina;6,9;ES;-/- ;€ 32.900
Mercedes-Benz A 180;22.700 km;sep-17;90 kW (122 CV);-/- (Cambio);Gasolina;-/- ;Unknown;-/- ;€ 19.900
Mercedes-Benz C 200;15.000 km;abr-17;135 kW (184 CV);Automático;Gasolina;6,3;ES;-/- ;€ 33.900
Mercedes-Benz GLC 250;13.500 km;sep-17;155 kW (211 CV);Automático;Gasolina;6,5;ES;-/- ;€ 34.400
Mercedes-Benz GLE 500;48.000 km;ene-17;330 kW (449 CV);Automático;Electro/Gasolina;3,3;ES;-/- ;€ 52.990
Mercedes-Benz A 180;26.248 km;sep-17;90 kW (122 CV);Manual;Gasolina;5,6;ES;-/- ;€ 19.545
Mercedes-Benz;79.000 km;feb-17;335 kW (455 CV);Automático;Gasolina;10,9;ES;-/- ;€ 66.990
Mercedes-Benz GLC 350;82.000 km;ene-17;235 kW (320 CV);Automático;Electro/Gasolina;2,5;ES;-/- ;€ 33.900
Mercedes-Benz GLC 250;10.530 km;abr-17;155 kW (211 CV);Automático;Gasolina;7,1;ES;166;€ 44.990
Mercedes-Benz GLC 250;13.500 km;sep-17;155 kW (211 CV);Automático;Gasolina;6,5;ES;-/- ;€ 34.400
Mercedes-Benz GLC 43 AMG;16.000 km;dic-17;270 kW (367 CV);Automático;Gasolina;8,3;Unknown;189;€ 59.400
Mercedes-Benz A 45 AMG;22.500 km;ene-17;280 kW (381 CV);Automático;Gasolina;6,9;ES;-/- ;€ 41.720
Mercedes-Benz GLA 45 AMG;24.700 km;may-17;280 kW (381 CV);Automático;Gasolina;7,4;ES;172;€ 47.900
Mercedes-Benz C 250;72.000 km;nov-17;155 kW (211 CV);Automático;Gasolina;6 l/;Unknown;133;€ 24.900
Mercedes-Benz G;36.000 km;ene-17;310 kW (421 CV);Automático;Gasolina;12,3;ES;-/- ;€ 89.000
Mercedes-Benz;112.132 km;abr-17;270 kW (367 CV);Automático;Gasolina;-/- ;ES;-/- ;€ 48.990
Mercedes-Benz GLC 350;46.000 km;may-17;235 kW (320 CV);Automático;Electro/Gasolina;2,5;ES;-/- ;€ 36.900
Mercedes-Benz GLA 180;48.000 km;abr-17;90 kW (122 CV);Automático;Gasolina;5,6;Unknown;131;€ 24.500
Mercedes-Benz AMG GT;17.900 km;jun-17;384 kW (522 CV);Automático;Gasolina;11,5;ES;-/- ;€ 99.900
Mercedes-Benz C 63 AMG;44.312 km;oct-17;375 kW (510 CV);Automático;Gasolina;8,6;ES;-/- ;€ 73.300
