vehicle;  km; year; power; transmision; fuel_type; consume; country;emisions;price 
Mercedes-Benz GLK 220;98.500 km;dic-12;125 kW (170 CV);Automático;Diésel;6,9;DE;159;€ 18.890
Mercedes-Benz A 200;70.000 km;feb-11;100 kW (136 CV);Automático;Gasolina;7,6;DE;179;€ 9.390
Mercedes-Benz SL 350;51.000 km;may-12;225 kW (306 CV);Automático;Gasolina;7,5;Unknown;176;€ 46.500
Mercedes-Benz B 180;145.600 km;oct-12;80 kW (109 CV);Manual;Diésel;5,2;Unknown;137;€ 12.000
Mercedes-Benz C 220;115.000 km;may-12;125 kW (170 CV);Automático;Diésel;4,4;ES;-/- ;€ 15.500
Mercedes-Benz E 350;271.225 km;may-10;170 kW (231 CV);Automático;Diésel;-/- ;DE;-/- ;€ 9.900
Mercedes-Benz E 220;176.921 km;may-11;120 kW (163 CV);Automático;Diésel;-/- ;DE;-/- ;€ 12.490
Mercedes-Benz E 220;130.400 km;nov-11;125 kW (170 CV);Automático;Diésel;5 l/;DE;139;€ 13.980
Mercedes-Benz Viano;203.000 km;may-10;85 kW (116 CV);Manual;Diésel;8,2;Unknown;217;€ 8.990
Mercedes-Benz C 220;180.000 km;jun-11;125 kW (170 CV);Manual;Diésel;4,4;ES;-/- ;€ 10.800
Mercedes-Benz E 250;68.000 km;dic-10;150 kW (204 CV);Automático;Gasolina;7,9;DE;183;€ 13.990
Mercedes-Benz Sprinter;399.640 km;dic-10;95 kW (129 CV);Automático;Diésel;9,6;DE;254;€ 6.264
Mercedes-Benz R 350;218.000 km;jun-11;155 kW (211 CV);Automático;Diésel;8,4;Unknown;222;€ 14.900
Mercedes-Benz E 220;131.031 km;jul-10;125 kW (170 CV);Automático;Diésel;6,2;AT;-/- ;€ 11.590
Mercedes-Benz B 180;120.000 km;ene-10;85 kW (116 CV);Automático;Gasolina;7,3;Unknown;173;€ 7.600
Mercedes-Benz B 200;73.000 km;nov-11;115 kW (156 CV);Manual;Gasolina;-/- ;DE;-/- ;€ 12.500
Mercedes-Benz E 200;100.000 km;abr-11;135 kW (184 CV);Automático;Gasolina;7,9;DE;184;€ 14.900
Mercedes-Benz C 180;167.000 km;mar-11;115 kW (156 CV);Automático;Gasolina;7,4;Unknown;172;€ 7.800
Mercedes-Benz SLK 200;93.000 km;may-11;135 kW (184 CV);Automático;Gasolina;6,4;DE;152;€ 16.980
Mercedes-Benz E 220;155.000 km;ago-11;125 kW (170 CV);Semiautomático;Diésel;4,9;Unknown;134;€ 17.500
Mercedes-Benz E 220;240.000 km;oct-10;125 kW (170 CV);Automático;Diésel;6,2;DE;163;€ 8.850
Mercedes-Benz A 160;57.000 km;ene-12;70 kW (95 CV);Automático;Gas licuado (GLP);6,8;DE;159;€ 12.900
Mercedes-Benz A 160;57.000 km;ene-12;70 kW (95 CV);Automático;Gasolina;6,8;DE;159;€ 10.900
Mercedes-Benz E 220;129.900 km;dic-11;125 kW (170 CV);Automático;Diésel;4,7;IT;123;€ 10.799
Mercedes-Benz E 250;258.637 km;sep-10;150 kW (204 CV);Automático;Diésel;6,2;NL;162;€ 10.900
Mercedes-Benz C 350;195.364 km;feb-11;170 kW (231 CV);Automático;Diésel;7,2;Unknown;191;€ 13.999
Mercedes-Benz B 180;97.000 km;dic-12;90 kW (122 CV);Automático;Gasolina;5,9;Unknown;137;€ 12.450
Mercedes-Benz B 180;102.474 km;feb-11;85 kW (116 CV);Automático;Gasolina;-/- ;BE;-/- ;€ 9.900
Mercedes-Benz S 350;161.000 km;jun-11;190 kW (258 CV);Automático;Diésel;7,3;BE;195;€ 19.905
Mercedes-Benz B 200;73.000 km;oct-10;100 kW (136 CV);Automático;Gasolina;7,7;Unknown;182;€ 9.900
Mercedes-Benz A 160;79.483 km;jul-10;70 kW (95 CV);Manual;Gasolina;6 l/;NL;139;€ 5.490
Mercedes-Benz Sprinter;113.150 km;dic-12;95 kW (129 CV);Manual;Diésel;0 l/;DE;217;€ 14.920
Mercedes-Benz Sprinter;113.150 km;dic-12;95 kW (129 CV);Manual;Diésel;0 l/;DE;217;€ 14.920
Mercedes-Benz E 500;99.899 km;feb-12;300 kW (408 CV);Automático;Gasolina;-/- ;DE;-/- ;€ 23.990
Mercedes-Benz SL 350;62.349 km;dic-11;232 kW (315 CV);Automático;Gasolina;9,7;Unknown;226;€ 31.100
Mercedes-Benz A 180;68.800 km;dic-12;80 kW (109 CV);Automático;Diésel;-/- ;Unknown;-/- ;€ 7.200
Mercedes-Benz B 180;127.346 km;abr-10;85 kW (116 CV);Manual;Gasolina;6,4;NL;153;€ 8.995
Mercedes-Benz E 350;107.000 km;mar-11;215 kW (292 CV);Automático;Gasolina;8,7;DE;203;€ 16.499
Mercedes-Benz ML 250;168.400 km;abr-12;150 kW (204 CV);Automático;Diésel;5,8;DE;154;€ 19.990
Mercedes-Benz;330.000 km;abr-10;70 kW (95 CV);Manual;Diésel;-/- ;Unknown;-/- ;€ 4.500
Mercedes-Benz E 220;221.000 km;mar-10;125 kW (170 CV);Automático;Diésel;7,3;Unknown;194;€ 8.000
Mercedes-Benz E 250;263.000 km;nov-11;150 kW (204 CV);Automático;Diésel;5,5;Unknown;143;€ 10.850
Mercedes-Benz C 250;140.500 km;may-12;150 kW (204 CV);Semiautomático;Diésel;5,3;Unknown;139;€ 15.500
Mercedes-Benz Sprinter;200.000 km;ago-10;95 kW (129 CV);Manual;Diésel;-/- ;Unknown;-/- ;€ 6.300
Mercedes-Benz C 180;105.363 km;oct-12;115 kW (156 CV);Automático;Gasolina;6,2;DE;145;€ 12.890
Mercedes-Benz E 220;185.000 km;feb-11;120 kW (163 CV);Automático;Diésel;5,1;Unknown;133;€ 13.799
Mercedes-Benz E 350;124.998 km;ene-12;225 kW (306 CV);Automático;Gasolina;7,2;DE;171;€ 17.490
Mercedes-Benz B 180;107.000 km;mar-12;80 kW (109 CV);Manual;Diésel;4,4;IT;114;€ 13.000
Mercedes-Benz C 180;34.357 km;jul-10;115 kW (156 CV);Automático;Gasolina;7,8;DE;172;€ 13.698
Mercedes-Benz E 350;61.838 km;jul-11;195 kW (265 CV);Automático;Diésel;6,4;DE;170;€ 20.598
Mercedes-Benz SLK 200;52.381 km;jun-11;136 kW (185 CV);Automático;Gasolina;6,1;NL;-/- ;€ 21.950
Mercedes-Benz E 220;186.431 km;sep-11;125 kW (170 CV);Automático;Diésel;5,8;NL;134;€ 13.845
Mercedes-Benz C 220;54.000 km;nov-10;125 kW (170 CV);Automático;Diésel;5,6;Unknown;149;€ 13.200
Mercedes-Benz Vito;126.000 km;jun-11;100 kW (136 CV);Automático;Diésel;9,1;Unknown;-/- ;€ 5.200
Mercedes-Benz C 350;197.316 km;jul-10;170 kW (231 CV);Automático;Diésel;7 l/;Unknown;185;€ 7.500
Mercedes-Benz E 350;237.000 km;ene-11;195 kW (265 CV);Automático;Diésel;6,5;DE;170;€ 10.500
Mercedes-Benz GLK 220;106.000 km;may-11;125 kW (170 CV);Automático;Diésel;6,9;DE;179;€ 14.900
Mercedes-Benz E 350;123.029 km;may-11;170 kW (231 CV);Automático;Diésel;7 l/;IT;185;€ 17.900
Mercedes-Benz E 200;80.133 km;jun-10;135 kW (184 CV);Automático;Gasolina;7,9;DE;184;€ 12.990
Mercedes-Benz C 180;159.700 km;ago-10;115 kW (156 CV);Manual;Gasolina;7,8;DE;185;€ 9.950
Mercedes-Benz SL 63 AMG;106.114 km;ago-11;386 kW (525 CV);Automático;Gasolina;14,1;DE;334;€ 44.890
Mercedes-Benz C 180;74.721 km;nov-11;115 kW (156 CV);Manual;Gasolina;7,6;DE;182;€ 10.990
