vehicle;  km; year; power; transmision; fuel_type; consume; country;emisions;price 
Porsche 911;53.000 km;may-14;412 kW (560 CV);Automático;Gasolina;9,7;Unknown;227;€ 135.000
Porsche 911;51.000 km;may-14;383 kW (521 CV);Automático;Gasolina;9,7;ES;227;€ 118.900
Porsche Boxster;30.000 km;feb-15;195 kW (265 CV);Automático;Gasolina;7,7;Unknown;180;€ 48.000
Porsche Panamera;129.990 km;jun-14;309 kW (420 CV);Automático;Gasolina;-/- ;ES;-/- ;€ 46.990
Porsche Macan;86.000 km;jul-15;294 kW (400 CV);Automático;Gasolina;8,7;ES;-/- ;€ 57.000
Porsche Cayenne;132.000 km;ago-14;180 kW (245 CV);Automático;Diésel;-/- ;ES;-/- ;€ 37.000
Porsche Panamera;134.776 km;nov-13;309 kW (420 CV);Automático;Gasolina;-/- ;ES;-/- ;€ 49.990
Porsche Cayenne;74.000 km;jun-15;283 kW (385 CV);Automático;Diésel;8 l/;ES;-/- ;€ 46.990
Porsche Cayenne;97.150 km;jul-15;193 kW (262 CV);Automático;Diésel;6,6;ES;-/- ;€ 37.990
Porsche Panamera;199.000 km;ago-14;306 kW (416 CV);Automático;Electro/Gasolina;3,1;ES;-/- ;€ 49.900
Porsche 911;33.000 km;may-15;383 kW (521 CV);Automático;Gasolina;9,7;ES;227;€ 135.000
Porsche Cayenne;96.523 km;ago-13;180 kW (245 CV);Automático;Diésel;7,2;Unknown;189;€ 33.900
Porsche Macan;69.000 km;jul-15;250 kW (340 CV);Automático;Gasolina;8,7;ES;204;€ 45.900
Porsche Macan;125.000 km;jun-14;190 kW (258 CV);Automático;Diésel;6,3;ES;-/- ;€ 37.995
Porsche Cayman;73.000 km;ago-13;239 kW (325 CV);Automático;Gasolina;8 l/;ES;-/- ;€ 53.900
Porsche Cayenne;64.889 km;jul-15;221 kW (300 CV);Automático;Diésel;-/- ;ES;-/- ;€ 46.500
Porsche Cayenne;98.000 km;oct-13;281 kW (382 CV);Automático;Diésel;8,3;ES;-/- ;€ 35.900
Porsche Cayman;17.800 km;feb-15;250 kW (340 CV);Automático;Gasolina;8,2;ES;-/- ;€ 69.900
Porsche Macan;56.000 km;abr-15;294 kW (400 CV);Automático;Gasolina;8,7;ES;-/- ;€ 59.900
Porsche Cayenne;220.000 km;abr-13;294 kW (400 CV);Automático;Gasolina;10,5;ES;-/- ;€ 23.490
Porsche Cayenne;116.000 km;jul-13;309 kW (420 CV);Automático;Gasolina;10,7;ES;-/- ;€ 38.500
Porsche Cayman;160.000 km;oct-13;202 kW (275 CV);Automático;Gasolina;7,7;Unknown;180;€ 37.500
Porsche Cayenne;166.000 km;oct-15;193 kW (262 CV);Automático;Diésel;6,6;ES;173;€ 36.999
Porsche Cayenne;110.000 km;jun-14;180 kW (245 CV);Automático;Diésel;7,2;ES;189;€ 38.990
Porsche Cayenne;99.000 km;ago-13;180 kW (245 CV);Automático;Diésel;7,2;Unknown;189;€ 34.900
Porsche Panamera;117.300 km;abr-14;221 kW (300 CV);Automático;Diésel;-/- ;ES;-/- ;€ 50.990
Porsche Macan;60.000 km;sep-15;190 kW (258 CV);Automático;Diésel;6,1;ES;-/- ;€ 43.900
Porsche 911;49.000 km;jul-15;412 kW (560 CV);Automático;Gasolina;9,7;ES;227;€ 145.000
Porsche Panamera;99.000 km;dic-15;221 kW (300 CV);Automático;Diésel;6,4;ES;-/- ;€ 48.900
Porsche Macan;55.000 km;jul-15;294 kW (400 CV);Automático;Gasolina;8,7;ES;-/- ;€ 66.900
Porsche Cayenne;130.000 km;may-14;180 kW (245 CV);Automático;Diésel;7,2;Unknown;189;€ 29.999
Porsche Boxster;20.000 km;oct-15;276 kW (375 CV);Manual;Gasolina;9,9;Unknown;230;€ 94.500
Porsche 991;34.500 km;mar-13;294 kW (400 CV);Automático;Gasolina;9,1;ES;-/- ;€ 89.900
Porsche Boxster;16.300 km;jun-14;195 kW (265 CV);Automático;Gasolina;7,7;ES;180;€ 49.900
Porsche Cayman;43.900 km;may-15;283 kW (385 CV);Manual;Gasolina;10,3;ES;-/- ;€ 82.900
Porsche Boxster;48.200 km;sep-14;195 kW (265 CV);Manual;Gasolina;8,2;ES;-/- ;€ 49.900
Porsche Cayenne;53.500 km;feb-15;324 kW (441 CV);Automático;Gasolina;9,8;ES;-/- ;€ 72.800
Porsche Panamera;58.000 km;nov-14;382 kW (519 CV);Automático;Gasolina;10,2;ES;-/- ;€ 74.900
Porsche Panamera;119.000 km;jul-14;221 kW (300 CV);Automático;Diésel;6,4;ES;-/- ;€ 46.900
Porsche Panamera;155.000 km;feb-14;306 kW (416 CV);Automático;Electro/Gasolina;3,1;ES;-/- ;€ 49.900
Porsche 991;6.500 km;oct-15;294 kW (400 CV);Automático;Gasolina;9,1;ES;-/- ;€ 98.900
Porsche Macan;88.000 km;sep-15;190 kW (258 CV);Automático;Diésel;6,1;ES;-/- ;€ 42.990
Porsche Macan;70.000 km;feb-15;190 kW (258 CV);Automático;Diésel;6,1;ES;-/- ;€ 46.900
Porsche Macan;138.000 km;oct-14;250 kW (340 CV);Automático;Gasolina;-/- ;ES;-/- ;€ 40.000
Porsche Panamera;59.000 km;ene-15;324 kW (441 CV);Automático;Gasolina;10,7;ES;-/- ;€ 68.990
Porsche Macan;86.000 km;jul-15;294 kW (400 CV);Automático;Gasolina;8,7;ES;-/- ;€ 57.000
Porsche Cayenne;132.000 km;ago-14;180 kW (245 CV);Automático;Diésel;-/- ;ES;-/- ;€ 37.000
Porsche Cayenne;115.600 km;may-15;283 kW (385 CV);Automático;Diésel;8 l/;ES;-/- ;€ 43.990
Porsche Cayenne;198.000 km;dic-14;281 kW (382 CV);Automático;Diésel;8,3;Unknown;218;€ 32.495
Porsche Cayenne;180.000 km;jul-15;283 kW (385 CV);Automático;Diésel;8 l/;ES;-/- ;€ 37.000
Porsche Cayman;32.800 km;mar-15;250 kW (340 CV);Automático;Gasolina;8,2;ES;-/- ;€ 62.000
Porsche Panamera;116.900 km;sep-13;184 kW (250 CV);Automático;Diésel;-/- ;ES;-/- ;€ 37.990
Porsche Macan;137.041 km;may-15;250 kW (340 CV);Automático;Gasolina;8,7;ES;-/- ;€ 44.500
Porsche Macan;105.000 km;mar-15;190 kW (258 CV);Automático;Diésel;6,3;ES;-/- ;€ 46.900
Porsche Cayenne;101.500 km;abr-15;306 kW (416 CV);Automático;Electro/Gasolina;3,4;ES;-/- ;€ 49.990
Porsche 911;49.900 km;jun-14;383 kW (521 CV);Automático;Gasolina;9,9;ES;231;€ 134.900
Porsche Panamera;129.990 km;jun-14;309 kW (420 CV);Automático;Gasolina;-/- ;ES;-/- ;€ 49.990
Porsche Cayenne;156.000 km;sep-13;180 kW (245 CV);Automático;Diésel;7,2;Unknown;189;€ 28.700
Porsche Cayman;63.000 km;mar-14;202 kW (275 CV);Automático;Gasolina;7,7;ES;-/- ;€ 41.900
Porsche Cayenne;101.825 km;abr-15;193 kW (262 CV);Automático;Diésel;6,6;ES;-/- ;€ 51.900
Porsche Cayenne;121.000 km;nov-13;281 kW (382 CV);Automático;Diésel;8,3;ES;-/- ;€ 45.200
Porsche Boxster;21.000 km;ene-13;195 kW (265 CV);Manual;Gasolina;8,2;ES;-/- ;€ 48.800
Porsche Cayenne;68.000 km;oct-15;324 kW (441 CV);Automático;Gasolina;9,8;ES;-/- ;€ 65.900
Porsche Macan;43.000 km;nov-15;190 kW (258 CV);Automático;Diésel;6,3;ES;-/- ;€ 49.900
Porsche Cayenne;83.270 km;ene-13;221 kW (300 CV);Manual;Gasolina;-/- ;ES;-/- ;€ 28.990
Porsche 911;9.000 km;jun-15;412 kW (560 CV);Automático;Gasolina;9,7;ES;227;€ 139.000
Porsche 911;40.000 km;mar-15;294 kW (400 CV);Automático;Gasolina;9,1;ES;215;€ 93.000
Porsche Macan;112.000 km;nov-15;190 kW (258 CV);Automático;Diésel;6,3;ES;-/- ;€ 39.900
Porsche 991;54.000 km;feb-14;294 kW (400 CV);Automático;Gasolina;8,7;ES;-/- ;€ 149.000
Porsche Cayenne;72.150 km;may-13;180 kW (245 CV);Automático;Diésel;7,2;ES;-/- ;€ 45.500
Porsche Cayenne;327.000 km;nov-14;193 kW (262 CV);Automático;Diésel;6,6;Unknown;173;€ 35.000
Porsche Panamera;117.300 km;abr-14;221 kW (300 CV);Automático;Diésel;-/- ;ES;-/- ;€ 53.990
Porsche Panamera;149.500 km;jun-15;221 kW (300 CV);Automático;Diésel;6,4;ES;-/- ;€ 44.999
Porsche Panamera;157.500 km;jun-15;221 kW (300 CV);Automático;Diésel;6,4;ES;-/- ;€ 44.999
Porsche Cayenne;233.500 km;jun-13;368 kW (500 CV);Automático;Gasolina;11,5;ES;-/- ;€ 35.999
Porsche Panamera;98.000 km;ago-15;221 kW (300 CV);Automático;Diésel;6,4;Unknown;169;€ 39.990
Porsche Panamera;101.000 km;sep-13;220 kW (299 CV);Automático;Gasolina;9,6;Unknown;220;€ 35.000
Porsche Panamera;123.000 km;jul-13;221 kW (300 CV);Automático;Diésel;6,4;Unknown;169;€ 41.900
Porsche 991;36.000 km;feb-14;383 kW (521 CV);Automático;Gasolina;9,7;ES;-/- ;€ 125.000
Porsche 991;39.000 km;jul-14;294 kW (400 CV);Automático;Gasolina;9,1;ES;-/- ;€ 89.900
Porsche 911;67.000 km;ene-14;350 kW (476 CV);Automático;Gasolina;12,4;Unknown;289;€ 118.000
Porsche Panamera;149.000 km;jun-15;221 kW (300 CV);Automático;Diésel;6,4;ES;-/- ;€ 42.990
Porsche Macan;89.000 km;mar-15;190 kW (258 CV);Automático;Diésel;6,1;ES;-/- ;€ 44.500
Porsche Cayenne;133.900 km;sep-13;180 kW (245 CV);Automático;Diésel;7,2;ES;-/- ;€ 32.900
Porsche Cayenne;149.450 km;oct-13;180 kW (245 CV);Automático;Diésel;7,2;ES;-/- ;€ 32.990
