vehicle;  km; year; power; transmision; fuel_type; consume; country;emisions;price 
Porsche Cayenne;#¿NOMBRE?;-/- (Año);404 kW (549 CV);Automático;Gasolina;11,9;ES;-/- ;€ 163.32
Porsche Cayenne;#¿NOMBRE?;-/- (Año);250 kW (340 CV);Automático;Gasolina;9,2;ES;-/- ;€ 89.208
Porsche 911;#¿NOMBRE?;-/- (Año);331 kW (450 CV);Manual;Gasolina;10,1;ES;-/- ;€ 148.96
Porsche Macan;5.000 km;jul-20;180 kW (245 CV);Semiautomático;Gasolina;8,1;Unknown;185;€ 715.000
Porsche Cayenne;#¿NOMBRE?;-/- (Año);338 kW (460 CV);Automático;Gasolina;11,2;ES;-/- ;€ 136.85
Porsche Cayenne;#¿NOMBRE?;-/- (Año);500 kW (680 CV);Automático;Electro/Gasolina;3,7;ES;-/- ;€ 180.79
Porsche Taycan;#¿NOMBRE?;-/- (Año);560 kW (761 CV);Automático;Eléctrico;-/- ;ES;0 g ;€ 189.52
Porsche Boxster;#¿NOMBRE?;-/- (Año);257 kW (349 CV);Manual;Gasolina;9,2;ES;-/- ;€ 81.955
Porsche Panamera;#¿NOMBRE?;-/- (Año);243 kW (330 CV);Automático;Gasolina;7,7;ES;-/- ;€ 116.21
Porsche 991;#¿NOMBRE?;-/- (Año);331 kW (450 CV);Automático;Gasolina;8,8;ES;-/- ;€ 164.71
Porsche Cayenne;6.733 km;ene-20;324 kW (441 CV);Automático;Gasolina;-/- ;ES;-/- ;€ 122.900
Porsche Taycan;6.000 km;mar-20;390 kW (530 CV);Automático;Eléctrico;-/- ;ES;0 g ;€ 125.000
Porsche Cayenne;#¿NOMBRE?;-/- (Año);338 kW (460 CV);Automático;Gasolina;11,2;ES;-/- ;€ 131.83
Porsche Panamera;#¿NOMBRE?;-/- (Año);340 kW (462 CV);Automático;Electro/Gasolina;2,7;ES;-/- ;€ 131.29
Porsche Panamera;#¿NOMBRE?;-/- (Año);243 kW (330 CV);Automático;Gasolina;8,4;ES;-/- ;€ 127.23
Porsche Cayman;#¿NOMBRE?;-/- (Año);257 kW (349 CV);Manual;Gasolina;9,2;ES;-/- ;€ 79.648
Porsche 911;#¿NOMBRE?;-/- (Año);283 kW (385 CV);Automático;Gasolina;9,8;ES;-/- ;€ 147.60
Porsche 911;#¿NOMBRE?;-/- (Año);331 kW (450 CV);Manual;Gasolina;10 l;ES;-/- ;€ 140.00
Porsche 911;#¿NOMBRE?;-/- (Año);478 kW (650 CV);Automático;Gasolina;11,1;ES;-/- ;€ 249.96
Porsche Taycan;#¿NOMBRE?;-/- (Año);500 kW (680 CV);Automático;Eléctrico;-/- ;ES;0 g ;€ 155.64
Porsche Cayenne;#¿NOMBRE?;-/- (Año);250 kW (340 CV);Automático;Gasolina;9,3;ES;-/- ;€ 97.217
Porsche Cayenne;#¿NOMBRE?;-/- (Año);404 kW (549 CV);Automático;Gasolina;11,3;ES;-/- ;€ 169.02
Porsche 991;#¿NOMBRE?;-/- (Año);331 kW (450 CV);Automático;Gasolina;8,8;ES;-/- ;€ 149.78
Porsche Boxster;100 km;jun-20;220 kW (299 CV);Automático;Gasolina;8,1;ES;-/- ;€ 75.900
Porsche Panamera;#¿NOMBRE?;-/- (Año);243 kW (330 CV);Automático;Gasolina;8,4;ES;-/- ;€ 108.79
Porsche Cayman;#¿NOMBRE?;-/- (Año);220 kW (299 CV);Automático;Gasolina;7,9;ES;-/- ;€ 66.124
Porsche Boxster;#¿NOMBRE?;-/- (Año);220 kW (299 CV);Automático;Gasolina;7,9;ES;-/- ;€ 78.493
Porsche Macan;3.950 km;abr-20;180 kW (245 CV);Automático;Gasolina;8,1;ES;-/- ;€ 71.900
Porsche 992;11.000 km;ene-20;331 kW (450 CV);Automático;Gasolina;9,6;ES;-/- ;€ 135.700
Porsche 911;20 km;ago-20;478 kW (650 CV);Automático;Gasolina;11,1;ES;-/- ;€ 254.000
Porsche Cayman;2.500 km;may-20;309 kW (420 CV);Manual;Gasolina;10,9;ES;-/- ;€ 115.000
Porsche 911;#¿NOMBRE?;-/- (Año);331 kW (450 CV);Manual;Gasolina;10,2;ES;-/- ;€ 165.25
Porsche 911;#¿NOMBRE?;-/- (Año);331 kW (450 CV);Manual;Gasolina;10,1;ES;-/- ;€ 156.29
Porsche Boxster;#¿NOMBRE?;-/- (Año);294 kW (400 CV);Manual;Gasolina;10,8;ES;-/- ;€ 97.838
Porsche Cayman;#¿NOMBRE?;-/- (Año);294 kW (400 CV);Manual;Gasolina;10,8;ES;-/- ;€ 95.530
Porsche Taycan;#¿NOMBRE?;-/- (Año);390 kW (530 CV);Automático;Eléctrico;-/- ;ES;0 g ;€ 108.33
Porsche Cayman;#¿NOMBRE?;-/- (Año);309 kW (420 CV);Manual;Gasolina;10,9;ES;-/- ;€ 112.22
Porsche Boxster;#¿NOMBRE?;-/- (Año);309 kW (420 CV);Manual;Gasolina;10,9;ES;-/- ;€ 108.97
Porsche Cayenne;#¿NOMBRE?;-/- (Año);404 kW (549 CV);Automático;Gasolina;11,9;ES;-/- ;€ 163.32
Porsche Cayenne;#¿NOMBRE?;-/- (Año);250 kW (340 CV);Automático;Gasolina;9,2;ES;-/- ;€ 89.208
Porsche Macan;8.999 km;ene-20;260 kW (354 CV);Automático;Gasolina;8,9;ES;-/- ;€ 76.900
Porsche 911;#¿NOMBRE?;-/- (Año);478 kW (650 CV);Automático;Gasolina;11,3;ES;-/- ;€ 265.43
