vehicle;  km; year; power; transmision; fuel_type; consume; country;emisions;price 
Porsche 997;3.000 km;dic-10;390 kW (530 CV);Automático;Gasolina;11,4;Unknown;268;€ 285.000
Porsche Cayenne;174.000 km;nov-12;180 kW (245 CV);Automático;Diésel;7,2;Unknown;189;€ 23.850
Porsche 911;16.958 km;ene-12;254 kW (345 CV);Automático;Gasolina;10,1;BE;230;€ 69.950
Porsche Panamera;58.500 km;feb-12;368 kW (500 CV);Automático;Gasolina;12,9;DE;303;€ 54.900
Porsche Panamera;210.000 km;ene-12;294 kW (400 CV);Automático;Gasolina;11,5;DE;275;€ 25.850
Porsche Panamera;130.000 km;dic-11;294 kW (400 CV);Automático;Gasolina;11,5;DE;275;€ 30.999
Porsche Cayenne;215.000 km;jul-10;176 kW (239 CV);Automático;Diésel;7,4;Unknown;195;€ 24.000
Porsche Cayenne;109.800 km;jul-12;294 kW (400 CV);Automático;Gasolina;10,5;Unknown;245;€ 28.999
Porsche Cayenne;166.000 km;ago-12;180 kW (245 CV);Automático;Diésel;7,2;Unknown;189;€ 24.800
Porsche Cayenne;112.000 km;ago-12;180 kW (245 CV);Automático;Diésel;7,2;Unknown;189;€ 27.900
Porsche Cayenne;139.600 km;nov-10;368 kW (500 CV);Automático;Gasolina;11,5;AT;-/- ;€ 34.950
Porsche Cayenne;189.654 km;jul-12;180 kW (245 CV);Automático;Diésel;7,2;IT;189;€ 24.990
Porsche Cayenne;263.000 km;feb-11;176 kW (239 CV);Automático;Diésel;7,4;IT;195;€ 20.600
Porsche Cayenne;224.000 km;ago-10;245 kW (333 CV);Automático;Electro/Gasolina;8,2;Unknown;193;€ 19.900
Porsche Panamera;21.000 km;sep-12;316 kW (430 CV);Semiautomático;Gasolina;10,9;IT;256;€ 59.000
Porsche 911;11.220 km;may-11;300 kW (408 CV);Automático;Gasolina;10,7;BE;251;€ 269.000
Porsche Cayenne;176.228 km;may-10;368 kW (500 CV);Automático;Gasolina;11,5;NL;270;€ 29.990
Porsche Panamera;159.000 km;jul-10;294 kW (400 CV);Automático;Gasolina;10,5;Unknown;247;€ 34.499
Porsche Panamera;117.400 km;ago-12;404 kW (549 CV);Automático;Gasolina;11,5;DE;273;€ 41.970
Porsche Panamera;227.000 km;ago-11;220 kW (299 CV);Automático;Gasolina;9,6;Unknown;225;€ 29.000
Porsche Cayenne;224.500 km;jun-12;180 kW (245 CV);Automático;Diésel;7,2;Unknown;189;€ 22.800
Porsche Cayenne;93.365 km;jul-10;368 kW (500 CV);Automático;Gasolina;11,5;ES;-/- ;€ 34.900
Porsche 911;84.000 km;abr-10;283 kW (385 CV);Manual;Gasolina;10,8;Unknown;254;€ 61.000
Porsche Panamera;70.820 km;sep-11;294 kW (400 CV);Semiautomático;Gasolina;11,1;Unknown;260;€ 45.000
Porsche Cayenne;93.365 km;jul-10;368 kW (500 CV);Automático;Gasolina;11,5;ES;-/- ;€ 34.900
Porsche 911;84.999 km;jun-10;283 kW (385 CV);Automático;Gasolina;-/- ;ES;-/- ;€ 69.000
